Symbol,Trades,Profit (INR),ROI (%),Win Rate
ADANIENT,73,122932.39047206557,409.7746349068852,0
INDUSINDBK,57,89139.74228116675,297.13247427055586,0
INFY,38,83268.67713625602,277.5622571208534,0
BEL,55,63574.02998044116,211.9134332681372,0
TATASTEEL,66,62563.19093216279,208.54396977387597,0
BAJAJFINSV,49,56088.807526169854,186.96269175389952,0
HINDUNILVR,37,51490.71207045433,171.63570690151442,0
HINDALCO,52,50261.993167492066,167.53997722497357,0
MARUTI,30,48690.452170967066,162.3015072365569,0
BHARTIARTL,27,42573.137141731495,141.91045713910498,0
BPCL,10,41252.54575993656,137.5084858664552,0
KOTAKBANK,30,39696.490156343745,132.32163385447916,0
APOLLOHOSP,54,39587.47772760139,131.95825909200465,0
ADANIPORTS,22,37444.54005686249,124.81513352287496,0
EICHERMOT,46,36655.02093443087,122.18340311476956,0
TITAN,48,36237.11347829473,120.79037826098242,0
SBIN,51,35830.849700100385,119.43616566700128,0
TECHM,33,34990.47070762271,116.63490235874238,0
AXISBANK,44,34242.85512463023,114.14285041543411,0
HCLTECH,44,32679.473086443595,108.93157695481199,0
ASIANPAINT,57,32454.83171466435,108.1827723822145,0
DIVISLAB,29,29027.78186575127,96.75927288583756,0
TCS,59,27174.07514562298,90.58025048540995,0
WIPRO,20,21994.043964113218,73.3134798803774,0
ITC,33,21036.081411134775,70.12027137044925,0
BAJAJ-AUTO,34,16618.23760123856,55.39412533746187,0
BRITANNIA,30,16217.158885707619,54.057196285692065,0
HDFCBANK,40,15665.096692699191,52.216988975663966,0
LT,49,13996.95436480481,46.65651454934937,0
RELIANCE,13,13366.888418337632,44.55629472779211,0
NESTLEIND,7,13357.286113949802,44.52428704649934,0
POWERGRID,56,13338.895110507738,44.46298370169246,0
NTPC,56,12714.055733747347,42.38018577915783,0
CIPLA,37,11995.77624657614,39.985920821920466,0
M&M,54,11704.283795464664,39.01427931821554,0
GRASIM,47,10383.254683508216,34.610848945027385,0
ONGC,51,9857.186396621806,32.85728798873935,0
ULTRACEMCO,27,8625.018248155226,28.750060827184086,0
ICICIBANK,18,7192.561937723723,23.975206459079075,0
SUNPHARMA,26,6742.9229877207745,22.476409959069247,0
BAJFINANCE,7,6398.825909571566,21.329419698571886,0
HDFCLIFE,6,5884.223233376375,19.614077444587917,0
LTIM,47,5803.540701117405,19.34513567039135,0
TATACONSUM,53,2768.470296146865,9.22823432048955,0
DRREDDY,12,-6046.720094256771,-20.15573364752257,0
COALINDIA,49,-15432.901364802163,-51.44300454934054,0
JSWSTEEL,51,-21738.473607845448,-72.46157869281816,0
