date,open,high,low,close,volume
2023-11-30 14:35:00+05:30,320.0,320.1,319.55,320.1,54105
2023-11-30 14:36:00+05:30,320.1,320.4,320.0,320.4,57208
2023-11-30 14:37:00+05:30,320.25,320.4,320.1,320.25,49816
2023-11-30 14:38:00+05:30,320.4,320.5,320.2,320.45,23863
2023-11-30 14:39:00+05:30,320.55,320.55,320.2,320.55,34845
2023-11-30 14:40:00+05:30,320.45,320.65,320.3,320.45,18158
2023-11-30 14:41:00+05:30,320.5,320.65,320.45,320.6,23617
2023-11-30 14:42:00+05:30,320.6,320.65,320.45,320.65,21914
2023-11-30 14:43:00+05:30,320.65,320.65,320.45,320.65,34819
2023-11-30 14:44:00+05:30,320.6,320.8,320.5,320.8,40385
2023-11-30 14:45:00+05:30,320.8,320.8,320.65,320.8,50117
2023-11-30 14:46:00+05:30,320.8,321.75,320.7,321.45,149925
2023-11-30 14:47:00+05:30,321.5,321.5,320.85,321.05,31248
2023-11-30 14:48:00+05:30,320.95,321.55,320.95,321.45,34494
2023-11-30 14:49:00+05:30,321.4,321.65,321.25,321.55,41509
2023-11-30 14:50:00+05:30,321.35,321.65,321.3,321.65,66133
2023-11-30 14:51:00+05:30,321.65,321.65,321.45,321.65,37200
2023-11-30 14:52:00+05:30,321.65,322.0,321.6,321.8,57086
2023-11-30 14:53:00+05:30,321.85,322.05,321.75,322.05,41554
2023-11-30 14:54:00+05:30,322.05,322.05,321.35,321.6,51815
2023-11-30 14:55:00+05:30,321.7,321.9,321.35,321.8,25671
2023-11-30 14:56:00+05:30,321.95,321.95,321.6,321.85,20166
2023-11-30 14:57:00+05:30,321.8,321.9,321.6,321.9,37045
2023-11-30 14:58:00+05:30,321.8,321.8,321.35,321.45,31925
2023-11-30 14:59:00+05:30,321.45,321.6,321.25,321.4,31574
2023-11-30 15:00:00+05:30,321.25,321.65,321.25,321.45,137815
2023-11-30 15:01:00+05:30,321.5,321.55,320.75,320.75,85778
2023-11-30 15:02:00+05:30,320.75,320.95,320.65,320.8,148916
2023-11-30 15:03:00+05:30,320.8,320.95,320.6,320.8,81683
2023-11-30 15:04:00+05:30,320.8,320.8,320.6,320.75,60506
2023-11-30 15:05:00+05:30,320.75,320.8,320.7,320.75,60764
2023-11-30 15:06:00+05:30,320.7,320.75,320.6,320.65,136804
2023-11-30 15:07:00+05:30,320.65,320.65,320.6,320.65,75839
2023-11-30 15:08:00+05:30,320.6,320.65,320.55,320.65,64118
2023-11-30 15:09:00+05:30,320.6,320.65,320.55,320.55,91962
2023-11-30 15:10:00+05:30,320.55,321.45,320.55,321.4,251937
2023-11-30 15:11:00+05:30,321.4,321.55,321.35,321.55,52460
2023-11-30 15:12:00+05:30,321.5,321.55,321.2,321.5,186473
2023-11-30 15:13:00+05:30,321.5,321.55,321.4,321.4,112064
2023-11-30 15:14:00+05:30,321.4,321.45,321.35,321.35,69417
2023-11-30 15:15:00+05:30,321.4,321.4,321.3,321.35,82428
2023-11-30 15:16:00+05:30,321.4,321.4,321.25,321.3,112128
2023-11-30 15:17:00+05:30,321.3,321.3,321.25,321.3,87425
2023-11-30 15:18:00+05:30,321.25,321.4,321.25,321.35,214056
2023-11-30 15:19:00+05:30,321.35,321.4,321.35,321.35,64503
2023-11-30 15:20:00+05:30,321.4,321.55,321.35,321.55,183041
2023-11-30 15:21:00+05:30,321.55,321.7,321.5,321.7,121667
2023-11-30 15:22:00+05:30,321.7,321.8,321.45,321.5,233554
2023-11-30 15:23:00+05:30,321.6,321.6,321.45,321.55,58694
2023-11-30 15:24:00+05:30,321.55,321.6,321.5,321.55,129173
2023-11-30 15:25:00+05:30,321.6,321.9,321.55,321.9,146300
2023-11-30 15:26:00+05:30,321.85,322.05,321.85,322.0,69145
