date,open,high,low,close,volume
2023-11-30 14:35:00+05:30,514.9,514.9,514.45,514.75,20860
2023-11-30 14:36:00+05:30,514.75,515.15,514.65,515.15,64024
2023-11-30 14:37:00+05:30,515.15,515.25,514.75,515.0,21670
2023-11-30 14:38:00+05:30,514.95,515.0,514.7,515.0,57041
2023-11-30 14:39:00+05:30,515.0,515.9,514.9,515.65,26360
2023-11-30 14:40:00+05:30,515.65,516.0,515.25,515.65,89398
2023-11-30 14:41:00+05:30,515.65,516.0,515.2,516.0,75745
2023-11-30 14:42:00+05:30,515.95,516.15,515.4,516.0,48683
2023-11-30 14:43:00+05:30,516.0,516.25,515.95,516.05,31536
2023-11-30 14:44:00+05:30,515.95,516.25,515.9,516.2,25665
2023-11-30 14:45:00+05:30,516.1,516.2,515.9,516.0,20737
2023-11-30 14:46:00+05:30,516.0,516.25,515.75,515.75,30531
2023-11-30 14:47:00+05:30,515.75,515.85,515.6,515.7,10756
2023-11-30 14:48:00+05:30,515.7,516.35,515.7,516.35,34163
2023-11-30 14:49:00+05:30,516.2,516.45,515.95,516.4,13845
2023-11-30 14:50:00+05:30,516.4,516.6,516.3,516.6,14167
2023-11-30 14:51:00+05:30,516.45,516.6,516.25,516.45,11680
2023-11-30 14:52:00+05:30,516.45,517.15,516.45,517.0,24142
2023-11-30 14:53:00+05:30,517.0,517.6,517.0,517.3,15961
2023-11-30 14:54:00+05:30,517.3,517.45,516.5,517.45,37508
2023-11-30 14:55:00+05:30,517.4,517.5,517.0,517.35,23996
2023-11-30 14:56:00+05:30,517.35,517.35,516.8,517.05,15677
2023-11-30 14:57:00+05:30,516.85,517.4,516.75,517.35,13356
2023-11-30 14:58:00+05:30,517.15,517.35,516.9,517.15,15385
2023-11-30 14:59:00+05:30,517.15,517.15,516.6,516.75,1702
2023-11-30 15:00:00+05:30,516.75,516.9,516.5,516.75,108745
2023-11-30 15:01:00+05:30,516.75,516.75,515.5,515.5,47288
2023-11-30 15:02:00+05:30,515.45,515.7,515.15,515.65,94481
2023-11-30 15:03:00+05:30,515.65,516.4,515.6,516.4,83928
2023-11-30 15:04:00+05:30,516.4,516.75,515.05,515.9,534950
2023-11-30 15:05:00+05:30,515.85,516.1,515.85,516.1,61914
2023-11-30 15:06:00+05:30,516.1,516.4,516.05,516.35,65395
2023-11-30 15:07:00+05:30,516.4,517.1,516.4,517.1,55180
2023-11-30 15:08:00+05:30,517.1,517.1,516.5,516.55,86688
2023-11-30 15:09:00+05:30,516.5,516.55,516.3,516.35,46160
2023-11-30 15:10:00+05:30,516.3,516.35,515.7,515.75,41167
2023-11-30 15:11:00+05:30,515.7,515.75,515.5,515.7,60412
2023-11-30 15:12:00+05:30,515.65,515.7,515.0,515.0,62891
2023-11-30 15:13:00+05:30,515.05,515.05,515.0,515.0,61010
2023-11-30 15:14:00+05:30,515.0,515.8,515.0,515.5,163472
2023-11-30 15:15:00+05:30,515.5,515.85,515.15,515.55,92733
2023-11-30 15:16:00+05:30,515.4,515.55,515.35,515.5,59716
2023-11-30 15:17:00+05:30,515.5,515.5,515.05,515.1,77280
2023-11-30 15:18:00+05:30,515.05,515.1,514.35,514.6,79151
2023-11-30 15:19:00+05:30,514.55,515.25,514.45,515.2,127252
2023-11-30 15:20:00+05:30,515.15,515.55,515.15,515.5,60269
2023-11-30 15:21:00+05:30,515.5,516.0,515.5,515.95,68762
2023-11-30 15:22:00+05:30,515.95,516.0,515.55,515.55,79635
2023-11-30 15:23:00+05:30,515.55,515.6,515.55,515.55,48751
2023-11-30 15:24:00+05:30,515.6,515.6,515.45,515.5,58653
2023-11-30 15:25:00+05:30,515.5,515.5,514.65,514.75,86791
2023-11-30 15:26:00+05:30,514.7,515.65,514.7,515.65,97037
2023-11-30 15:27:00+05:30,515.65,515.8,514.25,514.45,99230
2023-11-30 15:28:00+05:30,514.55,515.5,514.3,515.35,20655
2023-11-30 15:29:00+05:30,515.4,516.0,514.5,516.0,14880
2023-12-01 09:15:00+05:30,520.05,520.15,517.5,518.8,64083
2023-12-01 09:16:00+05:30,519.1,519.95,518.95,519.35,61097
2023-12-01 09:17:00+05:30,519.6,520.3,518.35,518.6,33719
2023-12-01 09:18:00+05:30,518.8,519.3,518.4,518.45,24050
2023-12-01 09:19:00+05:30,518.1,518.75,517.55,517.8,29890
2023-12-01 09:20:00+05:30,517.8,519.3,517.8,518.2,40603
2023-12-01 09:21:00+05:30,518.5,518.9,518.1,518.55,11160
2023-12-01 09:22:00+05:30,518.55,518.55,517.7,518.3,21868
2023-12-01 09:23:00+05:30,518.3,518.55,517.45,518.55,18278
2023-12-01 09:24:00+05:30,518.55,518.55,517.55,517.65,21269
2023-12-01 09:25:00+05:30,517.9,518.2,517.5,518.2,10120
2023-12-01 09:26:00+05:30,518.2,518.85,517.65,518.5,22599
2023-12-01 09:27:00+05:30,518.3,518.9,518.25,518.9,11059
2023-12-01 09:28:00+05:30,518.9,518.9,518.3,518.55,9549
2023-12-01 09:29:00+05:30,518.7,518.8,518.3,518.75,4609
2023-12-01 09:30:00+05:30,518.8,518.9,518.35,518.55,9992
2023-12-01 09:31:00+05:30,518.65,518.8,518.4,518.55,8335
2023-12-01 09:32:00+05:30,518.75,518.9,518.5,518.75,7796
2023-12-01 09:33:00+05:30,518.8,519.3,518.7,518.85,9546
2023-12-01 09:34:00+05:30,518.85,519.0,518.3,518.6,14024
2023-12-01 09:35:00+05:30,518.6,518.65,518.35,518.4,3248
2023-12-01 09:36:00+05:30,518.45,518.55,518.35,518.5,4250
2023-12-01 09:37:00+05:30,518.6,518.75,518.35,518.75,10399
2023-12-01 09:38:00+05:30,518.6,518.95,518.5,518.9,2655
2023-12-01 09:39:00+05:30,518.9,519.05,518.8,519.0,4487
2023-12-01 09:40:00+05:30,519.0,519.4,519.0,519.2,8191
2023-12-01 09:41:00+05:30,519.2,519.3,518.85,518.9,4141
2023-12-01 09:42:00+05:30,519.0,519.0,518.5,518.8,3165
2023-12-01 09:43:00+05:30,518.75,519.0,518.4,518.6,5513
2023-12-01 09:44:00+05:30,518.6,518.7,518.15,518.4,5212
2023-12-01 09:45:00+05:30,518.5,518.7,518.4,518.7,3075
2023-12-01 09:46:00+05:30,518.7,518.95,518.45,518.45,7808
2023-12-01 09:47:00+05:30,518.45,518.5,518.35,518.45,5806
2023-12-01 09:48:00+05:30,518.4,518.9,518.4,518.7,9332
2023-12-01 09:49:00+05:30,518.85,518.95,518.4,518.55,4784
2023-12-01 09:50:00+05:30,518.45,518.95,518.4,518.9,2730
2023-12-01 09:51:00+05:30,518.95,518.95,518.5,518.8,2121
2023-12-01 09:52:00+05:30,518.85,519.0,518.65,518.9,3228
