date,open,high,low,close,volume
2023-11-30 14:35:00+05:30,1752.15,1752.7,1751.2,1752.65,6768
2023-11-30 14:36:00+05:30,1752.6,1752.9,1751.05,1752.65,25486
2023-11-30 14:37:00+05:30,1752.65,1753.3,1751.6,1751.85,16126
2023-11-30 14:38:00+05:30,1751.85,1752.3,1751.4,1751.8,7143
2023-11-30 14:39:00+05:30,1751.95,1752.25,1751.0,1751.7,14613
2023-11-30 14:40:00+05:30,1751.6,1752.15,1751.5,1752.15,5582
2023-11-30 14:41:00+05:30,1752.0,1753.0,1752.0,1752.95,5569
2023-11-30 14:42:00+05:30,1753.0,1754.2,1752.7,1754.2,9084
2023-11-30 14:43:00+05:30,1754.2,1754.4,1752.95,1753.65,13507
2023-11-30 14:44:00+05:30,1753.45,1754.85,1753.35,1753.7,10506
2023-11-30 14:45:00+05:30,1753.9,1754.6,1753.45,1754.4,7540
2023-11-30 14:46:00+05:30,1754.15,1754.9,1753.55,1754.15,6601
2023-11-30 14:47:00+05:30,1753.7,1753.7,1752.15,1752.45,5832
2023-11-30 14:48:00+05:30,1752.45,1752.7,1751.25,1752.4,4986
2023-11-30 14:49:00+05:30,1752.15,1752.85,1751.65,1752.25,9741
2023-11-30 14:50:00+05:30,1752.25,1752.8,1751.35,1751.65,5262
2023-11-30 14:51:00+05:30,1751.65,1751.95,1750.55,1751.3,6543
2023-11-30 14:52:00+05:30,1751.25,1751.95,1750.5,1751.8,8336
2023-11-30 14:53:00+05:30,1751.25,1752.25,1750.95,1751.55,15665
2023-11-30 14:54:00+05:30,1751.9,1751.9,1750.25,1751.15,10261
2023-11-30 14:55:00+05:30,1751.25,1751.65,1750.45,1751.6,6889
2023-11-30 14:56:00+05:30,1751.6,1751.6,1750.0,1751.15,4846
2023-11-30 14:57:00+05:30,1750.8,1751.65,1750.25,1750.95,8407
2023-11-30 14:58:00+05:30,1751.0,1751.5,1750.15,1751.0,6353
2023-11-30 14:59:00+05:30,1751.0,1751.0,1749.5,1749.6,12042
2023-11-30 15:00:00+05:30,1749.6,1751.65,1749.5,1751.6,117449
2023-11-30 15:01:00+05:30,1751.7,1753.1,1750.65,1751.35,101339
2023-11-30 15:02:00+05:30,1751.35,1752.9,1751.35,1752.35,86920
2023-11-30 15:03:00+05:30,1752.3,1754.0,1752.25,1753.3,70970
2023-11-30 15:04:00+05:30,1753.65,1754.4,1752.75,1753.3,103230
2023-11-30 15:05:00+05:30,1753.25,1753.4,1753.0,1753.05,81659
2023-11-30 15:06:00+05:30,1753.05,1754.1,1753.05,1754.0,80227
2023-11-30 15:07:00+05:30,1753.95,1755.25,1753.85,1754.75,89287
2023-11-30 15:08:00+05:30,1754.65,1755.25,1751.8,1754.85,116112
2023-11-30 15:09:00+05:30,1754.9,1755.5,1754.9,1755.35,61528
2023-11-30 15:10:00+05:30,1755.4,1755.45,1754.35,1755.15,118557
2023-11-30 15:11:00+05:30,1755.15,1755.2,1754.15,1754.65,83384
2023-11-30 15:12:00+05:30,1754.55,1755.2,1754.55,1755.15,55602
2023-11-30 15:13:00+05:30,1755.15,1755.6,1755.0,1755.0,78070
2023-11-30 15:14:00+05:30,1755.05,1755.6,1755.0,1755.6,80467
2023-11-30 15:15:00+05:30,1755.6,1755.7,1755.35,1755.4,81112
2023-11-30 15:16:00+05:30,1755.35,1755.45,1755.25,1755.3,80102
2023-11-30 15:17:00+05:30,1755.25,1756.75,1755.25,1756.0,95930
2023-11-30 15:18:00+05:30,1756.0,1756.65,1755.9,1756.15,105374
2023-11-30 15:19:00+05:30,1756.15,1756.45,1756.0,1756.05,85244
2023-11-30 15:20:00+05:30,1756.05,1756.25,1755.95,1755.95,82901
2023-11-30 15:21:00+05:30,1756.0,1756.6,1755.95,1756.5,76502
2023-11-30 15:22:00+05:30,1756.5,1757.35,1756.5,1757.25,91037
2023-11-30 15:23:00+05:30,1757.25,1758.9,1757.2,1758.05,104492
2023-11-30 15:24:00+05:30,1758.05,1758.95,1758.0,1758.1,75098
2023-11-30 15:25:00+05:30,1758.1,1760.7,1758.1,1759.75,100050
2023-11-30 15:26:00+05:30,1759.9,1760.5,1758.1,1759.7,122912
2023-11-30 15:27:00+05:30,1760.15,1761.0,1758.15,1760.0,102403
2023-11-30 15:28:00+05:30,1759.75,1759.75,1755.05,1758.05,20401
2023-11-30 15:29:00+05:30,1757.9,1757.95,1755.05,1756.8,6678
2023-12-01 09:15:00+05:30,1760.0,1764.45,1758.1,1761.1,22503
