date,open,high,low,close,volume
2023-11-30 15:29:00+05:30,185.55,185.55,185.05,185.35,61923
2023-12-01 09:15:00+05:30,186.05,186.7,185.45,186.65,257952
2023-12-01 09:16:00+05:30,186.65,186.8,186.05,186.8,165626
2023-12-01 09:17:00+05:30,186.8,187.0,186.55,186.9,100944
2023-12-01 09:18:00+05:30,186.95,187.4,186.9,187.2,101260
2023-12-01 09:19:00+05:30,187.2,187.3,186.55,186.7,59380
2023-12-01 09:20:00+05:30,186.7,186.85,186.45,186.65,43712
2023-12-01 09:21:00+05:30,186.65,186.75,186.4,186.7,55056
2023-12-01 09:22:00+05:30,186.7,187.45,186.7,187.3,30549
2023-12-01 09:23:00+05:30,187.5,187.5,187.05,187.2,25814
2023-12-01 09:24:00+05:30,187.1,187.45,187.1,187.45,62582
2023-12-01 09:25:00+05:30,187.4,187.45,187.1,187.3,46505
2023-12-01 09:26:00+05:30,187.35,187.65,187.25,187.55,56475
2023-12-01 09:27:00+05:30,187.45,187.85,187.45,187.85,41377
2023-12-01 09:28:00+05:30,187.65,187.9,187.55,187.65,177049
2023-12-01 09:29:00+05:30,187.65,188.6,187.55,188.6,201626
2023-12-01 09:30:00+05:30,188.6,188.85,188.45,188.45,323111
2023-12-01 09:31:00+05:30,188.5,188.55,188.25,188.5,94881
2023-12-01 09:32:00+05:30,188.5,188.5,187.9,187.9,72156
2023-12-01 09:33:00+05:30,188.05,188.05,187.6,187.65,198200
2023-12-01 09:34:00+05:30,187.7,187.7,187.35,187.35,54180
2023-12-01 09:35:00+05:30,187.35,187.35,186.95,187.15,116027
2023-12-01 09:36:00+05:30,187.15,187.35,187.0,187.3,51342
2023-12-01 09:37:00+05:30,187.3,187.3,187.05,187.05,35858
2023-12-01 09:38:00+05:30,187.1,187.1,186.75,186.9,34399
2023-12-01 09:39:00+05:30,186.9,187.1,186.8,187.0,15922
2023-12-01 09:40:00+05:30,187.1,187.25,187.1,187.2,8849
2023-12-01 09:41:00+05:30,187.25,187.4,187.1,187.35,29273
2023-12-01 09:42:00+05:30,187.25,187.5,187.25,187.4,36787
2023-12-01 09:43:00+05:30,187.4,187.7,187.4,187.7,42068
2023-12-01 09:44:00+05:30,187.65,187.85,187.5,187.6,33761
2023-12-01 09:45:00+05:30,187.6,187.8,187.5,187.8,28014
2023-12-01 09:46:00+05:30,187.7,187.85,187.6,187.7,31607
2023-12-01 09:47:00+05:30,187.7,187.75,187.3,187.35,38488
2023-12-01 09:48:00+05:30,187.35,187.45,187.25,187.3,18199
2023-12-01 09:49:00+05:30,187.3,187.4,187.15,187.2,26172
2023-12-01 09:50:00+05:30,187.15,187.4,187.15,187.3,22152
2023-12-01 09:51:00+05:30,187.3,187.5,187.3,187.5,9659
2023-12-01 09:52:00+05:30,187.35,187.6,187.35,187.5,10856
2023-12-01 09:53:00+05:30,187.4,187.55,187.3,187.45,14813
2023-12-01 09:54:00+05:30,187.55,187.55,187.35,187.4,10647
2023-12-01 09:55:00+05:30,187.45,187.6,187.25,187.6,12369
2023-12-01 09:56:00+05:30,187.65,187.75,187.55,187.65,27858
2023-12-01 09:57:00+05:30,187.7,187.7,187.4,187.6,17705
2023-12-01 09:58:00+05:30,187.55,187.7,187.45,187.7,20738
2023-12-01 09:59:00+05:30,187.6,187.7,187.5,187.5,9359
2023-12-01 10:00:00+05:30,187.6,187.6,187.5,187.55,4684
2023-12-01 10:01:00+05:30,187.5,187.65,187.5,187.5,6900
2023-12-01 10:02:00+05:30,187.6,187.75,187.5,187.7,10407
2023-12-01 10:03:00+05:30,187.6,187.7,187.6,187.7,12495
2023-12-01 10:04:00+05:30,187.6,187.7,187.5,187.6,16471
2023-12-01 10:05:00+05:30,187.6,187.6,187.4,187.45,11657
2023-12-01 10:06:00+05:30,187.55,187.6,187.45,187.55,4049
2023-12-01 10:07:00+05:30,187.55,187.6,187.4,187.45,6090
