date,open,high,low,close,volume
2023-11-30 15:29:00+05:30,565.15,565.4,565.0,565.15,45085
2023-12-01 09:15:00+05:30,567.0,567.5,566.55,567.3,110669
2023-12-01 09:16:00+05:30,567.1,567.9,566.85,567.7,73624
2023-12-01 09:17:00+05:30,567.7,567.7,567.1,567.2,39476
2023-12-01 09:18:00+05:30,567.2,567.65,567.2,567.4,64540
2023-12-01 09:19:00+05:30,567.45,567.7,567.15,567.2,28158
2023-12-01 09:20:00+05:30,567.2,567.6,567.2,567.35,68420
2023-12-01 09:21:00+05:30,567.35,567.6,567.15,567.5,42369
2023-12-01 09:22:00+05:30,567.2,568.3,567.15,568.1,74377
2023-12-01 09:23:00+05:30,568.1,568.15,567.65,567.85,31951
2023-12-01 09:24:00+05:30,567.8,568.1,567.6,568.1,28823
2023-12-01 09:25:00+05:30,568.1,568.45,568.0,568.35,34913
2023-12-01 09:26:00+05:30,568.4,568.5,568.15,568.3,41325
2023-12-01 09:27:00+05:30,568.3,568.6,568.15,568.3,36698
2023-12-01 09:28:00+05:30,568.25,568.5,568.1,568.3,27020
2023-12-01 09:29:00+05:30,568.35,568.45,567.9,568.1,34888
2023-12-01 09:30:00+05:30,568.05,568.3,568.0,568.1,20893
2023-12-01 09:31:00+05:30,568.05,568.3,567.8,568.0,19755
2023-12-01 09:32:00+05:30,568.05,568.05,567.65,567.9,14362
2023-12-01 09:33:00+05:30,567.9,568.1,567.55,568.1,30167
2023-12-01 09:34:00+05:30,568.1,568.2,567.95,568.2,15957
2023-12-01 09:35:00+05:30,568.1,568.4,568.0,568.2,43220
2023-12-01 09:36:00+05:30,568.4,568.9,568.3,568.8,64888
2023-12-01 09:37:00+05:30,568.85,569.3,568.75,569.3,100625
2023-12-01 09:38:00+05:30,569.25,570.6,569.1,570.6,264830
2023-12-01 09:39:00+05:30,570.55,571.25,570.25,570.5,164776
2023-12-01 09:40:00+05:30,570.5,570.6,570.0,570.35,91111
2023-12-01 09:41:00+05:30,570.35,570.55,570.0,570.1,54916
2023-12-01 09:42:00+05:30,570.1,570.5,569.75,570.5,98053
2023-12-01 09:43:00+05:30,570.3,570.45,570.0,570.05,66694
2023-12-01 09:44:00+05:30,570.05,570.2,569.5,569.8,30340
2023-12-01 09:45:00+05:30,569.8,570.35,569.55,570.2,68635
