Date,OptionSymbol,Low,High,MaxReturn%,Volume
2025-12-24,ABB25DEC5200CE,44.4,95.0,114.0,258125.0
2025-12-24,ABB25DEC5200PE,21.15,39.05,84.6,188500.0
2025-12-24,ABCAPITAL25DEC345CE,4.95,12.1,144.4,2033600.0
2025-12-24,ABCAPITAL25DEC345PE,1.2,3.35,179.2,4476400.0
2025-12-24,ADANIENSOL25DEC1000CE,5.15,14.7,185.4,762750.0
2025-12-24,ADANIENSOL25DEC1000PE,7.3,14.9,104.1,297000.0
2025-12-24,ADANIENT25DEC2220CE,27.05,53.7,98.5,270993.0
2025-12-24,ADANIENT25DEC2220PE,10.5,24.3,131.4,744999.0
2025-12-24,ADANIGREEN25DEC1020CE,6.8,14.25,109.6,1440600.0
2025-12-24,ADANIGREEN25DEC1020PE,8.5,15.4,81.2,558600.0
2025-12-24,ADANIPORTS25DEC1500CE,8.55,16.95,98.2,3281775.0
2025-12-24,ADANIPORTS25DEC1500PE,8.4,18.85,124.4,1438775.0
2025-12-24,ALKEM25DEC5550CE,36.3,81.65,124.9,34500.0
2025-12-24,ALKEM25DEC5550PE,27.35,50.05,83.0,31625.0
2025-12-24,AMBER25DEC6700CE,52.0,122.0,134.6,117600.0
2025-12-24,AMBER25DEC6700PE,57.65,106.1,84.0,66100.0
2025-12-24,AMBUJACEM25DEC550CE,4.75,7.5,57.9,3728550.0
2025-12-24,AMBUJACEM25DEC550PE,3.7,7.5,102.7,1827000.0
2025-12-24,ANGELONE25DEC2500CE,50.35,87.5,73.8,121750.0
2025-12-24,ANGELONE25DEC2500PE,8.15,23.35,186.5,438000.0
2025-12-24,APLAPOLLO25DEC1860CE,10.85,25.3,133.2,72100.0
2025-12-24,APLAPOLLO25DEC1860PE,8.8,16.65,89.2,151900.0
2025-12-24,APOLLOHOSP25DEC7200CE,10.8,61.05,465.3,2247750.0
2025-12-24,APOLLOHOSP25DEC7200PE,57.7,113.1,96.0,250250.0
2025-12-24,ASHOKLEY25DEC175CE,1.27,3.42,169.3,10515000.0
2025-12-24,ASHOKLEY25DEC175PE,0.9,1.8,100.0,15115000.0
2025-12-24,ASIANPAINT25DEC2780CE,20.6,47.35,129.9,420000.0
2025-12-24,ASIANPAINT25DEC2780PE,6.55,17.2,162.6,882000.0
2025-12-24,ASTRAL25DEC1400CE,10.55,33.15,214.2,336175.0
2025-12-24,ASTRAL25DEC1400PE,6.3,17.5,177.8,310675.0
2025-12-24,AUBANK25DEC970CE,11.15,19.5,74.9,192000.0
2025-12-24,AUBANK25DEC970PE,3.4,6.0,76.5,688000.0
2025-12-24,AUROPHARMA25DEC1220CE,6.7,17.0,153.7,666600.0
2025-12-24,AUROPHARMA25DEC1220PE,10.35,17.4,68.1,304150.0
2025-12-24,AXISBANK25DEC1230CE,5.65,12.0,112.4,4801875.0
2025-12-24,AXISBANK25DEC1230PE,5.7,11.45,100.9,2994375.0
2025-12-24,BAJAJFINSV25DEC2040CE,8.75,29.65,238.9,1139750.0
2025-12-24,BAJAJFINSV25DEC2040PE,7.15,24.75,246.2,802250.0
2025-12-24,BAJFINANCE25DEC1010CE,7.45,29.15,291.3,3336000.0
2025-12-24,BAJFINANCE25DEC1010PE,2.05,12.75,522.0,7526250.0
2025-12-24,BANDHANBNK25DEC147.5CE,1.11,3.46,211.7,2754000.0
2025-12-24,BANDHANBNK25DEC147.5PE,1.0,2.5,150.0,1792800.0
2025-12-24,BANKBARODA25DEC290CE,2.65,5.0,88.7,4270500.0
2025-12-24,BANKBARODA25DEC290PE,1.25,2.35,88.0,4770675.0
2025-12-24,BANKINDIA25DEC139CE,1.73,2.66,53.8,78000.0
2025-12-24,BANKINDIA25DEC139PE,0.6,1.14,90.0,702000.0
2025-12-24,BDL25DEC1480CE,5.0,34.25,585.0,5919550.0
2025-12-24,BDL25DEC1480PE,13.2,42.35,220.8,2499575.0
2025-12-24,BEL25DEC400CE,3.15,6.15,95.2,12193725.0
2025-12-24,BEL25DEC400PE,2.1,5.2,147.6,9433500.0
2025-12-24,BHARATFORG25DEC1460CE,7.8,22.0,182.1,1135000.0
2025-12-24,BHARATFORG25DEC1460PE,10.55,19.95,89.1,446000.0
2025-12-24,BHARTIARTL25DEC2120CE,13.15,23.0,74.9,2534600.0
2025-12-24,BHARTIARTL25DEC2120PE,6.3,15.5,146.0,2580675.0
2025-12-24,BHEL25DEC277.5CE,3.45,8.75,153.6,947625.0
2025-12-24,BHEL25DEC277.5PE,0.8,2.4,200.0,1519875.0
2025-12-24,BIOCON25DEC400CE,2.6,7.9,203.8,7965000.0
2025-12-24,BIOCON25DEC400PE,1.85,4.9,164.9,5705000.0
2025-12-24,BLUESTARCO25DEC1780CE,11.55,28.0,142.4,387400.0
2025-12-24,BLUESTARCO25DEC1780PE,13.2,29.1,120.5,52975.0
2025-12-24,BOSCHLTD25DEC36000CE,262.55,520.8,98.4,21825.0
2025-12-24,BOSCHLTD25DEC36000PE,116.45,249.65,114.4,23500.0
2025-12-24,BPCL25DEC365CE,3.55,8.15,129.6,886775.0
2025-12-24,BPCL25DEC365PE,1.65,3.5,112.1,2581325.0
2025-12-24,BRITANNIA25DEC6000CE,43.0,90.0,109.3,57125.0
2025-12-24,BRITANNIA25DEC6000PE,23.25,42.05,80.9,143250.0
