Date,Symbol,Status,Spot P&L %,Entry Time
2025-12-26,HINDZINC,STOP_LOSS,-0.5,09:25
2025-12-26,IRCTC,TARGET_HIT,1.5,10:40
2025-12-26,IRCTC,STOP_LOSS,-0.5,11:30
2025-12-26,IREDA,STOP_LOSS,-0.5,09:35
2025-12-26,IREDA,STOP_LOSS,-0.5,10:00
2025-12-26,IREDA,STOP_LOSS,-0.5,10:15
2025-12-26,IREDA,STOP_LOSS,-0.5,10:25
2025-12-26,IRFC,TARGET_HIT,1.5,09:25
2025-12-26,IRFC,TARGET_HIT,1.5,09:45
2025-12-26,IRFC,STOP_LOSS,-0.5,10:35
2025-12-26,NBCC,TARGET_HIT,1.5,09:30
2025-12-26,RVNL,STOP_LOSS,-0.5,09:40
2025-12-26,RVNL,TARGET_HIT,1.5,09:50
2025-12-26,RVNL,STOP_LOSS,-0.5,10:45
2025-12-26,TITAGARH,STOP_LOSS,-0.5,09:40
