date,Spot_Price,Spot_Vol,Opt_Price,Opt_Vol,Opt_Vol_SMA
2025-12-26 09:15:00+05:30,348.0,147950.0,0.3,0,
2025-12-26 09:16:00+05:30,350.25,207311.0,0.2,2750,
2025-12-26 09:17:00+05:30,350.0,177603.0,0.3,2750,
2025-12-26 09:18:00+05:30,351.05,257960.0,0.45,12375,
2025-12-26 09:19:00+05:30,351.35,204456.0,0.45,6875,4950.0
2025-12-26 09:20:00+05:30,352.65,341893.0,0.45,0,4950.0
2025-12-26 09:21:00+05:30,352.65,193308.0,0.35,35750,11550.0
2025-12-26 09:22:00+05:30,352.95,134124.0,0.4,38500,18700.0
2025-12-26 09:23:00+05:30,353.4,167815.0,0.45,1375,16500.0
2025-12-26 09:24:00+05:30,353.7,184187.0,0.35,11000,17325.0
2025-12-26 09:25:00+05:30,354.45,440134.0,0.45,4125,18150.0
2025-12-26 09:26:00+05:30,354.7,173099.0,0.45,12375,13475.0
2025-12-26 09:27:00+05:30,355.55,238632.0,0.55,24750,10725.0
2025-12-26 09:28:00+05:30,357.65,368446.0,0.7,22000,14850.0
2025-12-26 09:29:00+05:30,359.35,507461.0,0.85,134750,39600.0
2025-12-26 09:30:00+05:30,360.8,890838.0,1.05,104500,59675.0
2025-12-26 09:31:00+05:30,362.7,711735.0,1.7,198000,96800.0
2025-12-26 09:32:00+05:30,367.5,942583.0,3.3,231000,138050.0
2025-12-26 09:33:00+05:30,369.6,1225095.0,4.55,925375,318725.0
2025-12-26 09:34:00+05:30,370.75,1417260.0,5.0,812625,454300.0
2025-12-26 09:35:00+05:30,373.0,1231192.0,6.55,1501500,733700.0
2025-12-26 09:36:00+05:30,370.65,781782.0,4.9,952875,884675.0
2025-12-26 09:37:00+05:30,374.0,1469566.0,6.8,924000,1023275.0
2025-12-26 09:38:00+05:30,375.6,1513183.0,7.05,961125,1030425.0
2025-12-26 09:39:00+05:30,375.9,882368.0,7.15,792000,1026300.0
2025-12-26 09:40:00+05:30,375.1,922943.0,6.7,702625,866525.0
2025-12-26 09:41:00+05:30,378.5,1289571.0,8.6,947375,865425.0
2025-12-26 09:42:00+05:30,377.25,766871.0,7.5,1069750,894575.0
2025-12-26 09:43:00+05:30,376.4,706879.0,7.3,611875,824725.0
2025-12-26 09:44:00+05:30,376.9,420338.0,7.3,479875,762300.0
2025-12-26 09:45:00+05:30,377.3,400211.0,7.65,424875,706750.0
2025-12-26 09:46:00+05:30,375.1,690031.0,6.05,726000,662475.0
2025-12-26 09:47:00+05:30,375.0,557382.0,6.2,591250,566775.0
2025-12-26 09:48:00+05:30,375.7,518101.0,6.7,305250,505450.0
2025-12-26 09:49:00+05:30,377.1,389127.0,7.0,360250,481525.0
2025-12-26 09:50:00+05:30,377.45,412525.0,7.65,418000,480150.0
2025-12-26 09:51:00+05:30,378.15,608940.0,8.15,1001000,535150.0
2025-12-26 09:52:00+05:30,377.05,408479.0,7.3,658625,548625.0
2025-12-26 09:53:00+05:30,376.7,312637.0,7.45,308000,549175.0
2025-12-26 09:54:00+05:30,377.85,317386.0,7.55,295625,536250.0
2025-12-26 09:55:00+05:30,376.95,275042.0,7.15,290125,510675.0
2025-12-26 09:56:00+05:30,377.0,222673.0,7.4,253000,361075.0
2025-12-26 09:57:00+05:30,376.75,252212.0,7.35,187000,266750.0
2025-12-26 09:58:00+05:30,377.2,183357.0,7.5,334125,271975.0
2025-12-26 09:59:00+05:30,377.95,770060.0,7.5,739750,360800.0
2025-12-26 10:00:00+05:30,378.65,336698.0,8.1,441375,391050.0
2025-12-26 10:01:00+05:30,378.15,179719.0,7.85,292875,399025.0
2025-12-26 10:02:00+05:30,376.5,395017.0,6.85,633875,488400.0
2025-12-26 10:03:00+05:30,378.2,315037.0,7.65,460625,513700.0
2025-12-26 10:04:00+05:30,378.25,247304.0,7.9,258500,417450.0
2025-12-26 10:05:00+05:30,377.2,153304.0,7.3,367125,402600.0
2025-12-26 10:06:00+05:30,377.7,237271.0,7.65,196625,383350.0
2025-12-26 10:07:00+05:30,378.1,164088.0,7.7,96250,275825.0
2025-12-26 10:08:00+05:30,377.5,188322.0,7.4,255750,234850.0
2025-12-26 10:09:00+05:30,377.25,141412.0,7.25,287375,240625.0
2025-12-26 10:10:00+05:30,377.5,136301.0,7.5,207625,208725.0
2025-12-26 10:11:00+05:30,377.1,130807.0,7.2,192500,207900.0
2025-12-26 10:12:00+05:30,376.95,239973.0,7.1,273625,243375.0
2025-12-26 10:13:00+05:30,377.25,133470.0,7.25,192500,230725.0
2025-12-26 10:14:00+05:30,377.4,91780.0,7.25,93500,191950.0
2025-12-26 10:15:00+05:30,377.3,161857.0,7.1,79750,166375.0
2025-12-26 10:16:00+05:30,377.65,86283.0,7.3,493625,226600.0
2025-12-26 10:17:00+05:30,376.75,242415.0,6.7,500500,271975.0
2025-12-26 10:18:00+05:30,376.5,98775.0,6.25,581625,349800.0
2025-12-26 10:19:00+05:30,376.65,194568.0,6.6,286000,388300.0
2025-12-26 10:20:00+05:30,377.75,158411.0,7.15,214500,415250.0
2025-12-26 10:21:00+05:30,378.5,433533.0,7.8,522500,421025.0
2025-12-26 10:22:00+05:30,378.35,841652.0,8.0,797500,480425.0
2025-12-26 10:23:00+05:30,379.2,324929.0,8.35,558250,475750.0
2025-12-26 10:24:00+05:30,379.4,322381.0,8.8,587125,535975.0
2025-12-26 10:25:00+05:30,380.25,1707033.0,9.95,1190750,731225.0
2025-12-26 10:26:00+05:30,380.25,226822.0,9.55,434500,713625.0
2025-12-26 10:27:00+05:30,380.25,165338.0,9.3,328625,619850.0
2025-12-26 10:28:00+05:30,380.25,189048.0,9.35,112750,530750.0
2025-12-26 10:29:00+05:30,380.25,102455.0,9.5,273625,468050.0
2025-12-26 10:30:00+05:30,380.25,82928.0,9.45,170500,264000.0
2025-12-26 10:31:00+05:30,380.25,119816.0,9.3,158125,208725.0
2025-12-26 10:32:00+05:30,380.25,55079.0,8.5,269500,196900.0
2025-12-26 10:33:00+05:30,380.25,53799.0,8.55,266750,227700.0
2025-12-26 10:34:00+05:30,380.25,115883.0,8.5,94875,191950.0
2025-12-26 10:35:00+05:30,380.25,43009.0,8.7,158125,189475.0
2025-12-26 10:36:00+05:30,380.25,38578.0,8.8,236500,205150.0
2025-12-26 10:37:00+05:30,380.25,30378.0,8.7,276375,206525.0
2025-12-26 10:38:00+05:30,380.25,31527.0,8.9,67375,166650.0
2025-12-26 10:39:00+05:30,380.25,39716.0,9.3,107250,169125.0
2025-12-26 10:40:00+05:30,378.1,2828666.0,7.3,831875,303875.0
2025-12-26 10:41:00+05:30,383.75,1184759.0,10.5,816750,419925.0
2025-12-26 10:42:00+05:30,385.3,1843048.0,11.4,939125,552475.0
2025-12-26 10:43:00+05:30,388.9,1997379.0,13.9,1091750,757350.0
2025-12-26 10:44:00+05:30,388.2,1095032.0,13.35,504625,836825.0
2025-12-26 10:45:00+05:30,389.85,1445606.0,14.9,765875,823625.0
2025-12-26 10:46:00+05:30,386.9,1213390.0,12.9,363000,732875.0
2025-12-26 10:47:00+05:30,386.85,704188.0,12.75,324500,609950.0
2025-12-26 10:48:00+05:30,386.75,817561.0,12.3,302500,452100.0
2025-12-26 10:49:00+05:30,388.3,747611.0,13.55,193875,389950.0
2025-12-26 10:50:00+05:30,388.8,721012.0,14.3,547250,346225.0
2025-12-26 10:51:00+05:30,388.2,418826.0,14.0,169125,307450.0
2025-12-26 10:52:00+05:30,387.65,377945.0,13.75,103125,263175.0
2025-12-26 10:53:00+05:30,387.75,331915.0,13.75,77000,218075.0
2025-12-26 10:54:00+05:30,387.2,339019.0,13.2,78375,194975.0
2025-12-26 10:55:00+05:30,388.25,408541.0,13.85,57750,97075.0
2025-12-26 10:56:00+05:30,387.55,275297.0,13.6,90750,81400.0
2025-12-26 10:57:00+05:30,388.2,205245.0,13.65,50875,70950.0
2025-12-26 10:58:00+05:30,387.15,193124.0,12.95,50875,65725.0
2025-12-26 10:59:00+05:30,387.0,249560.0,12.75,19250,53900.0
2025-12-26 11:00:00+05:30,386.8,323701.0,12.8,97625,61875.0
2025-12-26 11:01:00+05:30,386.6,217860.0,12.6,90750,61875.0
2025-12-26 11:02:00+05:30,388.4,437736.0,13.9,127875,77275.0
2025-12-26 11:03:00+05:30,388.8,466376.0,14.0,155375,98175.0
2025-12-26 11:04:00+05:30,389.15,338551.0,14.15,72875,108900.0
2025-12-26 11:05:00+05:30,388.35,274455.0,13.55,81125,105600.0
2025-12-26 11:06:00+05:30,386.85,259212.0,12.45,97625,106975.0
2025-12-26 11:07:00+05:30,387.65,149320.0,13.25,44000,90200.0
2025-12-26 11:08:00+05:30,387.35,119983.0,12.9,11000,61325.0
2025-12-26 11:09:00+05:30,387.9,195396.0,13.15,11000,48950.0
2025-12-26 11:10:00+05:30,388.15,111565.0,13.3,22000,37125.0
2025-12-26 11:11:00+05:30,388.65,394734.0,13.5,59125,29425.0
2025-12-26 11:12:00+05:30,388.35,101222.0,13.4,26125,25850.0
2025-12-26 11:13:00+05:30,387.8,202989.0,13.0,57750,35200.0
2025-12-26 11:14:00+05:30,387.7,116509.0,13.0,19250,36850.0
2025-12-26 11:15:00+05:30,388.65,274653.0,13.75,34375,39325.0
2025-12-26 11:16:00+05:30,388.45,121155.0,13.65,34375,34375.0
2025-12-26 11:17:00+05:30,388.1,129691.0,13.5,16500,32450.0
2025-12-26 11:18:00+05:30,388.0,83203.0,13.25,11000,23100.0
2025-12-26 11:19:00+05:30,387.75,124298.0,13.05,27500,24750.0
2025-12-26 11:20:00+05:30,387.4,173187.0,12.9,22000,22275.0
2025-12-26 11:21:00+05:30,387.35,104586.0,13.0,20625,19525.0
2025-12-26 11:22:00+05:30,388.3,242263.0,13.45,38500,23925.0
2025-12-26 11:23:00+05:30,389.4,560961.0,14.5,82500,38225.0
2025-12-26 11:24:00+05:30,390.0,1056471.0,14.7,319000,96525.0
2025-12-26 11:25:00+05:30,388.6,373228.0,13.75,96250,111375.0
2025-12-26 11:26:00+05:30,388.8,161763.0,14.0,42625,115775.0
2025-12-26 11:27:00+05:30,389.05,159746.0,14.3,41250,116325.0
2025-12-26 11:28:00+05:30,389.25,162031.0,14.3,38500,107525.0
2025-12-26 11:29:00+05:30,390.9,483894.0,15.4,34375,50600.0
2025-12-26 11:30:00+05:30,390.3,220933.0,14.9,85250,48400.0
2025-12-26 11:31:00+05:30,389.65,220395.0,14.6,49500,49775.0
2025-12-26 11:32:00+05:30,389.85,95350.0,14.65,22000,45925.0
2025-12-26 11:33:00+05:30,392.1,1103091.0,16.1,114125,61050.0
2025-12-26 11:34:00+05:30,391.4,527151.0,15.3,96250,73425.0
2025-12-26 11:35:00+05:30,389.8,362746.0,14.5,77000,71775.0
2025-12-26 11:36:00+05:30,390.1,255170.0,14.7,37125,69300.0
2025-12-26 11:37:00+05:30,390.25,132289.0,14.85,11000,67100.0
2025-12-26 11:38:00+05:30,390.3,131336.0,14.85,17875,47850.0
2025-12-26 11:39:00+05:30,390.4,229978.0,15.2,22000,33000.0
2025-12-26 11:40:00+05:30,390.05,151173.0,14.6,31625,23925.0
2025-12-26 11:41:00+05:30,389.45,154782.0,14.2,49500,26400.0
2025-12-26 11:42:00+05:30,389.05,156111.0,14.2,35750,31350.0
2025-12-26 11:43:00+05:30,390.2,192920.0,15.15,38500,35475.0
2025-12-26 11:44:00+05:30,390.4,101492.0,15.0,16500,34375.0
2025-12-26 11:45:00+05:30,389.55,80505.0,14.45,15125,31075.0
2025-12-26 11:46:00+05:30,389.65,119419.0,14.7,30250,27225.0
2025-12-26 11:47:00+05:30,389.4,64747.0,14.3,9625,22000.0
2025-12-26 11:48:00+05:30,389.0,194567.0,14.35,53625,25025.0
2025-12-26 11:49:00+05:30,389.35,157083.0,14.55,26125,26950.0
2025-12-26 11:50:00+05:30,389.05,208285.0,14.4,17875,27500.0
2025-12-26 11:51:00+05:30,389.1,69793.0,14.25,8250,23100.0
2025-12-26 11:52:00+05:30,389.55,104284.0,14.55,41250,29425.0
2025-12-26 11:53:00+05:30,389.35,73878.0,14.7,9625,20625.0
2025-12-26 11:54:00+05:30,388.7,167488.0,14.15,41250,23650.0
2025-12-26 11:55:00+05:30,388.6,343042.0,13.7,49500,29975.0
2025-12-26 11:56:00+05:30,388.2,76041.0,13.6,35750,35475.0
2025-12-26 11:57:00+05:30,388.2,255629.0,13.35,39875,35200.0
2025-12-26 11:58:00+05:30,388.1,112611.0,13.35,17875,36850.0
2025-12-26 11:59:00+05:30,388.55,70410.0,13.75,23375,33275.0
2025-12-26 12:00:00+05:30,389.2,138660.0,14.25,38500,31075.0
2025-12-26 12:01:00+05:30,388.85,113557.0,14.0,26125,29150.0
2025-12-26 12:02:00+05:30,389.7,213303.0,14.45,37125,28600.0
2025-12-26 12:03:00+05:30,389.25,174240.0,14.3,23375,29700.0
2025-12-26 12:04:00+05:30,389.2,42223.0,14.2,12375,27500.0
2025-12-26 12:05:00+05:30,389.8,110683.0,14.5,2750,20350.0
2025-12-26 12:06:00+05:30,390.8,506954.0,15.15,55000,26125.0
2025-12-26 12:07:00+05:30,390.45,140454.0,14.9,38500,26400.0
2025-12-26 12:08:00+05:30,390.65,105238.0,15.2,17875,25300.0
2025-12-26 12:09:00+05:30,390.25,98862.0,15.0,2750,23375.0
2025-12-26 12:10:00+05:30,389.4,148780.0,14.25,35750,29975.0
2025-12-26 12:11:00+05:30,389.35,87119.0,14.1,23375,23650.0
2025-12-26 12:12:00+05:30,389.9,142639.0,14.5,15125,18975.0
2025-12-26 12:13:00+05:30,389.8,44020.0,14.4,19250,19250.0
2025-12-26 12:14:00+05:30,389.75,51623.0,14.4,2750,19250.0
2025-12-26 12:15:00+05:30,389.2,84173.0,14.25,35750,19250.0
2025-12-26 12:16:00+05:30,389.25,73264.0,14.2,24750,19525.0
2025-12-26 12:17:00+05:30,389.65,66073.0,14.3,13750,19250.0
2025-12-26 12:18:00+05:30,389.35,42346.0,14.2,5500,16500.0
2025-12-26 12:19:00+05:30,389.3,43467.0,14.15,8250,17600.0
2025-12-26 12:20:00+05:30,389.8,64541.0,14.25,4125,11275.0
2025-12-26 12:21:00+05:30,390.0,73397.0,14.65,4125,7150.0
