Symbol,MaxScore,MaxReturn,LastReason
ABB,50,147.6,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (3.0x)']"
ABCAPITAL,35,150.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (1.6x)']"
ADANIENSOL,35,743.5,"['Strong Trend (ADX 50.0)', 'Vol Squeeze']"
ADANIENT,50,137.4,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.3x)']"
ADANIGREEN,35,168.7,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (1.9x)']"
ADANIPORTS,20,145.3,"['ADX < 25 (Choppy)', 'Vol Squeeze']"
ALKEM,50,291.4,"['Strong Trend (ADX 27.3)', 'Vol Squeeze', 'High Vol (1.9x)']"
AMBER,50,158.4,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.2x)']"
AMBUJACEM,65,200.0,"['Strong Trend (ADX 33.6)', 'Vol Squeeze', 'IGNITION Vol (2.5x)']"
ANGELONE,65,238.8,"['Strong Trend (ADX 27.0)', 'Vol Squeeze', 'IGNITION Vol (2.3x)']"
APLAPOLLO,65,461.8,"['Strong Trend (ADX 42.1)', 'Vol Squeeze', 'IGNITION Vol (2.0x)']"
APOLLOHOSP,35,163.6,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (1.6x)']"
ASHOKLEY,35,464.5,"['Strong Trend (ADX 52.5)', 'Vol Squeeze']"
ASIANPAINT,50,279.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.3x)']"
ASTRAL,50,117.9,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.2x)']"
AUBANK,50,151.9,"['Strong Trend (ADX 25.6)', 'Vol Squeeze', 'High Vol (1.7x)']"
AUROPHARMA,50,166.7,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.3x)']"
AXISBANK,35,186.7,"['Strong Trend (ADX 41.1)', 'Vol Squeeze']"
BAJAJFINSV,65,129.5,"['Strong Trend (ADX 43.8)', 'Vol Squeeze', 'IGNITION Vol (3.4x)']"
BAJFINANCE,50,212.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.0x)']"
BANDHANBNK,65,130.8,"['Strong Trend (ADX 47.4)', 'Vol Squeeze', 'IGNITION Vol (2.7x)']"
BANKBARODA,65,160.0,"['Strong Trend (ADX 25.9)', 'Vol Squeeze', 'IGNITION Vol (2.6x)']"
BANKINDIA,50,106.7,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.1x)']"
BDL,35,500.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (1.5x)']"
BEL,65,312.5,"['Strong Trend (ADX 26.2)', 'Vol Squeeze', 'IGNITION Vol (2.9x)']"
BHARATFORG,50,165.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.8x)']"
BHEL,35,438.5,"['Strong Trend (ADX 44.8)', 'Vol Squeeze']"
BIOCON,65,288.9,"['Strong Trend (ADX 26.0)', 'Vol Squeeze', 'IGNITION Vol (3.5x)']"
BLUESTARCO,35,218.2,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (2.0x)']"
BOSCHLTD,50,129.9,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (4.0x)']"
BPCL,35,254.5,"['Strong Trend (ADX 44.9)', 'Vol Squeeze']"
BRITANNIA,50,134.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (3.1x)']"
BSE,50,230.8,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.0x)']"
CAMS,35,183.9,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (2.0x)']"
CANBK,20,120.3,"['ADX < 25 (Choppy)', 'Vol Squeeze']"
CDSL,65,176.5,"['Strong Trend (ADX 25.8)', 'Vol Squeeze', 'IGNITION Vol (3.5x)']"
CGPOWER,50,120.0,"['Strong Trend (ADX 32.8)', 'Vol Squeeze', 'High Vol (1.6x)']"
CHOLAFIN,50,187.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (3.1x)']"
CIPLA,50,294.4,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.2x)']"
COALINDIA,20,410.0,"['ADX < 25 (Choppy)', 'Vol Squeeze']"
COFORGE,35,256.0,"['Strong Trend (ADX 55.8)', 'Vol Squeeze']"
COLPAL,50,235.0,"['Strong Trend (ADX 39.1)', 'Vol Squeeze', 'High Vol (1.7x)']"
CONCOR,65,687.5,"['Strong Trend (ADX 55.0)', 'Vol Squeeze', 'IGNITION Vol (4.0x)']"
CROMPTON,35,150.0,"['Strong Trend (ADX 25.5)', 'Vol Squeeze']"
CUMMINSIND,50,253.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.0x)']"
CYIENT,35,109.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (1.5x)']"
DABUR,50,152.2,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.7x)']"
DALBHARAT,65,1043.2,"['Strong Trend (ADX 44.3)', 'Vol Squeeze', 'IGNITION Vol (2.2x)']"
DELHIVERY,20,127.3,"['ADX < 25 (Choppy)', 'Vol Squeeze']"
DIVISLAB,65,153.5,"['Strong Trend (ADX 25.5)', 'Vol Squeeze', 'IGNITION Vol (3.4x)']"
DIXON,50,187.2,"['Strong Trend (ADX 47.8)', 'Vol Squeeze', 'High Vol (1.6x)']"
DLF,65,156.5,"['Strong Trend (ADX 27.3)', 'Vol Squeeze', 'IGNITION Vol (4.5x)']"
DMART,20,137.0,"['ADX < 25 (Choppy)', 'Vol Squeeze']"
DRREDDY,50,266.7,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (5.4x)']"
EICHERMOT,65,235.0,"['Strong Trend (ADX 28.2)', 'Vol Squeeze', 'IGNITION Vol (3.6x)']"
ETERNAL,50,325.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (6.5x)']"
EXIDEIND,50,212.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.7x)']"
FEDERALBNK,35,180.0,"['Strong Trend (ADX 32.1)', 'Vol Squeeze']"
FORTIS,35,212.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (1.9x)']"
GAIL,20,533.3,"['ADX < 25 (Choppy)', 'Vol Squeeze']"
GLENMARK,35,512.5,"['Strong Trend (ADX 36.0)', 'Vol Squeeze']"
GMRAIRPORT,50,100.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.5x)']"
GODREJCP,65,283.3,"['Strong Trend (ADX 31.7)', 'Vol Squeeze', 'IGNITION Vol (2.3x)']"
GODREJPROP,50,150.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.2x)']"
GRASIM,50,183.3,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (7.2x)']"
HAL,50,168.2,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.6x)']"
HAVELLS,50,130.8,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.5x)']"
HCLTECH,65,288.9,"['Strong Trend (ADX 38.5)', 'Vol Squeeze', 'IGNITION Vol (4.3x)']"
HDFCAMC,50,90.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (10.4x)']"
HDFCBANK,50,141.8,"['Strong Trend (ADX 33.8)', 'Vol Squeeze', 'High Vol (1.9x)']"
HDFCLIFE,50,125.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (3.3x)']"
HEROMOTOCO,65,282.9,"['Strong Trend (ADX 45.0)', 'Vol Squeeze', 'IGNITION Vol (2.1x)']"
HFCL,60,277.8,"['ADX < 25 (Choppy)', 'Below SMA50', 'Vol Squeeze', 'IGNITION Vol (9.1x)']"
HINDALCO,65,240.7,"['Strong Trend (ADX 26.9)', 'Vol Squeeze', 'IGNITION Vol (3.5x)']"
HINDPETRO,50,142.1,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.3x)']"
HINDUNILVR,50,361.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.5x)']"
HINDZINC,35,747.8,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (1.7x)']"
HUDCO,65,806.2,"['Strong Trend (ADX 38.5)', 'Vol Squeeze', 'IGNITION Vol (2.6x)']"
ICICIBANK,65,168.8,"['Strong Trend (ADX 30.3)', 'Vol Squeeze', 'IGNITION Vol (2.5x)']"
ICICIGI,35,153.7,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (1.8x)']"
ICICIPRULI,50,225.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (4.1x)']"
IDEA,50,133.3,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.6x)']"
IDFCFIRSTB,50,233.3,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (5.5x)']"
IEX,50,812.5,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.2x)']"
IIFL,65,325.0,"['Strong Trend (ADX 27.1)', 'Vol Squeeze', 'IGNITION Vol (2.2x)']"
INDHOTEL,50,130.8,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (4.1x)']"
INDIANB,50,126.2,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.4x)']"
INDIGO,35,269.6,"['Strong Trend (ADX 27.7)', 'Vol Squeeze']"
INDUSINDBK,50,414.7,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (5.5x)']"
INDUSTOWER,50,516.7,"['Strong Trend (ADX 26.0)', 'Vol Squeeze', 'High Vol (1.6x)']"
INFY,65,333.3,"['Strong Trend (ADX 28.8)', 'Vol Squeeze', 'IGNITION Vol (2.0x)']"
INOXWIND,50,358.3,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.9x)']"
IOC,35,214.8,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'High Vol (1.6x)']"
IRCTC,35,3142.9,"['Strong Trend (ADX 58.9)', 'Vol Squeeze']"
IREDA,35,1141.7,"['Strong Trend (ADX 72.7)', 'Vol Squeeze']"
IRFC,50,2235.0,"['Strong Trend (ADX 56.2)', 'Vol Squeeze', 'High Vol (1.6x)']"
ITC,65,270.0,"['Strong Trend (ADX 54.0)', 'Vol Squeeze', 'IGNITION Vol (3.8x)']"
JINDALSTEL,50,175.8,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (2.0x)']"
JIOFIN,50,75.0,"['ADX < 25 (Choppy)', 'Vol Squeeze', 'IGNITION Vol (3.0x)']"
JSWENERGY,20,122.5,"['ADX < 25 (Choppy)', 'Vol Squeeze']"
JSWSTEEL,20,452.9,"['ADX < 25 (Choppy)', 'Vol Squeeze']"
JUBLFOOD,65,566.7,"['Strong Trend (ADX 49.2)', 'Vol Squeeze', 'IGNITION Vol (4.1x)']"
KAYNES,20,144.6,"['ADX < 25 (Choppy)', 'Vol Squeeze']"
KEI,65,505.7,"['Strong Trend (ADX 25.7)', 'Vol Squeeze', 'IGNITION Vol (2.7x)']"
