date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,175.72,175.75,175.59,175.6,39265
2025-12-24 12:00:00+05:30,175.6,175.75,175.54,175.68,64403
2025-12-24 12:05:00+05:30,175.68,175.72,175.47,175.55,224968
2025-12-24 12:10:00+05:30,175.5,175.75,175.5,175.7,88936
2025-12-24 12:15:00+05:30,175.7,175.72,175.03,175.2,375973
2025-12-24 12:20:00+05:30,175.15,175.28,175.0,175.03,162034
2025-12-24 12:25:00+05:30,175.03,175.25,174.95,175.2,225014
2025-12-24 12:30:00+05:30,175.17,175.32,175.17,175.17,59329
2025-12-24 12:35:00+05:30,175.17,175.25,175.11,175.25,30733
2025-12-24 12:40:00+05:30,175.21,175.25,175.1,175.2,38438
2025-12-24 12:45:00+05:30,175.2,175.21,175.05,175.07,36235
2025-12-24 12:50:00+05:30,175.12,175.14,175.0,175.08,109180
2025-12-24 12:55:00+05:30,175.08,175.1,174.99,175.0,51363
2025-12-24 13:00:00+05:30,175.05,175.08,175.0,175.04,222979
2025-12-24 13:05:00+05:30,175.04,175.05,175.0,175.05,66431
2025-12-24 13:10:00+05:30,175.04,175.2,175.04,175.14,27043
2025-12-24 13:15:00+05:30,175.13,175.2,175.04,175.09,43079
2025-12-24 13:20:00+05:30,175.09,175.27,175.08,175.26,30231
2025-12-24 13:25:00+05:30,175.26,175.45,175.16,175.4,76345
2025-12-24 13:30:00+05:30,175.44,175.49,175.24,175.43,53111
2025-12-24 13:35:00+05:30,175.41,175.79,175.41,175.79,97771
2025-12-24 13:40:00+05:30,175.75,175.79,175.6,175.78,42990
2025-12-24 13:45:00+05:30,175.78,175.8,175.74,175.79,29768
2025-12-24 13:50:00+05:30,175.8,175.95,175.77,175.94,68271
2025-12-24 13:55:00+05:30,175.94,175.95,175.69,175.82,47247
2025-12-24 14:00:00+05:30,175.83,175.83,175.57,175.69,68485
2025-12-24 14:05:00+05:30,175.69,175.9,175.65,175.74,105090
2025-12-24 14:10:00+05:30,175.74,175.75,175.54,175.63,153001
2025-12-24 14:15:00+05:30,175.58,175.65,175.5,175.58,56424
2025-12-24 14:20:00+05:30,175.58,175.6,175.16,175.34,133390
2025-12-24 14:25:00+05:30,175.34,175.39,174.76,175.24,234403
2025-12-24 14:30:00+05:30,175.24,175.35,175.23,175.26,103398
2025-12-24 14:35:00+05:30,175.26,175.29,175.12,175.15,70408
2025-12-24 14:40:00+05:30,175.15,175.3,175.14,175.3,64363
2025-12-24 14:45:00+05:30,175.25,175.33,175.14,175.33,83747
2025-12-24 14:50:00+05:30,175.33,175.33,175.08,175.17,102486
2025-12-24 14:55:00+05:30,175.16,175.28,175.1,175.27,136858
