date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,145.5,145.76,144.73,144.74,98200
2025-12-29 09:16:00+05:30,144.74,144.99,144.68,144.99,67406
2025-12-29 09:17:00+05:30,145.03,145.03,144.84,144.86,24876
2025-12-29 09:18:00+05:30,144.86,145.05,144.86,144.95,27203
2025-12-29 09:19:00+05:30,145.02,145.02,144.8,144.93,15435
2025-12-29 09:20:00+05:30,144.93,144.93,144.6,144.62,46975
2025-12-29 09:21:00+05:30,144.61,144.88,144.53,144.69,31603
2025-12-29 09:22:00+05:30,144.65,144.8,144.64,144.8,4171
2025-12-29 09:23:00+05:30,144.8,144.96,144.76,144.89,21944
2025-12-29 09:24:00+05:30,144.95,145.35,144.8,145.21,18670
2025-12-29 09:25:00+05:30,145.21,145.33,145.19,145.24,12814
2025-12-29 09:26:00+05:30,145.2,145.28,145.11,145.14,6151
2025-12-29 09:27:00+05:30,145.2,145.2,145.01,145.04,16861
2025-12-29 09:28:00+05:30,145.0,145.02,144.92,144.97,12295
2025-12-29 09:29:00+05:30,144.97,144.97,144.81,144.84,6868
2025-12-29 09:30:00+05:30,144.83,144.83,144.66,144.7,19641
2025-12-29 09:31:00+05:30,144.7,144.79,144.7,144.76,3041
2025-12-29 09:32:00+05:30,144.76,144.8,144.71,144.8,2170
2025-12-29 09:33:00+05:30,144.79,144.83,144.65,144.66,31341
2025-12-29 09:34:00+05:30,144.66,144.74,144.63,144.71,13699
2025-12-29 09:35:00+05:30,144.75,144.79,144.71,144.71,2523
2025-12-29 09:36:00+05:30,144.72,144.9,144.72,144.83,5987
2025-12-29 09:37:00+05:30,144.82,144.85,144.74,144.8,1085
2025-12-29 09:38:00+05:30,144.8,144.8,144.58,144.67,21335
2025-12-29 09:39:00+05:30,144.59,144.71,144.59,144.62,6032
2025-12-29 09:40:00+05:30,144.62,144.74,144.52,144.52,12172
2025-12-29 09:41:00+05:30,144.53,144.54,144.43,144.52,28926
2025-12-29 09:42:00+05:30,144.52,144.73,144.5,144.6,10869
