date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,140.66,140.87,140.64,140.83,29002
2025-12-24 12:00:00+05:30,140.83,140.95,140.74,140.87,46537
2025-12-24 12:05:00+05:30,140.87,140.93,140.8,140.83,18628
2025-12-24 12:10:00+05:30,140.81,140.92,140.81,140.92,33482
2025-12-24 12:15:00+05:30,140.91,141.09,140.79,140.92,82574
2025-12-24 12:20:00+05:30,140.92,140.98,140.84,140.89,7007
2025-12-24 12:25:00+05:30,140.89,140.89,140.57,140.63,21126
2025-12-24 12:30:00+05:30,140.63,140.8,140.58,140.75,12185
2025-12-24 12:35:00+05:30,140.75,140.88,140.71,140.71,32896
2025-12-24 12:40:00+05:30,140.71,140.78,140.56,140.63,10320
2025-12-24 12:45:00+05:30,140.64,140.65,140.57,140.61,10195
2025-12-24 12:50:00+05:30,140.63,140.63,140.45,140.53,32662
2025-12-24 12:55:00+05:30,140.53,140.55,140.35,140.44,41609
2025-12-24 13:00:00+05:30,140.46,140.46,140.33,140.41,24720
2025-12-24 13:05:00+05:30,140.41,140.46,140.22,140.25,45255
2025-12-24 13:10:00+05:30,140.25,140.25,140.15,140.18,17939
2025-12-24 13:15:00+05:30,140.17,140.17,140.05,140.08,27815
2025-12-24 13:20:00+05:30,140.08,140.08,139.91,139.97,60195
2025-12-24 13:25:00+05:30,139.97,139.98,139.78,139.93,50070
2025-12-24 13:30:00+05:30,139.94,139.94,139.7,139.8,41934
2025-12-24 13:35:00+05:30,139.79,140.05,139.7,140.05,34478
2025-12-24 13:40:00+05:30,140.07,140.31,140.03,140.26,42075
2025-12-24 13:45:00+05:30,140.26,140.31,140.14,140.15,31471
2025-12-24 13:50:00+05:30,140.15,140.27,140.15,140.22,14244
2025-12-24 13:55:00+05:30,140.22,140.22,139.9,140.0,18734
2025-12-24 14:00:00+05:30,140.0,140.0,139.81,139.93,36499
2025-12-24 14:05:00+05:30,139.93,139.94,139.8,139.86,24906
2025-12-24 14:10:00+05:30,139.86,139.92,139.86,139.92,13239
2025-12-24 14:15:00+05:30,139.92,140.0,139.89,139.91,7245
2025-12-24 14:20:00+05:30,139.91,139.99,139.85,139.94,13302
2025-12-24 14:25:00+05:30,139.94,140.0,139.87,139.96,7906
2025-12-24 14:30:00+05:30,139.96,140.0,139.83,139.83,19189
2025-12-24 14:35:00+05:30,139.88,139.9,139.8,139.81,12628
2025-12-24 14:40:00+05:30,139.82,139.87,139.81,139.87,20585
2025-12-24 14:45:00+05:30,139.87,140.0,139.86,139.96,29492
2025-12-24 14:50:00+05:30,139.96,139.96,139.81,139.85,17396
2025-12-24 14:55:00+05:30,139.85,140.2,139.84,140.2,34912
2025-12-24 15:00:00+05:30,140.33,140.39,139.85,139.94,61976
2025-12-24 15:05:00+05:30,139.94,139.99,139.81,139.89,90276
2025-12-24 15:10:00+05:30,139.81,139.86,139.7,139.78,48289
2025-12-24 15:15:00+05:30,139.73,139.8,139.65,139.75,122240
2025-12-24 15:20:00+05:30,139.74,139.82,139.68,139.75,82100
2025-12-24 15:25:00+05:30,139.74,139.8,139.37,139.37,127000
2025-12-26 09:15:00+05:30,140.0,140.25,139.36,139.88,142075
2025-12-26 09:20:00+05:30,139.9,140.39,139.78,140.0,72412
2025-12-26 09:25:00+05:30,140.01,140.63,140.0,140.49,86334
2025-12-26 09:30:00+05:30,140.54,140.68,140.23,140.41,53884
2025-12-26 09:35:00+05:30,140.42,140.48,140.2,140.44,38416
2025-12-26 09:40:00+05:30,140.35,140.42,140.0,140.26,31395
2025-12-26 09:45:00+05:30,140.2,140.3,140.06,140.3,12162
2025-12-26 09:50:00+05:30,140.29,140.29,139.88,140.03,62273
2025-12-26 09:55:00+05:30,140.03,140.43,140.0,140.38,23150
2025-12-26 10:00:00+05:30,140.4,140.44,139.88,140.05,29229
2025-12-26 10:05:00+05:30,140.05,140.05,139.83,139.9,85135
2025-12-26 10:10:00+05:30,139.93,139.93,139.56,139.69,35635
2025-12-26 10:15:00+05:30,139.68,139.98,139.65,139.89,18112
2025-12-26 10:20:00+05:30,139.87,139.89,139.67,139.76,7582
2025-12-26 10:25:00+05:30,139.75,139.95,139.68,139.88,19078
2025-12-26 10:30:00+05:30,139.9,139.9,139.73,139.82,9106
2025-12-26 10:35:00+05:30,139.81,139.85,139.76,139.85,8817
2025-12-26 10:40:00+05:30,139.85,139.9,139.69,139.77,24479
2025-12-26 10:45:00+05:30,139.77,139.78,139.66,139.68,16524
2025-12-26 10:50:00+05:30,139.66,139.78,139.62,139.69,60010
2025-12-26 10:55:00+05:30,139.66,139.7,139.51,139.58,26387
2025-12-26 11:00:00+05:30,139.75,139.75,139.5,139.6,40810
2025-12-26 11:05:00+05:30,139.6,139.67,139.53,139.55,15371
2025-12-26 11:10:00+05:30,139.59,139.67,139.48,139.62,12760
2025-12-26 11:15:00+05:30,139.62,139.69,139.55,139.67,16972
2025-12-26 11:20:00+05:30,139.62,139.64,139.5,139.51,14579
2025-12-26 11:25:00+05:30,139.56,139.62,139.5,139.52,16843
2025-12-26 11:30:00+05:30,139.55,139.55,139.2,139.2,29422
2025-12-26 11:35:00+05:30,139.2,139.31,139.17,139.25,27247
2025-12-26 11:40:00+05:30,139.25,139.63,139.25,139.47,160086
2025-12-26 11:45:00+05:30,139.55,139.56,139.44,139.5,14684
2025-12-26 11:50:00+05:30,139.5,139.56,139.42,139.54,11980
2025-12-26 11:55:00+05:30,139.56,139.65,139.54,139.59,12264
2025-12-26 12:00:00+05:30,139.59,139.64,139.5,139.54,18868
2025-12-26 12:05:00+05:30,139.52,139.77,139.46,139.77,14690
2025-12-26 12:10:00+05:30,139.75,139.95,139.71,139.9,15974
2025-12-26 12:15:00+05:30,139.95,139.95,139.83,139.94,13320
2025-12-26 12:20:00+05:30,139.94,140.13,139.89,140.13,52414
2025-12-26 12:25:00+05:30,140.1,140.1,139.91,140.01,22030
2025-12-26 12:30:00+05:30,140.01,140.01,139.65,139.84,39403
2025-12-26 12:35:00+05:30,139.84,139.88,139.73,139.73,7699
2025-12-26 12:40:00+05:30,139.77,139.89,139.71,139.89,23495
2025-12-26 12:45:00+05:30,139.89,139.97,139.84,139.89,2632
2025-12-26 12:50:00+05:30,139.89,139.94,139.82,139.92,25478
2025-12-26 12:55:00+05:30,139.93,139.93,139.82,139.93,8434
2025-12-26 13:00:00+05:30,139.93,139.93,139.81,139.91,3794
2025-12-26 13:05:00+05:30,139.91,139.91,139.8,139.85,7168
2025-12-26 13:10:00+05:30,139.86,139.92,139.81,139.92,7393
2025-12-26 13:15:00+05:30,139.92,139.93,139.85,139.91,8261
2025-12-26 13:20:00+05:30,139.91,140.0,139.89,139.89,18604
2025-12-26 13:25:00+05:30,139.91,140.0,139.83,139.98,11582
2025-12-26 13:30:00+05:30,140.0,140.13,139.92,140.03,36793
2025-12-26 13:35:00+05:30,140.03,140.13,139.97,140.13,40904
2025-12-26 13:40:00+05:30,140.13,140.2,140.04,140.2,39911
2025-12-26 13:45:00+05:30,140.2,140.25,140.06,140.18,13568
2025-12-26 13:50:00+05:30,140.2,140.2,140.02,140.1,14875
2025-12-26 13:55:00+05:30,140.1,140.15,140.03,140.05,10703
2025-12-26 14:00:00+05:30,140.16,140.25,140.15,140.23,14911
2025-12-26 14:05:00+05:30,140.22,140.25,140.04,140.2,11982
2025-12-26 14:10:00+05:30,140.24,140.24,140.05,140.1,14292
2025-12-26 14:15:00+05:30,140.15,140.17,139.93,139.96,20662
2025-12-26 14:20:00+05:30,139.99,139.99,139.77,139.89,17173
2025-12-26 14:25:00+05:30,139.89,139.98,139.88,139.91,18476
2025-12-26 14:30:00+05:30,139.95,139.95,139.67,139.67,31377
2025-12-26 14:35:00+05:30,139.71,139.71,139.51,139.54,38176
2025-12-26 14:40:00+05:30,139.54,139.58,139.4,139.46,32232
2025-12-26 14:45:00+05:30,139.4,139.47,139.16,139.17,62874
2025-12-26 14:50:00+05:30,139.19,139.36,139.15,139.36,34435
2025-12-26 14:55:00+05:30,139.36,139.81,139.3,139.81,32911
2025-12-26 15:00:00+05:30,139.85,140.11,139.66,139.86,49841
2025-12-26 15:05:00+05:30,139.92,139.95,139.77,139.77,45714
2025-12-26 15:10:00+05:30,139.82,139.82,139.68,139.79,63371
2025-12-26 15:15:00+05:30,139.79,139.87,139.65,139.79,115822
2025-12-26 15:20:00+05:30,139.81,139.92,139.61,139.65,74725
2025-12-26 15:25:00+05:30,139.63,139.79,139.51,139.6,82829
2025-12-29 09:15:00+05:30,139.77,140.1,139.28,139.65,188821
2025-12-29 09:20:00+05:30,139.65,140.12,139.57,140.11,74662
2025-12-29 09:25:00+05:30,140.11,140.23,139.45,139.54,93109
2025-12-29 09:30:00+05:30,139.54,139.82,139.54,139.69,26308
2025-12-29 09:35:00+05:30,139.69,139.99,139.67,139.94,22337
2025-12-29 09:40:00+05:30,139.94,139.95,139.44,139.59,42984
2025-12-29 09:45:00+05:30,139.61,139.72,139.47,139.48,42761
2025-12-29 09:50:00+05:30,139.48,139.51,139.3,139.3,24822
2025-12-29 09:55:00+05:30,139.28,139.28,139.0,139.0,41679
