date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,401.0,402.55,400.0,401.55,392861
2025-12-29 09:16:00+05:30,401.55,401.8,401.1,401.4,182659
2025-12-29 09:17:00+05:30,401.4,401.5,400.8,401.0,176768
2025-12-29 09:18:00+05:30,400.85,402.45,400.85,401.85,200859
2025-12-29 09:19:00+05:30,401.8,402.25,401.2,401.3,98305
2025-12-29 09:20:00+05:30,401.35,401.85,401.0,401.3,71592
2025-12-29 09:21:00+05:30,401.35,401.85,401.1,401.65,70524
2025-12-29 09:22:00+05:30,401.85,401.9,401.0,401.3,70653
2025-12-29 09:23:00+05:30,401.3,401.8,401.0,401.8,43932
2025-12-29 09:24:00+05:30,401.8,401.8,401.35,401.4,53657
2025-12-29 09:25:00+05:30,401.55,401.65,401.3,401.5,20507
2025-12-29 09:26:00+05:30,401.35,402.05,401.35,401.75,96019
2025-12-29 09:27:00+05:30,401.75,401.75,401.25,401.4,25432
2025-12-29 09:28:00+05:30,401.45,401.65,401.2,401.4,40055
2025-12-29 09:29:00+05:30,401.5,401.55,401.0,401.3,58646
2025-12-29 09:30:00+05:30,401.2,402.0,401.2,401.95,57464
2025-12-29 09:31:00+05:30,401.8,402.25,401.7,402.25,69608
2025-12-29 09:32:00+05:30,402.25,402.5,402.0,402.1,53886
2025-12-29 09:33:00+05:30,402.1,402.35,401.75,402.35,44706
2025-12-29 09:34:00+05:30,402.7,402.8,402.45,402.5,115408
2025-12-29 09:35:00+05:30,402.65,403.45,402.55,402.9,131728
2025-12-29 09:36:00+05:30,402.9,402.95,402.4,402.7,44229
2025-12-29 09:37:00+05:30,402.85,402.9,402.3,402.45,52275
2025-12-29 09:38:00+05:30,402.4,402.5,402.1,402.2,25389
2025-12-29 09:39:00+05:30,402.2,402.45,402.1,402.35,33539
2025-12-29 09:40:00+05:30,402.4,402.45,402.0,402.0,25909
2025-12-29 09:41:00+05:30,402.15,402.2,401.55,401.7,42376
2025-12-29 09:42:00+05:30,401.65,401.8,400.85,401.15,295954
2025-12-29 09:43:00+05:30,400.95,401.6,400.85,401.4,36368
2025-12-29 09:44:00+05:30,401.3,401.4,401.0,401.15,38817
2025-12-29 09:45:00+05:30,401.1,401.15,401.0,401.1,35098
2025-12-29 09:46:00+05:30,401.1,401.35,400.9,401.05,62210
2025-12-29 09:47:00+05:30,400.95,401.4,400.9,401.05,28297
2025-12-29 09:48:00+05:30,400.95,401.2,400.95,401.1,13967
2025-12-29 09:49:00+05:30,401.1,401.3,401.1,401.15,20520
2025-12-29 09:50:00+05:30,401.15,401.15,401.05,401.1,13994
2025-12-29 09:51:00+05:30,401.0,401.1,400.95,401.1,18509
2025-12-29 09:52:00+05:30,401.0,402.3,400.95,402.3,275907
2025-12-29 09:53:00+05:30,402.3,402.3,401.75,401.75,202950
2025-12-29 09:54:00+05:30,401.7,402.25,401.6,401.9,183869
2025-12-29 09:55:00+05:30,401.9,402.0,401.25,401.45,17646
2025-12-29 09:56:00+05:30,401.45,401.7,401.25,401.55,16667
2025-12-29 09:57:00+05:30,401.55,401.8,401.45,401.6,13093
2025-12-29 09:58:00+05:30,401.7,401.7,401.5,401.5,12255
2025-12-29 09:59:00+05:30,401.6,401.6,401.1,401.4,66082
2025-12-29 10:00:00+05:30,401.35,402.2,401.1,402.2,218926
2025-12-29 10:01:00+05:30,402.1,402.45,402.1,402.25,74839
2025-12-29 10:02:00+05:30,402.25,402.8,402.25,402.35,357054
2025-12-29 10:03:00+05:30,402.35,402.4,401.75,401.9,38993
2025-12-29 10:04:00+05:30,401.9,401.95,401.65,401.8,10574
2025-12-29 10:05:00+05:30,401.8,401.8,401.5,401.6,22603
2025-12-29 10:06:00+05:30,401.6,401.8,401.35,401.55,37549
2025-12-29 10:07:00+05:30,401.55,401.65,401.35,401.4,10300
2025-12-29 10:08:00+05:30,401.45,401.45,401.05,401.25,23965
2025-12-29 10:09:00+05:30,401.15,401.25,401.1,401.15,16695
2025-12-29 10:10:00+05:30,401.15,401.25,401.15,401.25,13097
2025-12-29 10:11:00+05:30,401.15,401.2,401.0,401.2,30292
2025-12-29 10:12:00+05:30,401.15,401.2,401.1,401.15,10657
2025-12-29 10:13:00+05:30,401.1,401.2,401.05,401.15,8280
2025-12-29 10:14:00+05:30,401.1,401.15,401.0,401.1,15805
2025-12-29 10:15:00+05:30,401.1,401.1,400.75,400.8,87299
2025-12-29 10:16:00+05:30,400.85,400.9,400.6,400.65,23899
2025-12-29 10:17:00+05:30,400.65,400.65,400.2,400.35,43421
2025-12-29 10:18:00+05:30,400.3,400.35,400.05,400.2,40832
2025-12-29 10:19:00+05:30,400.2,400.2,400.0,400.1,54427
2025-12-29 10:20:00+05:30,400.1,400.15,399.8,400.05,58849
2025-12-29 10:21:00+05:30,400.0,400.0,399.8,399.9,18067
2025-12-29 10:22:00+05:30,399.9,399.9,399.5,399.6,101413
2025-12-29 10:23:00+05:30,399.6,399.6,399.3,399.5,30463
2025-12-29 10:24:00+05:30,399.5,399.6,399.35,399.6,30321
2025-12-29 10:25:00+05:30,399.7,399.75,399.5,399.55,20897
2025-12-29 10:26:00+05:30,399.75,399.95,399.65,399.85,16723
2025-12-29 10:27:00+05:30,399.85,399.9,399.65,399.9,18556
2025-12-29 10:28:00+05:30,399.9,399.95,399.75,399.8,14032
2025-12-29 10:29:00+05:30,399.95,400.0,399.8,399.95,36497
2025-12-29 10:30:00+05:30,399.85,399.95,399.4,399.65,26001
2025-12-29 10:31:00+05:30,399.65,399.75,399.5,399.65,19663
2025-12-29 10:32:00+05:30,399.55,399.75,399.55,399.75,17750
2025-12-29 10:33:00+05:30,399.8,400.0,399.7,400.0,18220
2025-12-29 10:34:00+05:30,400.0,400.0,399.65,399.85,14825
2025-12-29 10:35:00+05:30,399.85,400.0,399.8,399.8,12265
2025-12-29 10:36:00+05:30,399.85,400.0,399.75,399.9,12036
2025-12-29 10:37:00+05:30,399.9,399.95,399.8,399.85,6417
2025-12-29 10:38:00+05:30,399.85,399.9,399.8,399.9,4844
2025-12-29 10:39:00+05:30,399.9,400.2,399.9,400.1,23130
2025-12-29 10:40:00+05:30,400.2,400.2,400.0,400.15,9875
2025-12-29 10:41:00+05:30,400.15,400.15,399.5,399.8,36895
2025-12-29 10:42:00+05:30,399.65,399.8,399.55,399.7,9194
2025-12-29 10:43:00+05:30,399.7,399.7,399.4,399.4,20764
2025-12-29 10:44:00+05:30,399.55,399.6,399.35,399.5,12948
2025-12-29 10:45:00+05:30,399.55,399.65,399.4,399.55,10972
2025-12-29 10:46:00+05:30,399.55,399.55,399.2,399.2,14010
2025-12-29 10:47:00+05:30,399.3,399.35,399.1,399.3,17380
2025-12-29 10:48:00+05:30,399.3,399.5,399.3,399.4,15203
2025-12-29 10:49:00+05:30,399.5,399.85,399.45,399.75,23666
2025-12-29 10:50:00+05:30,399.85,399.95,399.75,399.75,22008
2025-12-29 10:51:00+05:30,399.75,399.95,399.55,399.9,31237
2025-12-29 10:52:00+05:30,399.9,400.0,399.6,400.0,15664
2025-12-29 10:53:00+05:30,400.0,400.0,399.75,399.75,13380
2025-12-29 10:54:00+05:30,399.9,399.95,399.7,399.9,12193
2025-12-29 10:55:00+05:30,399.9,399.95,399.7,399.85,36565
2025-12-29 10:56:00+05:30,399.9,399.9,399.7,399.9,9698
2025-12-29 10:57:00+05:30,399.9,399.95,399.75,399.9,18964
2025-12-29 10:58:00+05:30,399.9,399.9,399.75,399.85,18049
2025-12-29 10:59:00+05:30,399.85,399.9,399.75,399.9,9949
2025-12-29 11:00:00+05:30,399.9,399.95,399.75,399.95,8232
2025-12-29 11:01:00+05:30,399.95,399.95,399.75,399.95,12359
2025-12-29 11:02:00+05:30,399.95,399.95,399.75,399.85,14037
2025-12-29 11:03:00+05:30,399.85,399.85,399.85,399.85,25
