date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,2130.2,2131.7,2129.4,2129.8,15270
2025-12-24 12:00:00+05:30,2129.8,2131.6,2129.6,2130.3,28488
2025-12-24 12:05:00+05:30,2129.7,2131.0,2127.2,2128.2,22269
2025-12-24 12:10:00+05:30,2128.2,2128.5,2128.0,2128.0,11714
2025-12-24 12:15:00+05:30,2128.4,2128.9,2128.0,2128.2,32361
2025-12-24 12:20:00+05:30,2128.1,2130.0,2127.1,2128.4,19371
2025-12-24 12:25:00+05:30,2128.0,2130.0,2127.6,2129.6,15026
2025-12-24 12:30:00+05:30,2129.6,2130.7,2128.5,2128.9,12266
2025-12-24 12:35:00+05:30,2128.9,2130.7,2128.6,2128.9,13171
2025-12-24 12:40:00+05:30,2128.9,2130.6,2128.8,2129.7,18234
2025-12-24 12:45:00+05:30,2129.4,2131.1,2129.0,2130.3,19420
2025-12-24 12:50:00+05:30,2129.9,2131.1,2129.4,2129.9,16823
2025-12-24 12:55:00+05:30,2129.9,2132.3,2129.6,2131.0,20895
2025-12-24 13:00:00+05:30,2131.5,2131.7,2129.4,2131.0,16002
2025-12-24 13:05:00+05:30,2130.9,2132.6,2130.1,2132.1,31809
2025-12-24 13:10:00+05:30,2131.6,2137.0,2131.6,2137.0,42105
2025-12-24 13:15:00+05:30,2136.6,2137.2,2135.7,2136.0,51776
2025-12-24 13:20:00+05:30,2136.0,2136.0,2133.4,2134.2,15755
2025-12-24 13:25:00+05:30,2133.9,2136.4,2132.7,2134.8,58019
2025-12-24 13:30:00+05:30,2134.8,2135.8,2133.0,2134.9,14251
2025-12-24 13:35:00+05:30,2135.0,2135.0,2132.8,2132.8,26632
2025-12-24 13:40:00+05:30,2133.3,2134.3,2131.7,2134.0,25873
2025-12-24 13:45:00+05:30,2134.3,2134.3,2132.0,2132.1,10964
2025-12-24 13:50:00+05:30,2132.0,2133.7,2131.8,2133.1,8333
2025-12-24 13:55:00+05:30,2133.1,2133.1,2130.4,2131.9,17262
2025-12-24 14:00:00+05:30,2131.9,2134.3,2131.5,2134.2,44629
2025-12-24 14:05:00+05:30,2133.9,2135.8,2131.2,2133.5,220732
2025-12-24 14:10:00+05:30,2133.7,2135.0,2132.9,2135.0,78762
2025-12-24 14:15:00+05:30,2134.8,2134.8,2130.5,2130.5,13202
2025-12-24 14:20:00+05:30,2130.5,2130.7,2128.4,2129.2,24945
2025-12-24 14:25:00+05:30,2129.0,2130.3,2127.8,2130.0,103006
2025-12-24 14:30:00+05:30,2130.0,2130.5,2126.0,2126.6,152989
2025-12-24 14:35:00+05:30,2126.6,2127.8,2125.8,2127.8,24930
2025-12-24 14:40:00+05:30,2127.8,2127.8,2125.5,2126.1,43262
2025-12-24 14:45:00+05:30,2126.2,2126.6,2125.1,2125.2,27592
2025-12-24 14:50:00+05:30,2125.2,2125.3,2122.1,2125.3,132998
2025-12-24 14:55:00+05:30,2124.5,2127.3,2124.5,2125.0,80714
2025-12-24 15:00:00+05:30,2125.2,2125.4,2121.4,2125.3,170160
2025-12-24 15:05:00+05:30,2125.4,2126.4,2121.7,2121.8,184910
2025-12-24 15:10:00+05:30,2121.7,2125.6,2120.3,2125.4,173187
2025-12-24 15:15:00+05:30,2125.3,2125.8,2122.3,2122.3,93796
2025-12-24 15:20:00+05:30,2122.3,2124.2,2121.9,2124.2,95556
2025-12-24 15:25:00+05:30,2123.9,2125.0,2123.5,2123.5,39180
2025-12-26 09:15:00+05:30,2123.0,2123.0,2116.9,2118.0,36773
2025-12-26 09:20:00+05:30,2118.0,2119.4,2116.1,2118.4,21593
2025-12-26 09:25:00+05:30,2118.5,2118.7,2116.8,2118.7,12938
2025-12-26 09:30:00+05:30,2118.7,2120.0,2117.2,2117.5,6836
2025-12-26 09:35:00+05:30,2117.5,2117.5,2115.1,2115.2,6895
2025-12-26 09:40:00+05:30,2115.2,2115.9,2115.0,2115.1,6034
2025-12-26 09:45:00+05:30,2115.0,2116.2,2115.0,2115.7,5692
2025-12-26 09:50:00+05:30,2115.2,2116.2,2112.9,2113.4,7241
2025-12-26 09:55:00+05:30,2113.4,2115.0,2113.0,2114.0,6850
2025-12-26 10:00:00+05:30,2113.7,2114.0,2112.1,2113.1,5966
2025-12-26 10:05:00+05:30,2113.1,2115.0,2111.4,2111.4,37150
2025-12-26 10:10:00+05:30,2111.4,2112.5,2109.1,2111.5,13252
2025-12-26 10:15:00+05:30,2111.3,2112.0,2109.5,2110.9,4611
2025-12-26 10:20:00+05:30,2110.7,2111.0,2107.6,2108.6,15513
2025-12-26 10:25:00+05:30,2108.7,2109.8,2107.5,2108.4,9262
