date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,36435,36445,36410,36445,8
2025-12-24 12:00:00+05:30,36445,36445,36410,36415,5
2025-12-24 12:05:00+05:30,36415,36440,36410,36435,15
2025-12-24 12:10:00+05:30,36435,36440,36400,36405,7
2025-12-24 12:15:00+05:30,36405,36430,36405,36410,2
2025-12-24 12:20:00+05:30,36410,36440,36405,36440,9
2025-12-24 12:25:00+05:30,36440,36440,36415,36440,14
2025-12-24 12:30:00+05:30,36440,36470,36415,36445,66
2025-12-24 12:35:00+05:30,36445,36455,36425,36425,11
2025-12-24 12:40:00+05:30,36425,36455,36420,36425,33
2025-12-24 12:45:00+05:30,36455,36470,36425,36425,64
2025-12-24 12:50:00+05:30,36425,36465,36420,36455,20
2025-12-24 12:55:00+05:30,36455,36455,36420,36420,11
2025-12-24 13:00:00+05:30,36445,36445,36365,36400,1023
2025-12-24 13:05:00+05:30,36400,36405,36325,36325,912
2025-12-24 13:10:00+05:30,36325,36355,36310,36325,145
2025-12-24 13:15:00+05:30,36315,36400,36245,36400,821
2025-12-24 13:20:00+05:30,36405,36415,36295,36305,418
2025-12-24 13:25:00+05:30,36305,36360,36275,36300,329
2025-12-24 13:30:00+05:30,36300,36315,36230,36230,62
2025-12-24 13:35:00+05:30,36230,36295,36180,36180,342
2025-12-24 13:40:00+05:30,36210,36225,36155,36155,245
2025-12-24 13:45:00+05:30,36175,36180,36145,36160,51
2025-12-24 13:50:00+05:30,36160,36170,36140,36150,53
2025-12-24 13:55:00+05:30,36150,36170,36140,36150,56
2025-12-24 14:00:00+05:30,36150,36265,36150,36250,1342
2025-12-24 14:05:00+05:30,36250,36315,36250,36300,1212
2025-12-24 14:10:00+05:30,36300,36310,36300,36305,737
2025-12-24 14:15:00+05:30,36300,36310,36245,36285,879
2025-12-24 14:20:00+05:30,36285,36370,36220,36220,477
2025-12-24 14:25:00+05:30,36220,36305,36195,36215,244
2025-12-24 14:30:00+05:30,36205,36225,36125,36130,146
2025-12-24 14:35:00+05:30,36130,36165,36105,36120,176
2025-12-24 14:40:00+05:30,36120,36130,36065,36115,230
2025-12-24 14:45:00+05:30,36130,36130,36030,36050,240
2025-12-24 14:50:00+05:30,36050,36090,36050,36090,39
2025-12-24 14:55:00+05:30,36090,36245,36090,36205,996
2025-12-24 15:00:00+05:30,36240,36265,36200,36220,459
2025-12-24 15:05:00+05:30,36225,36235,36200,36210,467
2025-12-24 15:10:00+05:30,36210,36210,36155,36190,653
2025-12-24 15:15:00+05:30,36180,36245,36170,36190,568
2025-12-24 15:20:00+05:30,36190,36225,36135,36190,895
2025-12-24 15:25:00+05:30,36190,36205,36010,36150,438
2025-12-26 09:15:00+05:30,36045,36150,35915,36145,165
2025-12-26 09:20:00+05:30,36165,36245,36135,36245,138
2025-12-26 09:25:00+05:30,36245,36280,36195,36215,296
2025-12-26 09:30:00+05:30,36215,36340,36200,36275,278
2025-12-26 09:35:00+05:30,36275,36290,36185,36235,120
2025-12-26 09:40:00+05:30,36235,36270,36180,36195,67
2025-12-26 09:45:00+05:30,36195,36195,36155,36165,48
2025-12-26 09:50:00+05:30,36165,36165,36110,36120,49
2025-12-26 09:55:00+05:30,36120,36140,36110,36110,7
2025-12-26 10:00:00+05:30,36110,36150,36105,36105,69
