date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,150.06,150.62,149.81,150.0,123207
2025-12-29 09:16:00+05:30,149.95,150.44,149.93,150.44,41629
2025-12-29 09:17:00+05:30,150.36,150.37,150.14,150.25,54234
2025-12-29 09:18:00+05:30,150.26,150.55,150.26,150.55,63641
2025-12-29 09:19:00+05:30,150.55,150.55,150.36,150.45,56397
2025-12-29 09:20:00+05:30,150.42,150.45,150.3,150.37,34311
2025-12-29 09:21:00+05:30,150.37,150.49,150.37,150.39,57040
2025-12-29 09:22:00+05:30,150.38,150.48,150.26,150.33,22737
2025-12-29 09:23:00+05:30,150.38,150.38,150.34,150.38,17981
2025-12-29 09:24:00+05:30,150.36,150.38,150.25,150.33,18597
2025-12-29 09:25:00+05:30,150.32,150.37,150.22,150.3,17669
2025-12-29 09:26:00+05:30,150.3,150.32,150.18,150.18,26932
2025-12-29 09:27:00+05:30,150.25,150.25,150.15,150.16,18375
2025-12-29 09:28:00+05:30,150.12,150.2,150.12,150.13,22977
2025-12-29 09:29:00+05:30,150.13,150.2,150.08,150.13,20953
2025-12-29 09:30:00+05:30,150.1,150.13,150.05,150.05,33390
2025-12-29 09:31:00+05:30,150.12,150.15,150.0,150.1,115886
2025-12-29 09:32:00+05:30,150.12,150.15,150.03,150.07,33557
2025-12-29 09:33:00+05:30,150.07,150.07,150.02,150.02,79047
2025-12-29 09:34:00+05:30,150.02,150.06,150.02,150.06,75983
2025-12-29 09:35:00+05:30,150.1,150.15,150.1,150.1,107848
2025-12-29 09:36:00+05:30,150.18,150.19,150.14,150.17,35395
2025-12-29 09:37:00+05:30,150.18,150.33,150.14,150.33,71208
2025-12-29 09:38:00+05:30,150.33,150.35,150.18,150.2,49545
2025-12-29 09:39:00+05:30,150.24,150.35,150.2,150.3,34313
2025-12-29 09:40:00+05:30,150.35,150.35,150.25,150.25,44409
2025-12-29 09:41:00+05:30,150.3,150.3,150.15,150.16,46816
2025-12-29 09:42:00+05:30,150.16,150.16,150.14,150.14,9112
2025-12-29 09:43:00+05:30,150.14,150.15,150.06,150.11,23835
2025-12-29 09:44:00+05:30,150.1,150.1,150.01,150.05,30684
2025-12-29 09:45:00+05:30,150.07,150.24,150.07,150.14,30586
2025-12-29 09:46:00+05:30,150.14,150.23,150.14,150.18,12448
2025-12-29 09:47:00+05:30,150.15,150.18,150.09,150.12,8291
2025-12-29 09:48:00+05:30,150.12,150.12,150.02,150.05,50445
2025-12-29 09:49:00+05:30,150.05,150.09,150.02,150.03,25950
2025-12-29 09:50:00+05:30,150.03,150.06,150.0,150.05,28909
2025-12-29 09:51:00+05:30,150.05,150.05,150.0,150.0,268340
2025-12-29 09:52:00+05:30,150.0,150.01,150.0,150.0,292124
2025-12-29 09:53:00+05:30,150.0,150.01,149.99,150.0,327456
2025-12-29 09:54:00+05:30,150.0,150.1,150.0,150.0,83616
2025-12-29 09:55:00+05:30,150.0,150.06,150.0,150.0,173427
2025-12-29 09:56:00+05:30,150.02,150.02,149.92,149.94,21414
2025-12-29 09:57:00+05:30,149.94,149.94,149.78,149.83,51673
2025-12-29 09:58:00+05:30,149.78,149.94,149.77,149.93,76654
2025-12-29 09:59:00+05:30,149.93,149.94,149.89,149.93,34737
2025-12-29 10:00:00+05:30,149.93,149.94,149.89,149.92,19908
2025-12-29 10:01:00+05:30,149.91,150.0,149.89,149.98,634443
2025-12-29 10:02:00+05:30,150.05,150.11,150.05,150.11,59139
2025-12-29 10:03:00+05:30,150.11,150.18,150.09,150.15,24686
2025-12-29 10:04:00+05:30,150.14,150.15,150.11,150.13,25003
2025-12-29 10:05:00+05:30,150.13,150.13,150.06,150.07,17170
2025-12-29 10:06:00+05:30,150.06,150.1,150.06,150.08,14128
2025-12-29 10:07:00+05:30,150.09,150.17,150.05,150.05,39951
2025-12-29 10:08:00+05:30,150.09,150.13,150.03,150.09,29310
2025-12-29 10:09:00+05:30,150.05,150.15,150.01,150.15,29697
2025-12-29 10:10:00+05:30,150.15,150.18,150.14,150.16,22125
2025-12-29 10:11:00+05:30,150.11,150.16,150.04,150.08,26522
2025-12-29 10:12:00+05:30,150.08,150.11,150.01,150.1,50249
2025-12-29 10:13:00+05:30,150.11,150.11,150.01,150.08,16276
2025-12-29 10:14:00+05:30,150.06,150.07,150.04,150.06,10287
2025-12-29 10:15:00+05:30,150.07,150.08,150.05,150.06,12735
2025-12-29 10:16:00+05:30,150.06,150.06,150.02,150.02,10637
2025-12-29 10:17:00+05:30,150.05,150.1,150.02,150.03,56936
2025-12-29 10:18:00+05:30,150.03,150.07,150.03,150.04,18596
2025-12-29 10:19:00+05:30,150.04,150.05,150.0,150.01,18633
2025-12-29 10:20:00+05:30,150.03,150.03,150.0,150.01,4324
2025-12-29 10:21:00+05:30,150.02,150.02,150.0,150.0,40235
2025-12-29 10:22:00+05:30,150.01,150.02,150.0,150.02,28953
2025-12-29 10:23:00+05:30,150.03,150.04,150.0,150.04,9955
2025-12-29 10:24:00+05:30,150.04,150.05,149.93,150.05,347787
2025-12-29 10:25:00+05:30,150.02,150.06,150.02,150.02,10697
2025-12-29 10:26:00+05:30,150.02,150.17,150.02,150.17,23867
2025-12-29 10:27:00+05:30,150.17,150.18,150.08,150.14,6845
2025-12-29 10:28:00+05:30,150.14,150.14,150.07,150.08,15250
2025-12-29 10:29:00+05:30,150.12,150.12,150.07,150.08,7820
2025-12-29 10:30:00+05:30,150.09,150.09,150.03,150.05,15417
2025-12-29 10:31:00+05:30,150.04,150.15,150.04,150.1,53596
2025-12-29 10:32:00+05:30,150.11,150.13,150.01,150.03,47515
2025-12-29 10:33:00+05:30,150.03,150.17,150.0,150.13,89353
2025-12-29 10:34:00+05:30,150.14,150.19,150.13,150.19,19143
2025-12-29 10:35:00+05:30,150.19,150.19,150.1,150.13,28314
2025-12-29 10:36:00+05:30,150.19,150.19,150.13,150.18,6765
2025-12-29 10:37:00+05:30,150.18,150.2,150.1,150.1,35315
2025-12-29 10:38:00+05:30,150.12,150.12,150.04,150.04,20621
2025-12-29 10:39:00+05:30,150.04,150.11,150.04,150.11,10500
2025-12-29 10:40:00+05:30,150.09,150.17,150.08,150.17,26346
2025-12-29 10:41:00+05:30,150.17,150.17,150.1,150.15,27042
2025-12-29 10:42:00+05:30,150.15,150.15,150.07,150.13,22568
2025-12-29 10:43:00+05:30,150.12,150.14,150.06,150.09,36473
2025-12-29 10:44:00+05:30,150.09,150.1,150.08,150.09,13080
2025-12-29 10:45:00+05:30,150.08,150.13,150.0,150.13,62652
2025-12-29 10:46:00+05:30,150.14,150.19,150.08,150.08,51087
2025-12-29 10:47:00+05:30,150.09,150.15,150.08,150.15,3022
2025-12-29 10:48:00+05:30,150.1,150.19,150.1,150.15,20089
2025-12-29 10:49:00+05:30,150.15,150.19,150.14,150.14,17215
2025-12-29 10:50:00+05:30,150.15,150.17,150.09,150.14,28780
2025-12-29 10:51:00+05:30,150.16,150.17,150.1,150.13,9211
2025-12-29 10:52:00+05:30,150.13,150.15,150.12,150.12,10177
2025-12-29 10:53:00+05:30,150.15,150.18,150.12,150.13,22376
2025-12-29 10:54:00+05:30,150.13,150.15,150.1,150.1,8228
2025-12-29 10:55:00+05:30,150.14,150.14,150.1,150.13,8872
2025-12-29 10:56:00+05:30,150.13,150.13,150.07,150.08,12615
2025-12-29 10:57:00+05:30,150.1,150.12,150.08,150.12,7747
2025-12-29 10:58:00+05:30,150.12,150.12,150.1,150.1,9645
2025-12-29 10:59:00+05:30,150.09,150.1,150.01,150.01,9184
2025-12-29 11:00:00+05:30,150.02,150.04,150.02,150.02,5344
2025-12-29 11:01:00+05:30,150.02,150.06,150.0,150.06,11078
2025-12-29 11:02:00+05:30,150.05,150.05,150.0,150.03,19754
