date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,407.25,408.0,405.1,405.5,19635
2025-12-29 09:16:00+05:30,405.5,406.75,405.35,406.4,17332
2025-12-29 09:17:00+05:30,406.4,406.6,406.2,406.5,2618
2025-12-29 09:18:00+05:30,406.65,407.75,406.65,407.4,38568
2025-12-29 09:19:00+05:30,407.4,407.6,407.05,407.2,3401
2025-12-29 09:20:00+05:30,407.0,407.0,406.25,406.4,2337
2025-12-29 09:21:00+05:30,406.75,406.75,406.5,406.6,1781
2025-12-29 09:22:00+05:30,406.6,407.1,406.6,406.65,914
2025-12-29 09:23:00+05:30,406.65,407.0,406.6,406.6,1679
2025-12-29 09:24:00+05:30,406.6,406.6,406.0,406.0,521
2025-12-29 09:25:00+05:30,406.15,406.55,406.1,406.5,1087
2025-12-29 09:26:00+05:30,406.5,406.55,406.3,406.3,11911
2025-12-29 09:27:00+05:30,406.2,406.2,405.65,405.95,5096
2025-12-29 09:28:00+05:30,405.65,406.25,405.65,406.15,1973
2025-12-29 09:29:00+05:30,406.15,406.25,406.0,406.25,1063
2025-12-29 09:30:00+05:30,406.25,406.65,405.8,406.6,30791
2025-12-29 09:31:00+05:30,407.4,408.75,407.4,408.75,27798
2025-12-29 09:32:00+05:30,408.75,408.75,408.1,408.25,2005
2025-12-29 09:33:00+05:30,408.1,408.35,408.1,408.1,1006
2025-12-29 09:34:00+05:30,408.1,408.5,408.1,408.45,8280
2025-12-29 09:35:00+05:30,408.05,408.05,407.9,408.05,981
2025-12-29 09:36:00+05:30,408.05,408.05,408.0,408.0,442
2025-12-29 09:37:00+05:30,408.0,408.0,407.9,407.95,884
2025-12-29 09:38:00+05:30,408.0,408.0,407.2,407.3,3243
2025-12-29 09:39:00+05:30,407.3,407.65,407.3,407.4,2728
2025-12-29 09:40:00+05:30,407.4,407.7,407.4,407.5,1787
2025-12-29 09:41:00+05:30,407.45,407.45,407.0,407.0,1103
2025-12-29 09:42:00+05:30,407.15,407.25,407.05,407.05,1825
2025-12-29 09:43:00+05:30,407.05,407.2,407.05,407.2,260
2025-12-29 09:44:00+05:30,407.2,407.2,407.05,407.05,198
2025-12-29 09:45:00+05:30,407.05,407.15,407.05,407.05,649
2025-12-29 09:46:00+05:30,407.05,407.45,407.05,407.35,1815
2025-12-29 09:47:00+05:30,407.35,407.5,407.35,407.5,1494
2025-12-29 09:48:00+05:30,407.5,407.8,407.45,407.6,1043
2025-12-29 09:49:00+05:30,407.6,407.9,407.45,407.9,4713
2025-12-29 09:50:00+05:30,407.9,407.9,407.75,407.75,2224
2025-12-29 09:51:00+05:30,407.75,407.75,407.7,407.75,245
2025-12-29 09:52:00+05:30,407.95,408.2,407.85,408.2,3345
2025-12-29 09:53:00+05:30,408.2,408.2,407.8,407.8,3586
2025-12-29 09:54:00+05:30,407.8,407.8,407.1,407.35,2917
2025-12-29 09:55:00+05:30,407.25,407.25,407.15,407.2,155
2025-12-29 09:56:00+05:30,407.2,407.2,407.0,407.0,1545
