date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,12344,12344,12173,12199,16577
2025-12-29 09:16:00+05:30,12189,12199,12158,12179,16099
2025-12-29 09:17:00+05:30,12182,12182,12045,12050,19523
2025-12-29 09:18:00+05:30,12061,12106,12061,12090,8399
2025-12-29 09:19:00+05:30,12096,12109,12065,12102,32032
2025-12-29 09:20:00+05:30,12101,12145,12101,12118,8711
2025-12-29 09:21:00+05:30,12122,12133,12104,12120,5274
2025-12-29 09:22:00+05:30,12121,12121,12067,12120,20613
2025-12-29 09:23:00+05:30,12119,12133,12102,12115,4243
2025-12-29 09:24:00+05:30,12115,12186,12110,12176,6224
2025-12-29 09:25:00+05:30,12175,12243,12175,12238,9688
2025-12-29 09:26:00+05:30,12248,12304,12248,12257,13058
2025-12-29 09:27:00+05:30,12257,12275,12257,12267,9955
2025-12-29 09:28:00+05:30,12266,12326,12266,12293,11965
2025-12-29 09:29:00+05:30,12297,12339,12292,12313,8781
2025-12-29 09:30:00+05:30,12319,12333,12297,12333,6946
2025-12-29 09:31:00+05:30,12338,12428,12338,12400,15969
2025-12-29 09:32:00+05:30,12394,12460,12394,12454,8670
2025-12-29 09:33:00+05:30,12455,12456,12419,12429,8797
2025-12-29 09:34:00+05:30,12426,12432,12378,12391,8678
2025-12-29 09:35:00+05:30,12391,12415,12372,12378,6886
2025-12-29 09:36:00+05:30,12382,12384,12347,12347,9167
2025-12-29 09:37:00+05:30,12347,12353,12296,12298,8029
2025-12-29 09:38:00+05:30,12300,12345,12293,12340,5992
2025-12-29 09:39:00+05:30,12335,12372,12332,12367,6146
2025-12-29 09:40:00+05:30,12379,12388,12318,12320,4982
2025-12-29 09:41:00+05:30,12320,12358,12307,12317,17900
2025-12-29 09:42:00+05:30,12321,12340,12308,12322,14127
2025-12-29 09:43:00+05:30,12322,12376,12312,12372,3359
2025-12-29 09:44:00+05:30,12372,12409,12356,12380,7213
2025-12-29 09:45:00+05:30,12388,12415,12382,12403,5356
2025-12-29 09:46:00+05:30,12398,12402,12382,12385,1764
2025-12-29 09:47:00+05:30,12385,12390,12369,12380,2063
2025-12-29 09:48:00+05:30,12380,12393,12377,12377,1065
2025-12-29 09:49:00+05:30,12375,12380,12351,12358,1407
2025-12-29 09:50:00+05:30,12357,12389,12357,12388,1459
2025-12-29 09:51:00+05:30,12388,12397,12367,12374,3387
2025-12-29 09:52:00+05:30,12374,12378,12339,12358,1686
2025-12-29 09:53:00+05:30,12353,12361,12344,12344,1558
2025-12-29 09:54:00+05:30,12344,12350,12310,12313,2717
2025-12-29 09:55:00+05:30,12313,12337,12280,12312,7694
2025-12-29 09:56:00+05:30,12315,12319,12286,12303,6997
2025-12-29 09:57:00+05:30,12303,12310,12295,12310,6045
2025-12-29 09:58:00+05:30,12306,12306,12286,12299,3305
2025-12-29 09:59:00+05:30,12299,12310,12291,12299,2485
2025-12-29 10:00:00+05:30,12299,12305,12292,12302,1246
2025-12-29 10:01:00+05:30,12302,12315,12292,12294,3632
2025-12-29 10:02:00+05:30,12294,12299,12280,12282,1540
2025-12-29 10:03:00+05:30,12282,12287,12258,12262,5331
2025-12-29 10:04:00+05:30,12260,12279,12254,12264,3345
