date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,171.0,171.02,170.18,170.4,70988
2025-12-29 09:16:00+05:30,170.4,170.57,170.14,170.33,33927
2025-12-29 09:17:00+05:30,170.33,170.43,170.24,170.25,29458
2025-12-29 09:18:00+05:30,170.48,170.74,170.46,170.59,11238
2025-12-29 09:19:00+05:30,170.52,170.69,170.52,170.69,7465
2025-12-29 09:20:00+05:30,170.55,170.69,170.51,170.61,29046
2025-12-29 09:21:00+05:30,170.53,170.66,170.53,170.59,11596
2025-12-29 09:22:00+05:30,170.59,170.59,170.5,170.54,16259
2025-12-29 09:23:00+05:30,170.58,170.75,170.56,170.59,7421
2025-12-29 09:24:00+05:30,170.62,170.66,170.59,170.59,14097
2025-12-29 09:25:00+05:30,170.59,170.72,170.54,170.72,17820
2025-12-29 09:26:00+05:30,170.62,170.71,170.35,170.44,24117
2025-12-29 09:27:00+05:30,170.44,170.53,170.35,170.35,31870
2025-12-29 09:28:00+05:30,170.35,170.63,170.28,170.63,37977
2025-12-29 09:29:00+05:30,170.63,170.8,170.49,170.8,42620
2025-12-29 09:30:00+05:30,170.77,171.0,170.72,170.98,22916
2025-12-29 09:31:00+05:30,170.99,171.09,170.85,170.92,17787
2025-12-29 09:32:00+05:30,170.99,171.16,170.91,171.09,7195
2025-12-29 09:33:00+05:30,171.12,171.28,170.95,171.11,35148
2025-12-29 09:34:00+05:30,171.11,171.21,171.05,171.15,6918
2025-12-29 09:35:00+05:30,171.12,171.31,171.12,171.31,8021
2025-12-29 09:36:00+05:30,171.26,171.36,171.22,171.26,17015
2025-12-29 09:37:00+05:30,171.31,171.4,171.26,171.33,10531
2025-12-29 09:38:00+05:30,171.27,171.33,171.23,171.29,15989
2025-12-29 09:39:00+05:30,171.29,171.31,171.21,171.26,2394
2025-12-29 09:40:00+05:30,171.23,171.3,171.15,171.15,3431
2025-12-29 09:41:00+05:30,171.15,171.21,171.05,171.08,3910
2025-12-29 09:42:00+05:30,171.1,171.12,171.03,171.1,7957
2025-12-29 09:43:00+05:30,171.1,171.31,171.1,171.1,17966
2025-12-29 09:44:00+05:30,171.1,171.22,171.1,171.19,2729
2025-12-29 09:45:00+05:30,171.19,171.22,171.15,171.22,3543
2025-12-29 09:46:00+05:30,171.22,171.29,171.15,171.25,16731
2025-12-29 09:47:00+05:30,171.25,171.38,171.25,171.38,5974
2025-12-29 09:48:00+05:30,171.38,171.49,171.34,171.49,33151
2025-12-29 09:49:00+05:30,171.4,171.5,171.35,171.48,13152
2025-12-29 09:50:00+05:30,171.48,171.5,171.24,171.25,23664
2025-12-29 09:51:00+05:30,171.25,171.32,171.24,171.26,4158
2025-12-29 09:52:00+05:30,171.26,171.3,171.25,171.25,1447
2025-12-29 09:53:00+05:30,171.25,171.28,171.24,171.24,6717
2025-12-29 09:54:00+05:30,171.3,171.3,171.1,171.1,15223
2025-12-29 09:55:00+05:30,171.19,171.19,171.1,171.14,9772
