date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,104.42,104.47,104.4,104.45,17945
2025-12-24 12:00:00+05:30,104.45,104.59,104.42,104.56,43666
2025-12-24 12:05:00+05:30,104.56,104.58,104.4,104.45,35157
2025-12-24 12:10:00+05:30,104.45,104.45,104.12,104.25,137262
2025-12-24 12:15:00+05:30,104.25,104.34,104.21,104.33,42853
2025-12-24 12:20:00+05:30,104.33,104.41,104.25,104.38,59145
2025-12-24 12:25:00+05:30,104.41,104.49,104.33,104.38,45901
2025-12-24 12:30:00+05:30,104.38,104.44,104.28,104.29,30684
2025-12-24 12:35:00+05:30,104.29,104.5,104.29,104.34,113425
2025-12-24 12:40:00+05:30,104.34,104.36,104.28,104.28,22708
2025-12-24 12:45:00+05:30,104.28,104.34,104.25,104.29,34061
2025-12-24 12:50:00+05:30,104.3,104.3,104.2,104.25,38847
2025-12-24 12:55:00+05:30,104.24,104.24,103.94,103.96,265720
2025-12-24 13:00:00+05:30,103.99,104.08,103.95,104.05,218159
2025-12-24 13:05:00+05:30,104.05,104.09,103.94,103.94,81278
2025-12-24 13:10:00+05:30,103.94,103.98,103.8,103.83,179452
2025-12-24 13:15:00+05:30,103.86,103.94,103.7,103.76,128214
2025-12-24 13:20:00+05:30,103.76,103.77,103.65,103.67,32859
2025-12-24 13:25:00+05:30,103.67,103.68,103.57,103.58,48558
2025-12-24 13:30:00+05:30,103.6,103.71,103.58,103.66,59185
2025-12-24 13:35:00+05:30,103.68,103.83,103.65,103.78,25076
2025-12-24 13:40:00+05:30,103.8,103.91,103.78,103.91,24674
2025-12-24 13:45:00+05:30,103.83,103.85,103.79,103.85,39826
2025-12-24 13:50:00+05:30,103.85,103.88,103.78,103.88,36014
2025-12-24 13:55:00+05:30,103.85,103.91,103.53,103.69,158692
2025-12-24 14:00:00+05:30,103.69,103.7,103.64,103.65,23639
2025-12-24 14:05:00+05:30,103.69,103.7,103.49,103.7,377276
2025-12-24 14:10:00+05:30,103.7,103.73,103.54,103.55,43039
2025-12-24 14:15:00+05:30,103.6,103.68,103.55,103.55,47851
2025-12-24 14:20:00+05:30,103.58,103.6,103.46,103.5,64766
2025-12-24 14:25:00+05:30,103.5,103.53,103.45,103.49,49955
2025-12-24 14:30:00+05:30,103.5,103.54,103.47,103.52,49719
2025-12-24 14:35:00+05:30,103.54,103.54,103.26,103.35,142943
2025-12-24 14:40:00+05:30,103.35,103.38,103.2,103.25,67162
2025-12-24 14:45:00+05:30,103.25,103.34,103.23,103.27,109820
2025-12-24 14:50:00+05:30,103.29,103.29,103.05,103.15,279937
2025-12-24 14:55:00+05:30,103.15,103.4,103.15,103.38,159871
2025-12-24 15:00:00+05:30,103.49,103.5,103.32,103.33,125592
2025-12-24 15:05:00+05:30,103.33,103.35,103.15,103.15,95953
2025-12-24 15:10:00+05:30,103.14,103.18,102.96,103.15,363455
2025-12-24 15:15:00+05:30,103.15,103.24,102.99,103.09,834535
2025-12-24 15:20:00+05:30,103.05,103.08,102.98,103.03,282621
2025-12-24 15:25:00+05:30,103.03,103.23,103.0,103.17,332240
2025-12-26 09:15:00+05:30,103.1,103.67,102.7,103.47,369866
2025-12-26 09:20:00+05:30,103.48,103.71,103.41,103.71,121371
