date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,875.95,876.4,875.9,876.3,14746
2025-12-24 12:00:00+05:30,876.3,876.5,875.45,876.5,27003
2025-12-24 12:05:00+05:30,876.35,879.5,876.35,879.3,103912
2025-12-24 12:10:00+05:30,879.0,879.8,878.0,879.1,52937
2025-12-24 12:15:00+05:30,879.1,880.5,878.85,880.5,74265
2025-12-24 12:20:00+05:30,880.35,881.0,880.0,880.85,45518
2025-12-24 12:25:00+05:30,880.85,881.0,879.2,880.65,73944
2025-12-24 12:30:00+05:30,880.8,881.9,880.35,881.3,47891
2025-12-24 12:35:00+05:30,881.3,882.3,881.1,882.0,57063
2025-12-24 12:40:00+05:30,882.0,882.0,879.65,879.9,49218
2025-12-24 12:45:00+05:30,879.9,880.85,879.7,879.7,28113
2025-12-24 12:50:00+05:30,879.5,879.9,877.95,878.25,58133
2025-12-24 12:55:00+05:30,878.25,878.8,877.7,878.65,38122
2025-12-24 13:00:00+05:30,878.65,878.8,878.15,878.8,21896
2025-12-24 13:05:00+05:30,878.75,878.8,876.5,876.65,54801
2025-12-24 13:10:00+05:30,876.75,877.7,874.05,874.2,78214
2025-12-24 13:15:00+05:30,874.2,874.2,873.05,873.25,49973
2025-12-24 13:20:00+05:30,873.15,873.25,872.05,872.65,78481
2025-12-24 13:25:00+05:30,872.65,872.65,871.05,871.65,96610
2025-12-24 13:30:00+05:30,871.6,871.65,869.25,869.5,114308
2025-12-24 13:35:00+05:30,869.45,869.7,868.0,868.0,46391
2025-12-24 13:40:00+05:30,868.0,868.65,867.2,867.55,55146
2025-12-24 13:45:00+05:30,867.55,868.25,866.9,867.3,59584
2025-12-24 13:50:00+05:30,867.2,867.5,866.6,867.2,33784
2025-12-24 13:55:00+05:30,867.2,867.2,864.55,865.0,73447
2025-12-24 14:00:00+05:30,865.0,865.2,863.8,864.35,99081
2025-12-24 14:05:00+05:30,864.2,866.1,864.05,865.75,143584
2025-12-24 14:10:00+05:30,865.8,866.1,865.3,865.95,29402
2025-12-24 14:15:00+05:30,865.95,866.2,865.2,865.25,73571
2025-12-24 14:20:00+05:30,865.4,865.4,863.15,863.9,84950
2025-12-24 14:25:00+05:30,863.9,864.0,862.95,863.05,51216
2025-12-24 14:30:00+05:30,863.05,864.0,862.7,863.9,24251
2025-12-24 14:35:00+05:30,864.0,864.0,862.15,862.5,47148
2025-12-24 14:40:00+05:30,862.5,863.65,862.5,863.0,37488
2025-12-24 14:45:00+05:30,863.2,864.3,862.7,863.9,34855
2025-12-24 14:50:00+05:30,863.75,864.0,863.0,863.45,24898
2025-12-24 14:55:00+05:30,863.45,864.7,863.45,864.45,49176
2025-12-24 15:00:00+05:30,864.45,865.0,863.85,864.1,79364
2025-12-24 15:05:00+05:30,864.1,864.65,863.85,864.5,40538
2025-12-24 15:10:00+05:30,864.5,865.3,864.35,864.95,60190
