date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,468.5,468.55,467.2,467.2,19775
2025-12-29 09:16:00+05:30,467.2,468.55,466.9,468.55,7820
2025-12-29 09:17:00+05:30,468.0,469.0,467.85,468.55,5872
2025-12-29 09:18:00+05:30,468.95,468.95,468.4,468.5,2687
2025-12-29 09:19:00+05:30,468.45,470.25,468.45,470.25,5911
2025-12-29 09:20:00+05:30,470.0,470.8,469.45,469.8,5836
2025-12-29 09:21:00+05:30,469.8,470.5,469.5,470.2,4211
2025-12-29 09:22:00+05:30,470.35,470.55,470.0,470.55,6667
2025-12-29 09:23:00+05:30,470.65,471.3,470.55,470.55,4202
2025-12-29 09:24:00+05:30,470.55,470.9,470.55,470.7,1728
2025-12-29 09:25:00+05:30,470.7,471.1,470.7,471.05,11922
2025-12-29 09:26:00+05:30,471.05,471.05,470.05,470.05,1758
2025-12-29 09:27:00+05:30,470.05,470.2,469.55,469.55,2198
2025-12-29 09:28:00+05:30,469.55,469.75,469.25,469.25,5089
2025-12-29 09:29:00+05:30,469.25,469.75,469.25,469.25,2219
2025-12-29 09:30:00+05:30,469.3,470.1,469.3,470.1,2270
2025-12-29 09:31:00+05:30,470.55,470.9,470.1,470.55,9796
2025-12-29 09:32:00+05:30,470.45,471.15,470.05,470.8,24449
2025-12-29 09:33:00+05:30,470.9,471.15,470.55,471.15,7855
2025-12-29 09:34:00+05:30,471.1,471.15,470.8,470.85,2257
2025-12-29 09:35:00+05:30,471.3,471.9,471.15,471.8,8884
2025-12-29 09:36:00+05:30,471.85,472.5,471.85,472.5,5997
2025-12-29 09:37:00+05:30,472.45,472.8,472.25,472.4,8635
2025-12-29 09:38:00+05:30,472.4,472.55,471.75,471.75,4211
2025-12-29 09:39:00+05:30,471.75,472.5,471.75,472.5,1723
2025-12-29 09:40:00+05:30,472.55,472.85,472.3,472.45,1646
2025-12-29 09:41:00+05:30,472.45,472.45,472.0,472.0,2270
2025-12-29 09:42:00+05:30,472.1,472.6,472.1,472.6,4032
2025-12-29 09:43:00+05:30,472.65,472.9,472.65,472.8,5514
2025-12-29 09:44:00+05:30,472.65,472.85,472.6,472.6,3054
2025-12-29 09:45:00+05:30,472.6,472.8,472.5,472.5,5716
2025-12-29 09:46:00+05:30,472.6,472.75,472.55,472.55,437
2025-12-29 09:47:00+05:30,472.6,472.8,472.6,472.7,9337
2025-12-29 09:48:00+05:30,472.7,473.15,472.6,472.85,8939
2025-12-29 09:49:00+05:30,472.85,472.85,472.3,472.75,8564
2025-12-29 09:50:00+05:30,472.5,472.55,472.15,472.15,2504
2025-12-29 09:51:00+05:30,472.25,472.45,472.05,472.4,5507
2025-12-29 09:52:00+05:30,472.35,472.7,472.1,472.1,1648
2025-12-29 09:53:00+05:30,472.2,472.35,471.55,471.55,3827
2025-12-29 09:54:00+05:30,471.55,472.15,471.05,471.05,14458
2025-12-29 09:55:00+05:30,471.25,471.9,471.0,471.85,9472
2025-12-29 09:56:00+05:30,471.75,471.8,471.65,471.65,2671
2025-12-29 09:57:00+05:30,471.65,471.7,471.3,471.45,1692
2025-12-29 09:58:00+05:30,471.45,471.55,471.1,471.2,276
2025-12-29 09:59:00+05:30,471.2,471.35,471.1,471.35,1194
2025-12-29 10:00:00+05:30,471.25,471.25,470.8,470.8,2906
2025-12-29 10:01:00+05:30,471.15,471.4,471.15,471.4,3759
2025-12-29 10:02:00+05:30,471.5,471.6,471.4,471.5,1679
2025-12-29 10:03:00+05:30,471.55,471.6,471.35,471.35,3304
2025-12-29 10:04:00+05:30,471.35,471.45,471.15,471.35,1723
2025-12-29 10:05:00+05:30,471.35,471.55,471.3,471.55,798
2025-12-29 10:06:00+05:30,471.55,471.55,471.35,471.45,853
2025-12-29 10:07:00+05:30,471.45,471.6,471.35,471.6,1977
2025-12-29 10:08:00+05:30,471.25,471.55,471.25,471.3,485
2025-12-29 10:09:00+05:30,471.25,471.35,471.1,471.35,487
2025-12-29 10:10:00+05:30,471.3,471.85,471.3,471.8,9682
2025-12-29 10:11:00+05:30,471.85,472.0,471.8,472.0,789
2025-12-29 10:12:00+05:30,471.8,472.0,471.6,471.6,2222
2025-12-29 10:13:00+05:30,471.7,471.7,471.1,471.1,6127
2025-12-29 10:14:00+05:30,471.4,471.55,471.35,471.55,766
2025-12-29 10:15:00+05:30,471.35,471.75,471.35,471.6,1173
2025-12-29 10:16:00+05:30,471.6,472.0,471.5,471.75,6824
2025-12-29 10:17:00+05:30,471.75,472.0,471.55,472.0,2927
2025-12-29 10:18:00+05:30,472.0,472.45,471.6,472.3,19917
2025-12-29 10:19:00+05:30,472.4,472.5,472.25,472.35,2310
2025-12-29 10:20:00+05:30,472.3,472.8,472.15,472.65,11057
2025-12-29 10:21:00+05:30,472.7,472.7,472.4,472.4,2416
2025-12-29 10:22:00+05:30,472.4,472.8,472.25,472.55,2043
2025-12-29 10:23:00+05:30,472.75,472.8,472.25,472.45,2223
2025-12-29 10:24:00+05:30,472.4,472.55,472.25,472.55,1445
2025-12-29 10:25:00+05:30,472.65,473.4,472.65,473.4,12615
2025-12-29 10:26:00+05:30,473.3,473.3,472.4,472.6,6689
2025-12-29 10:27:00+05:30,472.65,472.75,472.5,472.65,3241
2025-12-29 10:28:00+05:30,472.7,473.4,472.7,473.2,6187
2025-12-29 10:29:00+05:30,473.2,473.4,473.2,473.2,2210
2025-12-29 10:30:00+05:30,473.25,473.5,472.85,473.0,9930
