date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,222.95,223.7,222.6,223.31,106326
2025-12-29 09:16:00+05:30,223.26,223.8,222.98,223.66,74212
2025-12-29 09:17:00+05:30,223.66,223.8,223.0,223.43,63677
2025-12-29 09:18:00+05:30,223.41,223.73,223.35,223.43,38034
2025-12-29 09:19:00+05:30,223.5,223.56,223.0,223.13,39048
2025-12-29 09:20:00+05:30,223.05,223.23,222.56,222.65,24638
2025-12-29 09:21:00+05:30,222.63,222.8,222.53,222.55,47785
2025-12-29 09:22:00+05:30,222.6,222.88,222.4,222.74,39211
2025-12-29 09:23:00+05:30,222.6,223.0,222.54,222.97,27890
2025-12-29 09:24:00+05:30,222.79,222.92,222.59,222.7,10974
2025-12-29 09:25:00+05:30,222.7,222.72,222.5,222.7,8239
2025-12-29 09:26:00+05:30,222.75,222.94,222.71,222.85,8151
2025-12-29 09:27:00+05:30,222.8,222.92,222.7,222.7,13832
2025-12-29 09:28:00+05:30,222.7,222.8,222.5,222.6,41851
2025-12-29 09:29:00+05:30,222.51,222.74,222.5,222.6,12674
2025-12-29 09:30:00+05:30,222.5,222.67,222.22,222.67,45307
2025-12-29 09:31:00+05:30,222.67,222.94,222.62,222.62,12624
2025-12-29 09:32:00+05:30,222.62,222.91,222.62,222.91,8812
2025-12-29 09:33:00+05:30,222.91,223.19,222.91,223.09,38858
2025-12-29 09:34:00+05:30,223.08,223.12,222.86,222.9,12445
2025-12-29 09:35:00+05:30,222.9,223.23,222.9,223.23,15514
2025-12-29 09:36:00+05:30,223.23,223.29,223.14,223.22,11932
2025-12-29 09:37:00+05:30,223.22,223.38,223.13,223.36,61291
2025-12-29 09:38:00+05:30,223.34,224.35,223.29,224.35,131457
2025-12-29 09:39:00+05:30,224.35,225.4,224.21,225.23,192846
2025-12-29 09:40:00+05:30,225.23,225.5,224.81,224.84,59017
2025-12-29 09:41:00+05:30,224.87,225.42,224.34,225.42,121139
2025-12-29 09:42:00+05:30,225.4,225.72,225.34,225.6,115166
2025-12-29 09:43:00+05:30,225.53,225.6,225.01,225.01,40899
2025-12-29 09:44:00+05:30,225.08,225.15,224.91,225.15,22257
2025-12-29 09:45:00+05:30,225.15,225.2,225.0,225.0,29464
2025-12-29 09:46:00+05:30,225.0,225.5,224.75,225.45,36914
2025-12-29 09:47:00+05:30,225.5,226.27,225.3,225.94,202164
2025-12-29 09:48:00+05:30,225.95,226.05,225.77,225.92,56407
2025-12-29 09:49:00+05:30,225.72,226.09,225.72,226.0,37883
2025-12-29 09:50:00+05:30,226.09,226.1,225.95,226.1,39775
2025-12-29 09:51:00+05:30,226.0,226.09,225.93,225.99,51472
2025-12-29 09:52:00+05:30,225.99,227.22,225.94,226.8,294293
