date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,648.05,650.2,647.8,648.05,2529
2025-12-29 09:16:00+05:30,649.2,649.2,648.15,648.85,1346
2025-12-29 09:17:00+05:30,648.75,649.65,648.15,649.65,4829
2025-12-29 09:18:00+05:30,648.8,649.95,648.8,649.6,3320
2025-12-29 09:19:00+05:30,649.6,650.9,649.6,649.9,2153
2025-12-29 09:20:00+05:30,650.3,650.8,649.9,650.7,1766
2025-12-29 09:21:00+05:30,650.7,650.85,650.1,650.7,2936
2025-12-29 09:22:00+05:30,650.6,650.95,650.5,650.8,4268
2025-12-29 09:23:00+05:30,650.8,650.95,650.5,650.9,1013
2025-12-29 09:24:00+05:30,650.9,650.9,650.25,650.25,592
2025-12-29 09:25:00+05:30,650.55,650.75,650.25,650.7,1991
2025-12-29 09:26:00+05:30,650.7,651.5,650.6,651.15,1358
2025-12-29 09:27:00+05:30,651.15,651.15,650.4,650.75,238
2025-12-29 09:28:00+05:30,650.75,650.75,650.2,650.55,527
2025-12-29 09:29:00+05:30,650.55,650.55,649.35,650.4,1047
2025-12-29 09:30:00+05:30,650.4,650.4,649.95,649.95,41
2025-12-29 09:31:00+05:30,650.35,650.4,650.35,650.4,188
2025-12-29 09:32:00+05:30,650.4,650.95,650.4,650.85,504
2025-12-29 09:33:00+05:30,650.85,650.95,650.65,650.85,801
2025-12-29 09:34:00+05:30,650.85,650.85,650.7,650.75,133
2025-12-29 09:35:00+05:30,650.75,650.75,650.4,650.75,171
2025-12-29 09:36:00+05:30,650.75,650.75,650.15,650.75,1084
2025-12-29 09:37:00+05:30,650.75,650.85,650.15,650.35,1666
2025-12-29 09:38:00+05:30,650.35,650.55,650.35,650.55,113
2025-12-29 09:39:00+05:30,650.55,650.8,650.2,650.55,111
2025-12-29 09:40:00+05:30,650.55,650.55,650.45,650.45,6
2025-12-29 09:41:00+05:30,650.45,650.5,649.45,650.25,433
2025-12-29 09:42:00+05:30,650.25,650.65,650.2,650.6,676
2025-12-29 09:43:00+05:30,650.6,650.6,650.55,650.55,13
2025-12-29 09:44:00+05:30,650.55,650.55,649.6,650.35,933
2025-12-29 09:45:00+05:30,650.35,651.0,650.2,651.0,2152
2025-12-29 09:46:00+05:30,651.0,651.0,650.45,650.9,1006
2025-12-29 09:47:00+05:30,650.45,650.9,650.2,650.6,210
2025-12-29 09:48:00+05:30,650.6,650.6,650.5,650.5,376
2025-12-29 09:49:00+05:30,650.5,650.5,650.0,650.45,19
2025-12-29 09:50:00+05:30,650.45,650.5,650.15,650.45,181
2025-12-29 09:51:00+05:30,650.45,651.0,650.15,650.95,489
