date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,12.13,12.13,12.12,12.12,520116
2025-12-24 12:00:00+05:30,12.12,12.13,12.11,12.12,1172005
2025-12-24 12:05:00+05:30,12.13,12.13,12.1,12.11,1473060
2025-12-24 12:10:00+05:30,12.11,12.11,12.09,12.1,3688285
2025-12-24 12:15:00+05:30,12.09,12.11,12.09,12.1,1854383
2025-12-24 12:20:00+05:30,12.11,12.11,12.09,12.1,1743116
2025-12-24 12:25:00+05:30,12.09,12.1,12.09,12.09,1783697
2025-12-24 12:30:00+05:30,12.1,12.11,12.08,12.09,4085232
2025-12-24 12:35:00+05:30,12.09,12.1,12.08,12.09,1628988
2025-12-24 12:40:00+05:30,12.08,12.1,12.06,12.07,6612673
2025-12-24 12:45:00+05:30,12.08,12.09,12.07,12.08,5375671
2025-12-24 12:50:00+05:30,12.08,12.08,12.06,12.08,4130221
2025-12-24 12:55:00+05:30,12.08,12.08,12.06,12.07,2937037
2025-12-24 13:00:00+05:30,12.07,12.08,12.06,12.08,2664443
2025-12-24 13:05:00+05:30,12.08,12.08,12.04,12.04,7479459
2025-12-24 13:10:00+05:30,12.04,12.08,12.04,12.08,5101329
2025-12-24 13:15:00+05:30,12.08,12.08,12.06,12.08,2640325
2025-12-24 13:20:00+05:30,12.07,12.08,12.07,12.07,1346971
2025-12-24 13:25:00+05:30,12.08,12.09,12.07,12.08,1995226
2025-12-24 13:30:00+05:30,12.09,12.14,12.08,12.13,11741053
2025-12-24 13:35:00+05:30,12.13,12.15,12.12,12.14,7899667
2025-12-24 13:40:00+05:30,12.13,12.18,12.13,12.17,21367328
2025-12-24 13:45:00+05:30,12.17,12.19,12.15,12.19,14103710
2025-12-24 13:50:00+05:30,12.18,12.19,12.13,12.14,11153753
2025-12-24 13:55:00+05:30,12.13,12.14,12.11,12.13,7896041
2025-12-24 14:00:00+05:30,12.13,12.13,12.11,12.13,4843817
2025-12-24 14:05:00+05:30,12.12,12.14,12.12,12.13,2239169
2025-12-24 14:10:00+05:30,12.13,12.15,12.13,12.14,2871114
2025-12-24 14:15:00+05:30,12.14,12.15,12.13,12.13,2682805
2025-12-24 14:20:00+05:30,12.14,12.14,12.12,12.13,1671434
2025-12-24 14:25:00+05:30,12.13,12.14,12.12,12.12,1767605
2025-12-24 14:30:00+05:30,12.13,12.14,12.12,12.13,3546065
2025-12-24 14:35:00+05:30,12.12,12.13,12.1,12.1,4567621
2025-12-24 14:40:00+05:30,12.1,12.12,12.1,12.11,2586142
2025-12-24 14:45:00+05:30,12.11,12.12,12.1,12.12,3161204
2025-12-24 14:50:00+05:30,12.11,12.12,12.1,12.11,2253218
2025-12-24 14:55:00+05:30,12.12,12.14,12.11,12.13,5348081
2025-12-24 15:00:00+05:30,12.14,12.14,12.11,12.12,4347982
2025-12-24 15:05:00+05:30,12.11,12.12,11.94,11.97,36242331
2025-12-24 15:10:00+05:30,11.99,12.07,11.92,12.07,32163367
2025-12-24 15:15:00+05:30,12.06,12.09,12.0,12.03,28677574
2025-12-24 15:20:00+05:30,12.03,12.03,12.0,12.03,16197242
2025-12-24 15:25:00+05:30,12.02,12.04,12.01,12.03,10440171
2025-12-26 09:15:00+05:30,12.0,12.06,11.96,12.04,36004494
2025-12-26 09:20:00+05:30,12.03,12.04,12.0,12.02,11007391
2025-12-26 09:25:00+05:30,12.01,12.04,11.99,12.04,14829447
2025-12-26 09:30:00+05:30,12.04,12.06,12.02,12.06,9551352
2025-12-26 09:35:00+05:30,12.06,12.07,12.02,12.04,12538225
2025-12-26 09:40:00+05:30,12.05,12.08,12.02,12.03,17446247
2025-12-26 09:45:00+05:30,12.04,12.06,12.03,12.04,4812593
2025-12-26 09:50:00+05:30,12.04,12.04,12.01,12.01,10104791
2025-12-26 09:55:00+05:30,12.01,12.07,12.01,12.07,11935116
2025-12-26 10:00:00+05:30,12.06,12.07,12.03,12.06,8001808
2025-12-26 10:05:00+05:30,12.06,12.07,12.04,12.05,5636054
2025-12-26 10:10:00+05:30,12.06,12.06,12.04,12.05,1730651
2025-12-26 10:15:00+05:30,12.05,12.06,12.02,12.05,8028428
2025-12-26 10:20:00+05:30,12.05,12.08,12.05,12.07,8701288
2025-12-26 10:25:00+05:30,12.08,12.09,12.06,12.07,7587918
2025-12-26 10:30:00+05:30,12.07,12.08,12.06,12.08,2194412
2025-12-26 10:35:00+05:30,12.07,12.07,12.05,12.06,2846802
2025-12-26 10:40:00+05:30,12.06,12.08,12.05,12.07,4146667
2025-12-26 10:45:00+05:30,12.07,12.07,12.03,12.04,6577280
2025-12-26 10:50:00+05:30,12.04,12.05,12.0,12.01,10391524
2025-12-26 10:55:00+05:30,12.0,12.01,11.97,11.98,17022954
2025-12-26 11:00:00+05:30,11.98,12.01,11.97,12.01,7506858
2025-12-26 11:05:00+05:30,12.0,12.02,12.0,12.02,3797987
2025-12-26 11:10:00+05:30,12.02,12.02,11.99,11.99,5005325
2025-12-26 11:15:00+05:30,11.99,12.01,11.98,11.99,5999348
2025-12-26 11:20:00+05:30,11.99,11.99,11.96,11.97,5779160
2025-12-26 11:25:00+05:30,11.96,11.99,11.96,11.97,4382425
2025-12-26 11:30:00+05:30,11.97,12.0,11.96,11.98,3454951
2025-12-26 11:35:00+05:30,11.98,11.99,11.97,11.99,2765066
2025-12-26 11:40:00+05:30,11.98,11.99,11.98,11.98,1524782
2025-12-26 11:45:00+05:30,11.98,11.99,11.95,11.95,8497362
2025-12-26 11:50:00+05:30,11.96,11.97,11.95,11.96,3782668
2025-12-26 11:55:00+05:30,11.96,11.99,11.96,11.97,4324651
2025-12-26 12:00:00+05:30,11.97,12.01,11.97,12.0,8378994
2025-12-26 12:05:00+05:30,12.0,12.01,11.99,12.0,3103552
2025-12-26 12:10:00+05:30,11.99,12.01,11.99,11.99,3021165
2025-12-26 12:15:00+05:30,11.99,12.01,11.95,11.96,8321200
2025-12-26 12:20:00+05:30,11.96,11.97,11.91,11.91,17117242
2025-12-26 12:25:00+05:30,11.91,11.94,11.91,11.93,5267796
2025-12-26 12:30:00+05:30,11.93,11.94,11.92,11.92,4035514
2025-12-26 12:35:00+05:30,11.93,11.95,11.91,11.93,7821167
2025-12-26 12:40:00+05:30,11.93,11.96,11.93,11.95,5249087
2025-12-26 12:45:00+05:30,11.96,11.96,11.94,11.94,1802849
2025-12-26 12:50:00+05:30,11.94,11.95,11.93,11.94,3186106
2025-12-26 12:55:00+05:30,11.94,11.95,11.93,11.94,2005937
2025-12-26 13:00:00+05:30,11.94,11.95,11.93,11.94,1442114
2025-12-26 13:05:00+05:30,11.94,11.95,11.93,11.93,1700186
2025-12-26 13:10:00+05:30,11.93,11.94,11.91,11.92,4365939
2025-12-26 13:15:00+05:30,11.93,11.94,11.92,11.93,3102819
2025-12-26 13:20:00+05:30,11.94,11.94,11.92,11.92,2824367
2025-12-26 13:25:00+05:30,11.93,11.94,11.91,11.93,5856490
2025-12-26 13:30:00+05:30,11.93,11.94,11.92,11.94,1452841
2025-12-26 13:35:00+05:30,11.93,11.95,11.92,11.94,2659413
2025-12-26 13:40:00+05:30,11.94,11.95,11.93,11.95,2222694
2025-12-26 13:45:00+05:30,11.94,11.95,11.94,11.94,1581131
2025-12-26 13:50:00+05:30,11.95,11.95,11.92,11.92,2880997
2025-12-26 13:55:00+05:30,11.92,11.94,11.92,11.92,2279306
2025-12-26 14:00:00+05:30,11.93,11.93,11.91,11.91,3771135
2025-12-26 14:05:00+05:30,11.91,11.92,11.9,11.91,3488523
2025-12-26 14:10:00+05:30,11.91,11.92,11.9,11.91,3853978
2025-12-26 14:15:00+05:30,11.92,11.92,11.9,11.9,3081920
2025-12-26 14:20:00+05:30,11.91,11.91,11.9,11.91,1708697
2025-12-26 14:25:00+05:30,11.91,11.93,11.9,11.92,5330878
2025-12-26 14:30:00+05:30,11.92,11.93,11.91,11.92,1646985
2025-12-26 14:35:00+05:30,11.92,11.92,11.89,11.9,6961624
2025-12-26 14:40:00+05:30,11.91,11.92,11.9,11.92,3651460
2025-12-26 14:45:00+05:30,11.91,11.95,11.9,11.95,7682464
2025-12-26 14:50:00+05:30,11.93,11.96,11.93,11.96,6867398
2025-12-26 14:55:00+05:30,11.96,11.97,11.94,11.96,7373719
2025-12-26 15:00:00+05:30,11.96,11.98,11.96,11.97,6743685
2025-12-26 15:05:00+05:30,11.97,11.97,11.94,11.96,7037388
2025-12-26 15:10:00+05:30,11.97,11.98,11.96,11.97,13093481
2025-12-26 15:15:00+05:30,11.96,11.98,11.93,11.93,24506518
2025-12-26 15:20:00+05:30,11.93,11.94,11.92,11.93,11604849
2025-12-26 15:25:00+05:30,11.93,11.95,11.92,11.95,23532891
2025-12-29 09:15:00+05:30,11.98,12.02,11.9,11.91,25374131
2025-12-29 09:20:00+05:30,11.91,11.95,11.86,11.91,16415664
2025-12-29 09:25:00+05:30,11.92,11.93,11.88,11.89,10764858
2025-12-29 09:30:00+05:30,11.89,11.91,11.88,11.9,7075547
2025-12-29 09:35:00+05:30,11.89,11.91,11.87,11.87,9432262
2025-12-29 09:40:00+05:30,11.87,11.9,11.87,11.87,7083956
2025-12-29 09:45:00+05:30,11.87,11.92,11.87,11.91,5757966
2025-12-29 09:50:00+05:30,11.92,11.94,11.88,11.89,12850943
2025-12-29 09:55:00+05:30,11.89,11.89,11.87,11.88,4437055
2025-12-29 10:00:00+05:30,11.88,11.89,11.85,11.88,7165091
2025-12-29 10:05:00+05:30,11.89,11.89,11.87,11.88,3645839
2025-12-29 10:10:00+05:30,11.88,11.97,11.88,11.97,16541209
2025-12-29 10:15:00+05:30,11.96,11.98,11.92,11.93,8886321
2025-12-29 10:20:00+05:30,11.94,11.96,11.93,11.96,3947580
2025-12-29 10:25:00+05:30,11.95,11.96,11.93,11.94,6633196
2025-12-29 10:30:00+05:30,11.94,11.99,11.94,11.98,11681985
2025-12-29 10:35:00+05:30,11.99,12.02,11.96,11.97,15070627
2025-12-29 10:40:00+05:30,11.97,11.99,11.96,11.99,9188033
2025-12-29 10:45:00+05:30,11.98,12.02,11.98,11.99,11704377
2025-12-29 10:50:00+05:30,11.98,12.02,11.98,12.02,8013420
2025-12-29 10:55:00+05:30,12.02,12.02,11.99,12.01,5605659
2025-12-29 11:00:00+05:30,12.02,12.03,11.99,12.0,9623086
2025-12-29 11:05:00+05:30,12.0,12.01,11.99,12.0,3221633
2025-12-29 11:10:00+05:30,12.0,12.01,11.99,11.99,1677727
2025-12-29 11:15:00+05:30,11.99,11.99,11.97,11.97,4403751
2025-12-29 11:20:00+05:30,11.98,11.98,11.96,11.97,3391509
2025-12-29 11:25:00+05:30,11.98,11.98,11.92,11.93,8133270
2025-12-29 11:30:00+05:30,11.93,11.94,11.92,11.92,4151474
2025-12-29 11:35:00+05:30,11.92,11.93,11.9,11.93,8112006
2025-12-29 11:40:00+05:30,11.93,11.93,11.91,11.92,2735074
2025-12-29 11:45:00+05:30,11.92,11.95,11.91,11.94,3297450
2025-12-29 11:50:00+05:30,11.94,11.97,11.94,11.97,7385049
2025-12-29 11:55:00+05:30,11.96,11.99,11.96,11.98,2406065
