date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,593.9,595.8,593.75,595.35,23204
2025-12-24 12:00:00+05:30,595.35,596.9,594.65,596.1,28089
2025-12-24 12:05:00+05:30,596.1,596.2,595.0,595.35,25548
2025-12-24 12:10:00+05:30,595.35,596.55,593.5,595.95,72986
2025-12-24 12:15:00+05:30,596.2,599.0,595.85,597.7,101089
2025-12-24 12:20:00+05:30,597.95,599.15,597.45,599.0,53378
2025-12-24 12:25:00+05:30,599.3,600.0,598.05,598.55,99019
2025-12-24 12:30:00+05:30,598.7,600.8,598.55,599.2,75507
2025-12-24 12:35:00+05:30,599.2,600.25,598.0,598.0,39456
2025-12-24 12:40:00+05:30,598.0,598.95,597.0,597.2,82880
2025-12-24 12:45:00+05:30,597.2,598.0,596.25,596.6,48663
2025-12-24 12:50:00+05:30,596.5,596.8,595.6,596.4,21012
2025-12-24 12:55:00+05:30,596.4,601.0,596.2,600.8,93501
2025-12-24 13:00:00+05:30,600.8,601.0,599.2,599.75,56343
2025-12-24 13:05:00+05:30,599.75,599.75,597.6,598.0,23483
2025-12-24 13:10:00+05:30,598.0,599.6,597.5,599.5,29557
2025-12-24 13:15:00+05:30,599.5,601.0,599.15,599.6,49752
2025-12-24 13:20:00+05:30,599.5,599.6,597.2,598.3,36505
2025-12-24 13:25:00+05:30,598.3,598.55,597.4,597.6,37241
2025-12-24 13:30:00+05:30,597.6,597.8,596.25,596.55,32264
2025-12-24 13:35:00+05:30,596.55,598.1,596.05,597.5,33304
2025-12-24 13:40:00+05:30,597.5,599.05,597.5,598.5,28195
2025-12-24 13:45:00+05:30,598.5,599.5,597.95,599.35,16189
2025-12-24 13:50:00+05:30,599.3,601.6,597.4,600.35,104548
2025-12-24 13:55:00+05:30,600.35,600.9,599.5,600.1,68451
2025-12-24 14:00:00+05:30,600.1,600.65,599.6,600.45,49695
2025-12-24 14:05:00+05:30,600.45,601.45,600.05,600.65,53289
2025-12-24 14:10:00+05:30,600.9,602.5,600.2,600.2,171406
2025-12-24 14:15:00+05:30,600.25,604.25,600.2,603.8,179799
2025-12-24 14:20:00+05:30,603.8,604.25,603.15,604.25,70696
2025-12-24 14:25:00+05:30,604.25,604.9,602.6,602.7,66790
2025-12-24 14:30:00+05:30,602.7,603.5,602.1,603.0,68911
2025-12-24 14:35:00+05:30,603.0,605.8,602.95,605.0,185024
2025-12-24 14:40:00+05:30,605.3,605.3,603.4,604.05,91950
2025-12-24 14:45:00+05:30,604.05,604.95,602.6,602.6,100295
2025-12-24 14:50:00+05:30,602.6,602.85,601.2,601.85,103753
2025-12-24 14:55:00+05:30,601.85,602.7,601.5,602.35,95569
2025-12-24 15:00:00+05:30,602.55,603.3,600.5,600.6,89602
2025-12-24 15:05:00+05:30,600.7,602.45,600.65,601.55,62624
2025-12-24 15:10:00+05:30,601.0,602.35,600.7,602.05,88089
2025-12-24 15:15:00+05:30,602.05,603.9,601.8,602.05,155310
2025-12-24 15:20:00+05:30,602.35,603.0,601.8,602.4,180612
2025-12-24 15:25:00+05:30,602.4,603.25,601.95,603.25,79210
2025-12-26 09:15:00+05:30,605.8,607.1,602.7,604.6,174387
2025-12-26 09:20:00+05:30,604.8,606.0,604.0,605.85,68829
2025-12-26 09:25:00+05:30,605.85,607.55,604.2,605.15,60020
2025-12-26 09:30:00+05:30,605.15,605.8,602.5,603.1,48828
2025-12-26 09:35:00+05:30,603.1,603.95,601.0,602.0,39445
2025-12-26 09:40:00+05:30,602.0,602.0,599.15,600.15,29213
2025-12-26 09:45:00+05:30,600.0,600.9,599.4,600.65,20688
2025-12-26 09:50:00+05:30,600.65,601.0,598.3,598.75,14348
2025-12-26 09:55:00+05:30,598.75,600.3,598.5,599.25,12685
2025-12-26 10:00:00+05:30,599.25,600.0,596.4,597.25,38963
2025-12-26 10:05:00+05:30,597.25,599.8,596.5,599.5,36645
2025-12-26 10:10:00+05:30,599.5,599.5,597.4,597.5,13496
2025-12-26 10:15:00+05:30,597.5,599.0,597.45,598.65,10024
2025-12-26 10:20:00+05:30,598.65,598.8,597.7,598.1,7456
2025-12-26 10:25:00+05:30,598.1,598.25,597.65,598.25,5875
2025-12-26 10:30:00+05:30,598.1,599.0,598.0,598.1,7267
2025-12-26 10:35:00+05:30,598.1,598.55,597.65,597.9,12204
2025-12-26 10:40:00+05:30,597.9,598.55,597.65,597.8,7944
2025-12-26 10:45:00+05:30,597.8,598.35,597.05,598.1,12233
2025-12-26 10:50:00+05:30,598.1,598.75,597.8,598.45,14074
2025-12-26 10:55:00+05:30,598.45,598.55,597.4,597.5,8810
2025-12-26 11:00:00+05:30,597.5,597.5,595.15,595.2,49086
2025-12-26 11:05:00+05:30,595.2,595.45,595.0,595.45,11738
2025-12-26 11:10:00+05:30,595.55,599.0,595.45,597.0,46921
2025-12-26 11:15:00+05:30,597.0,597.15,595.55,596.0,9391
2025-12-26 11:20:00+05:30,596.15,597.15,596.1,597.15,9076
2025-12-26 11:25:00+05:30,597.15,597.45,596.5,597.05,21433
2025-12-26 11:30:00+05:30,597.05,598.85,596.75,597.45,35631
2025-12-26 11:35:00+05:30,597.45,597.75,596.95,597.25,3669
2025-12-26 11:40:00+05:30,597.25,598.0,597.05,598.0,7067
2025-12-26 11:45:00+05:30,597.95,598.0,597.05,597.75,5781
2025-12-26 11:50:00+05:30,597.75,597.8,597.0,597.75,11957
2025-12-26 11:55:00+05:30,597.8,597.95,597.4,597.7,2495
2025-12-26 12:00:00+05:30,597.7,598.0,597.1,597.5,3868
2025-12-26 12:05:00+05:30,597.5,597.8,597.15,597.8,3770
2025-12-26 12:10:00+05:30,597.8,597.8,596.5,596.75,16823
2025-12-26 12:15:00+05:30,597.0,598.0,596.55,597.9,3800
2025-12-26 12:20:00+05:30,597.9,601.35,597.25,601.25,49618
2025-12-26 12:25:00+05:30,601.25,603.4,600.9,603.35,29635
2025-12-26 12:30:00+05:30,603.35,603.9,601.8,602.05,40461
2025-12-26 12:35:00+05:30,602.05,602.4,601.55,601.9,27872
2025-12-26 12:40:00+05:30,601.8,601.9,600.1,601.15,20021
2025-12-26 12:45:00+05:30,601.15,601.85,601.15,601.35,3381
2025-12-26 12:50:00+05:30,601.6,601.6,600.95,601.3,3279
2025-12-26 12:55:00+05:30,601.3,601.95,601.25,601.6,7211
2025-12-26 13:00:00+05:30,601.6,601.65,601.1,601.4,20019
2025-12-26 13:05:00+05:30,601.15,602.0,601.15,601.7,5682
2025-12-26 13:10:00+05:30,601.9,602.0,601.55,601.6,3126
2025-12-26 13:15:00+05:30,601.6,601.9,601.25,601.85,7707
2025-12-26 13:20:00+05:30,601.9,601.9,601.4,601.5,8138
2025-12-26 13:25:00+05:30,601.7,601.7,598.9,599.65,27740
2025-12-26 13:30:00+05:30,599.65,599.7,599.1,599.35,8003
2025-12-26 13:35:00+05:30,599.35,599.5,598.7,598.95,6815
2025-12-26 13:40:00+05:30,598.95,599.3,598.5,598.55,3667
2025-12-26 13:45:00+05:30,598.9,598.9,597.45,598.0,5275
2025-12-26 13:50:00+05:30,598.0,600.4,597.7,599.3,42300
2025-12-26 13:55:00+05:30,599.3,599.6,598.9,599.0,2467
2025-12-26 14:00:00+05:30,599.4,601.7,599.2,600.95,13684
2025-12-26 14:05:00+05:30,600.9,602.0,600.25,600.95,31344
2025-12-26 14:10:00+05:30,600.95,601.0,600.2,600.85,4750
2025-12-26 14:15:00+05:30,600.85,602.0,600.2,600.3,25695
2025-12-26 14:20:00+05:30,600.25,600.6,599.3,599.6,7893
2025-12-26 14:25:00+05:30,599.6,601.1,599.55,600.05,13746
2025-12-26 14:30:00+05:30,600.05,600.05,598.95,599.15,5117
2025-12-26 14:35:00+05:30,599.15,599.45,598.2,598.5,5831
2025-12-26 14:40:00+05:30,598.55,599.1,597.95,597.95,8830
2025-12-26 14:45:00+05:30,597.95,598.95,597.45,598.45,16286
2025-12-26 14:50:00+05:30,598.45,598.75,597.75,598.65,9592
2025-12-26 14:55:00+05:30,598.65,601.0,598.3,601.0,15252
2025-12-26 15:00:00+05:30,601.0,601.45,600.55,600.6,37886
2025-12-26 15:05:00+05:30,600.9,600.95,598.05,598.95,34245
2025-12-26 15:10:00+05:30,599.0,600.7,599.0,600.3,27012
2025-12-26 15:15:00+05:30,600.5,600.5,598.05,598.25,57880
2025-12-26 15:20:00+05:30,598.05,598.6,597.3,597.8,27019
2025-12-26 15:25:00+05:30,598.0,599.3,595.6,595.6,37883
2025-12-29 09:15:00+05:30,595.5,598.45,594.65,595.2,21158
2025-12-29 09:20:00+05:30,595.2,597.15,593.95,596.95,21783
2025-12-29 09:25:00+05:30,596.95,602.65,596.4,598.0,57485
2025-12-29 09:30:00+05:30,598.35,598.85,597.0,597.15,22318
2025-12-29 09:35:00+05:30,597.0,597.65,596.5,596.5,9055
2025-12-29 09:40:00+05:30,596.35,596.4,595.0,595.9,13392
2025-12-29 09:45:00+05:30,595.9,597.25,595.5,597.25,9981
2025-12-29 09:50:00+05:30,597.25,597.25,596.0,596.0,4452
2025-12-29 09:55:00+05:30,596.0,596.15,592.35,593.0,41018
2025-12-29 10:00:00+05:30,592.8,593.0,591.8,592.9,20013
2025-12-29 10:05:00+05:30,592.9,596.3,592.9,595.75,24036
2025-12-29 10:10:00+05:30,596.0,596.0,594.0,594.4,7944
2025-12-29 10:15:00+05:30,594.4,596.55,593.95,595.35,12596
2025-12-29 10:20:00+05:30,595.35,596.0,595.05,595.95,2316
2025-12-29 10:25:00+05:30,595.95,597.55,595.25,597.55,18778
2025-12-29 10:30:00+05:30,597.55,597.55,596.0,596.3,2321
2025-12-29 10:35:00+05:30,596.3,598.0,596.1,597.8,20028
2025-12-29 10:40:00+05:30,597.8,598.05,596.35,596.95,3557
2025-12-29 10:45:00+05:30,596.95,597.1,596.5,597.0,2952
2025-12-29 10:50:00+05:30,597.0,597.0,594.95,595.85,19199
2025-12-29 10:55:00+05:30,595.6,596.1,595.15,595.75,2258
2025-12-29 11:00:00+05:30,595.75,596.95,595.6,596.25,12327
2025-12-29 11:05:00+05:30,596.05,596.8,595.3,595.3,40030
2025-12-29 11:10:00+05:30,595.65,595.65,593.7,594.8,6628
2025-12-29 11:15:00+05:30,594.8,594.9,594.3,594.8,4832
2025-12-29 11:20:00+05:30,594.55,594.75,594.0,594.0,5756
2025-12-29 11:25:00+05:30,594.0,595.25,594.0,595.2,6869
2025-12-29 11:30:00+05:30,595.2,595.9,594.8,595.25,4996
2025-12-29 11:35:00+05:30,595.25,595.25,595.0,595.0,1482
2025-12-29 11:40:00+05:30,595.0,595.4,594.65,594.75,2081
2025-12-29 11:45:00+05:30,594.75,597.9,594.7,597.4,11995
2025-12-29 11:50:00+05:30,597.4,603.0,597.1,603.0,50971
2025-12-29 11:55:00+05:30,603.0,603.0,602.2,602.9,6028
