date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,778.4,779.9,775.85,776.2,7820
2025-12-29 09:16:00+05:30,775.6,777.6,775.6,777.5,3762
2025-12-29 09:17:00+05:30,776.85,777.3,776.3,777.0,4748
2025-12-29 09:18:00+05:30,778.35,778.35,776.85,778.1,5529
2025-12-29 09:19:00+05:30,777.8,778.9,777.8,778.45,4070
2025-12-29 09:20:00+05:30,778.35,779.55,778.35,779.45,4775
2025-12-29 09:21:00+05:30,779.9,781.4,779.4,780.5,6884
2025-12-29 09:22:00+05:30,780.5,781.2,780.5,781.15,4947
2025-12-29 09:23:00+05:30,781.15,781.2,780.6,781.2,3316
2025-12-29 09:24:00+05:30,781.0,781.15,780.5,780.95,3515
2025-12-29 09:25:00+05:30,780.95,780.95,779.55,779.9,2509
2025-12-29 09:26:00+05:30,779.9,780.4,778.95,779.05,1637
2025-12-29 09:27:00+05:30,778.85,779.25,776.9,776.9,2149
2025-12-29 09:28:00+05:30,776.9,778.4,776.9,777.9,14518
2025-12-29 09:29:00+05:30,777.9,777.9,776.8,776.85,2700
2025-12-29 09:30:00+05:30,776.85,778.25,776.8,778.15,2191
2025-12-29 09:31:00+05:30,778.15,778.2,777.2,778.2,613
2025-12-29 09:32:00+05:30,778.2,778.2,777.3,777.3,575
2025-12-29 09:33:00+05:30,777.2,777.6,777.1,777.55,836
2025-12-29 09:34:00+05:30,777.15,777.55,777.15,777.5,1205
2025-12-29 09:35:00+05:30,777.5,778.8,777.45,778.8,2424
2025-12-29 09:36:00+05:30,778.8,779.85,778.5,779.85,1502
2025-12-29 09:37:00+05:30,779.85,779.85,779.05,779.6,545
2025-12-29 09:38:00+05:30,779.45,779.5,779.0,779.45,1170
2025-12-29 09:39:00+05:30,779.45,779.45,779.1,779.4,1028
2025-12-29 09:40:00+05:30,779.7,779.8,778.85,778.85,2154
2025-12-29 09:41:00+05:30,779.0,779.55,778.05,778.4,975
2025-12-29 09:42:00+05:30,778.1,778.1,777.8,777.9,1244
2025-12-29 09:43:00+05:30,777.9,778.1,777.75,777.75,506
2025-12-29 09:44:00+05:30,777.75,778.1,777.65,778.05,479
2025-12-29 09:45:00+05:30,778.05,778.5,778.05,778.4,501
2025-12-29 09:46:00+05:30,778.4,778.5,778.25,778.45,337
2025-12-29 09:47:00+05:30,778.45,778.65,778.05,778.4,584
2025-12-29 09:48:00+05:30,778.05,778.5,777.8,778.5,902
2025-12-29 09:49:00+05:30,778.3,778.5,778.1,778.4,564
2025-12-29 09:50:00+05:30,778.4,778.45,777.95,778.4,493
2025-12-29 09:51:00+05:30,778.4,778.4,777.85,778.2,620
2025-12-29 09:52:00+05:30,778.4,778.4,777.75,778.35,1271
2025-12-29 09:53:00+05:30,778.35,778.35,777.7,777.9,292
2025-12-29 09:54:00+05:30,777.9,778.0,777.3,777.3,548
2025-12-29 09:55:00+05:30,777.3,777.85,777.3,777.6,264
2025-12-29 09:56:00+05:30,777.6,777.6,777.3,777.3,333
2025-12-29 09:57:00+05:30,777.3,777.3,776.8,776.8,978
2025-12-29 09:58:00+05:30,776.45,777.0,776.45,776.95,687
2025-12-29 09:59:00+05:30,776.95,776.95,776.1,776.3,2201
2025-12-29 10:00:00+05:30,776.3,776.3,775.65,775.9,2976
2025-12-29 10:01:00+05:30,775.65,776.6,775.3,776.6,2659
2025-12-29 10:02:00+05:30,776.6,777.6,776.6,777.55,3933
2025-12-29 10:03:00+05:30,777.55,777.55,777.15,777.55,547
2025-12-29 10:04:00+05:30,777.55,777.6,777.25,777.5,373
2025-12-29 10:05:00+05:30,777.5,777.55,777.1,777.3,375
2025-12-29 10:06:00+05:30,777.3,777.4,777.0,777.05,1235
2025-12-29 10:07:00+05:30,777.05,777.25,777.0,777.0,471
2025-12-29 10:08:00+05:30,777.0,777.1,776.85,777.05,241
2025-12-29 10:09:00+05:30,777.05,777.4,777.0,777.05,1666
2025-12-29 10:10:00+05:30,777.05,777.5,777.05,777.15,1111
2025-12-29 10:11:00+05:30,777.15,777.4,776.7,776.7,3305
2025-12-29 10:12:00+05:30,776.7,777.05,776.7,777.05,869
2025-12-29 10:13:00+05:30,777.05,777.05,776.95,777.05,358
2025-12-29 10:14:00+05:30,777.05,777.1,776.75,777.0,388
2025-12-29 10:15:00+05:30,777.0,777.0,776.5,776.85,5268
2025-12-29 10:16:00+05:30,776.85,777.7,776.4,776.8,6829
2025-12-29 10:17:00+05:30,776.8,776.85,776.4,776.75,276
2025-12-29 10:18:00+05:30,776.75,776.8,776.4,776.45,468
2025-12-29 10:19:00+05:30,776.45,776.55,776.0,776.0,724
2025-12-29 10:20:00+05:30,776.0,776.15,775.4,775.65,712
2025-12-29 10:21:00+05:30,775.65,775.65,775.0,775.0,3135
2025-12-29 10:22:00+05:30,774.9,775.1,774.55,774.65,1971
2025-12-29 10:23:00+05:30,774.65,775.65,774.35,775.4,4258
2025-12-29 10:24:00+05:30,775.4,776.0,775.4,776.0,994
2025-12-29 10:25:00+05:30,776.0,776.0,775.8,775.9,1117
2025-12-29 10:26:00+05:30,775.9,776.5,775.9,776.5,1473
2025-12-29 10:27:00+05:30,776.5,777.0,776.5,776.85,814
2025-12-29 10:28:00+05:30,776.65,776.8,775.4,775.5,4184
2025-12-29 10:29:00+05:30,775.5,775.65,775.15,775.35,459
2025-12-29 10:30:00+05:30,775.35,775.35,774.6,775.35,1267
2025-12-29 10:31:00+05:30,775.3,776.05,775.3,776.0,798
2025-12-29 10:32:00+05:30,775.6,776.0,775.1,775.5,482
2025-12-29 10:33:00+05:30,775.4,776.15,775.3,776.15,2589
2025-12-29 10:34:00+05:30,776.15,776.85,775.8,776.3,1674
2025-12-29 10:35:00+05:30,776.3,776.35,775.85,776.35,619
2025-12-29 10:36:00+05:30,776.35,776.35,775.8,776.2,287
2025-12-29 10:37:00+05:30,776.2,776.2,775.35,775.95,571
2025-12-29 10:38:00+05:30,775.95,776.3,775.8,776.1,1423
2025-12-29 10:39:00+05:30,776.1,776.1,775.45,775.8,997
2025-12-29 10:40:00+05:30,776.1,776.6,775.85,776.6,585
2025-12-29 10:41:00+05:30,776.6,776.6,776.2,776.5,378
2025-12-29 10:42:00+05:30,776.5,776.5,775.75,775.75,2303
2025-12-29 10:43:00+05:30,775.45,775.8,775.3,775.75,438
2025-12-29 10:44:00+05:30,775.75,775.9,775.35,775.55,1612
2025-12-29 10:45:00+05:30,775.55,775.55,774.85,775.05,554
2025-12-29 10:46:00+05:30,775.05,775.65,775.05,775.65,786
2025-12-29 10:47:00+05:30,775.65,775.65,775.45,775.65,349
2025-12-29 10:48:00+05:30,775.65,775.7,775.35,775.35,470
2025-12-29 10:49:00+05:30,775.35,775.65,775.35,775.65,332
2025-12-29 10:50:00+05:30,775.35,776.5,775.35,776.15,2308
2025-12-29 10:51:00+05:30,775.65,776.0,775.65,776.0,332
2025-12-29 10:52:00+05:30,776.0,776.05,775.65,776.0,1317
2025-12-29 10:53:00+05:30,776.0,776.0,775.7,775.85,319
2025-12-29 10:54:00+05:30,775.85,776.25,775.85,776.05,919
2025-12-29 10:55:00+05:30,776.05,776.2,776.0,776.0,1563
