date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,849.85,850.35,849.85,850.35,3081
2025-12-24 12:00:00+05:30,850.2,850.5,849.25,849.9,19709
2025-12-24 12:05:00+05:30,849.9,849.95,848.95,849.35,12083
2025-12-24 12:10:00+05:30,849.35,849.35,848.6,849.1,6270
2025-12-24 12:15:00+05:30,849.1,849.3,848.4,848.5,8818
2025-12-24 12:20:00+05:30,848.5,848.9,848.0,848.5,11148
2025-12-24 12:25:00+05:30,848.5,848.9,848.05,848.5,16468
2025-12-24 12:30:00+05:30,848.5,849.15,848.25,848.3,3489
2025-12-24 12:35:00+05:30,848.3,848.75,848.25,848.4,6326
2025-12-24 12:40:00+05:30,848.6,848.9,848.3,848.35,5877
2025-12-24 12:45:00+05:30,848.35,848.85,847.8,848.0,13978
2025-12-24 12:50:00+05:30,848.4,848.75,847.65,847.8,21397
2025-12-24 12:55:00+05:30,847.8,848.7,847.8,848.3,5748
2025-12-24 13:00:00+05:30,848.3,849.25,848.05,848.75,19250
2025-12-24 13:05:00+05:30,848.75,850.9,848.75,850.4,45105
2025-12-24 13:10:00+05:30,850.4,850.95,849.5,850.65,11166
2025-12-24 13:15:00+05:30,850.65,850.65,849.2,849.9,11248
2025-12-24 13:20:00+05:30,849.9,850.3,849.5,849.95,8764
2025-12-24 13:25:00+05:30,849.95,851.0,849.55,850.8,10320
2025-12-24 13:30:00+05:30,850.8,850.8,849.15,849.65,8901
2025-12-24 13:35:00+05:30,849.65,850.0,849.4,849.55,6193
2025-12-24 13:40:00+05:30,849.55,849.95,849.3,849.75,3153
2025-12-24 13:45:00+05:30,849.75,850.55,849.45,850.55,4413
2025-12-24 13:50:00+05:30,850.75,850.8,850.0,850.15,16897
2025-12-24 13:55:00+05:30,850.6,850.6,849.45,849.45,21516
2025-12-24 14:00:00+05:30,849.45,849.5,848.2,849.0,11546
2025-12-24 14:05:00+05:30,849.0,849.3,847.9,848.65,13056
2025-12-24 14:10:00+05:30,848.65,848.95,848.0,848.95,6728
2025-12-24 14:15:00+05:30,848.95,849.05,848.25,848.55,4394
2025-12-24 14:20:00+05:30,848.55,848.75,847.4,847.9,21656
2025-12-24 14:25:00+05:30,847.9,848.05,847.3,847.6,8605
2025-12-24 14:30:00+05:30,847.6,847.8,846.4,846.7,21491
2025-12-24 14:35:00+05:30,846.7,847.3,846.0,846.5,31055
2025-12-24 14:40:00+05:30,846.5,848.0,846.05,847.75,22470
2025-12-24 14:45:00+05:30,847.85,848.0,847.3,847.3,20127
2025-12-24 14:50:00+05:30,847.3,848.7,847.25,848.25,38800
2025-12-24 14:55:00+05:30,848.25,848.9,847.85,848.6,38224
2025-12-24 15:00:00+05:30,849.25,849.8,848.15,848.5,28104
2025-12-24 15:05:00+05:30,848.5,848.5,846.65,847.15,20748
2025-12-24 15:10:00+05:30,847.25,848.15,846.4,847.45,21038
2025-12-24 15:15:00+05:30,847.8,848.45,847.2,848.45,66860
2025-12-24 15:20:00+05:30,848.5,848.5,847.95,848.35,39821
2025-12-24 15:25:00+05:30,848.35,849.0,847.95,848.2,52984
2025-12-26 09:15:00+05:30,841.05,846.9,837.1,846.35,278768
2025-12-26 09:20:00+05:30,846.3,847.0,843.9,844.25,63866
2025-12-26 09:25:00+05:30,844.35,845.05,843.55,844.15,28737
2025-12-26 09:30:00+05:30,844.15,846.0,842.1,845.9,30133
2025-12-26 09:35:00+05:30,845.9,851.45,845.6,849.35,91212
2025-12-26 09:40:00+05:30,849.0,852.6,848.3,851.65,70074
2025-12-26 09:45:00+05:30,851.0,853.0,851.0,853.0,31601
2025-12-26 09:50:00+05:30,852.95,855.6,852.8,854.15,78112
2025-12-26 09:55:00+05:30,854.15,857.9,853.75,855.6,109110
2025-12-26 10:00:00+05:30,855.6,857.95,855.5,857.5,224359
2025-12-26 10:05:00+05:30,857.95,858.9,854.0,854.55,183398
2025-12-26 10:10:00+05:30,854.55,854.8,852.8,853.35,84920
2025-12-26 10:15:00+05:30,853.25,853.4,851.5,852.05,72929
2025-12-26 10:20:00+05:30,852.05,855.5,851.5,854.8,46478
2025-12-26 10:25:00+05:30,854.6,854.85,853.3,854.4,40230
2025-12-26 10:30:00+05:30,854.4,854.65,852.2,852.6,71162
2025-12-26 10:35:00+05:30,852.6,853.9,852.6,853.25,29460
2025-12-26 10:40:00+05:30,853.45,854.5,852.8,853.15,31203
2025-12-26 10:45:00+05:30,853.25,853.7,852.6,853.15,6905
2025-12-26 10:50:00+05:30,853.15,853.3,851.7,852.4,23430
2025-12-26 10:55:00+05:30,852.5,853.45,852.4,853.1,10786
2025-12-26 11:00:00+05:30,853.15,853.45,852.75,853.05,7082
2025-12-26 11:05:00+05:30,852.85,853.0,852.4,852.6,7221
2025-12-26 11:10:00+05:30,852.6,852.95,851.6,852.55,561675
2025-12-26 11:15:00+05:30,852.5,855.0,852.35,854.4,40475
2025-12-26 11:20:00+05:30,854.25,855.15,854.0,854.25,41377
2025-12-26 11:25:00+05:30,854.55,856.8,854.35,856.15,48722
2025-12-26 11:30:00+05:30,856.35,856.35,853.75,853.75,12938
2025-12-26 11:35:00+05:30,853.75,855.55,853.65,853.9,375839
2025-12-26 11:40:00+05:30,853.95,854.0,852.35,852.9,21247
2025-12-26 11:45:00+05:30,852.85,852.95,851.75,852.25,25706
