date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,159.56,160.2,159.56,159.74,99925
2025-12-29 09:16:00+05:30,159.75,160.14,159.53,160.12,59075
2025-12-29 09:17:00+05:30,160.0,160.5,160.0,160.38,94240
2025-12-29 09:18:00+05:30,160.61,160.78,160.55,160.73,119559
2025-12-29 09:19:00+05:30,160.73,161.19,160.73,161.12,71171
2025-12-29 09:20:00+05:30,161.11,161.2,161.0,161.05,45303
2025-12-29 09:21:00+05:30,161.05,161.1,161.0,161.09,29300
2025-12-29 09:22:00+05:30,161.09,161.39,161.0,161.27,65933
2025-12-29 09:23:00+05:30,161.27,161.62,161.14,161.25,131372
2025-12-29 09:24:00+05:30,161.27,161.31,161.14,161.16,19026
2025-12-29 09:25:00+05:30,161.24,161.25,160.9,160.92,66158
2025-12-29 09:26:00+05:30,161.0,161.15,160.92,161.14,54925
2025-12-29 09:27:00+05:30,161.08,161.24,161.05,161.18,39723
2025-12-29 09:28:00+05:30,161.16,161.2,161.11,161.2,11184
2025-12-29 09:29:00+05:30,161.16,161.25,161.1,161.2,46912
2025-12-29 09:30:00+05:30,161.2,161.25,161.15,161.17,9149
2025-12-29 09:31:00+05:30,161.25,161.32,161.14,161.14,36801
2025-12-29 09:32:00+05:30,161.14,161.22,161.09,161.22,84531
2025-12-29 09:33:00+05:30,161.19,161.19,161.11,161.13,18355
2025-12-29 09:34:00+05:30,161.15,161.17,160.98,161.01,41553
2025-12-29 09:35:00+05:30,161.07,161.28,161.07,161.21,19403
2025-12-29 09:36:00+05:30,161.21,161.59,161.19,161.54,70827
2025-12-29 09:37:00+05:30,161.54,161.65,161.5,161.65,35251
2025-12-29 09:38:00+05:30,161.65,161.65,161.51,161.57,25127
2025-12-29 09:39:00+05:30,161.51,161.6,161.51,161.54,10530
2025-12-29 09:40:00+05:30,161.58,161.6,161.55,161.55,14176
2025-12-29 09:41:00+05:30,161.53,161.54,161.42,161.43,17028
2025-12-29 09:42:00+05:30,161.4,161.51,161.35,161.5,34741
2025-12-29 09:43:00+05:30,161.54,161.55,161.44,161.55,14929
2025-12-29 09:44:00+05:30,161.5,161.55,161.45,161.48,8574
2025-12-29 09:45:00+05:30,161.48,161.65,161.48,161.65,34692
2025-12-29 09:46:00+05:30,161.65,161.69,161.58,161.64,17018
2025-12-29 09:47:00+05:30,161.65,161.68,161.53,161.6,14246
2025-12-29 09:48:00+05:30,161.59,161.94,161.56,161.77,108260
2025-12-29 09:49:00+05:30,161.83,161.86,161.78,161.78,36658
2025-12-29 09:50:00+05:30,161.84,161.89,161.72,161.88,36172
2025-12-29 09:51:00+05:30,161.88,161.9,161.8,161.83,29878
2025-12-29 09:52:00+05:30,161.82,162.21,161.82,162.08,145568
2025-12-29 09:53:00+05:30,162.16,162.19,162.08,162.11,34169
2025-12-29 09:54:00+05:30,162.11,162.25,162.03,162.13,83924
2025-12-29 09:55:00+05:30,162.12,162.12,162.02,162.1,20218
2025-12-29 09:56:00+05:30,162.06,162.18,162.05,162.06,25301
2025-12-29 09:57:00+05:30,162.0,162.05,161.93,161.97,19214
2025-12-29 09:58:00+05:30,161.96,161.96,161.9,161.91,9984
2025-12-29 09:59:00+05:30,161.91,161.95,161.86,161.94,15306
2025-12-29 10:00:00+05:30,161.94,161.94,161.85,161.85,10096
2025-12-29 10:01:00+05:30,161.87,161.99,161.85,161.99,14278
2025-12-29 10:02:00+05:30,161.97,161.97,161.65,161.69,25855
2025-12-29 10:03:00+05:30,161.69,161.8,161.6,161.7,18422
2025-12-29 10:04:00+05:30,161.7,161.74,161.6,161.66,8790
2025-12-29 10:05:00+05:30,161.66,161.7,161.53,161.6,9722
2025-12-29 10:06:00+05:30,161.6,161.75,161.52,161.7,13430
2025-12-29 10:07:00+05:30,161.75,161.8,161.67,161.76,15923
2025-12-29 10:08:00+05:30,161.72,161.72,161.6,161.6,12228
2025-12-29 10:09:00+05:30,161.59,161.72,161.56,161.72,20753
2025-12-29 10:10:00+05:30,161.71,161.78,161.71,161.78,13544
2025-12-29 10:11:00+05:30,161.75,161.78,161.72,161.73,10142
2025-12-29 10:12:00+05:30,161.7,161.77,161.65,161.74,20779
2025-12-29 10:13:00+05:30,161.69,161.69,161.62,161.66,12953
2025-12-29 10:14:00+05:30,161.67,161.7,161.6,161.7,6781
2025-12-29 10:15:00+05:30,161.68,161.75,161.67,161.67,3408
2025-12-29 10:16:00+05:30,161.68,161.68,161.6,161.6,6787
2025-12-29 10:17:00+05:30,161.62,161.67,161.57,161.61,7908
2025-12-29 10:18:00+05:30,161.63,161.65,161.51,161.55,7188
2025-12-29 10:19:00+05:30,161.56,161.66,161.55,161.55,9723
2025-12-29 10:20:00+05:30,161.58,161.65,161.52,161.65,11685
2025-12-29 10:21:00+05:30,161.65,161.65,161.55,161.55,5389
2025-12-29 10:22:00+05:30,161.55,161.64,161.55,161.63,2414
2025-12-29 10:23:00+05:30,161.62,161.65,161.6,161.65,3194
2025-12-29 10:24:00+05:30,161.65,161.8,161.6,161.71,20381
2025-12-29 10:25:00+05:30,161.68,161.8,161.68,161.79,2637
2025-12-29 10:26:00+05:30,161.79,161.8,161.72,161.76,10957
2025-12-29 10:27:00+05:30,161.76,161.79,161.68,161.79,6512
