date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,138.53,138.63,138.52,138.58,12977
2025-12-24 12:00:00+05:30,138.54,138.64,138.54,138.56,52509
2025-12-24 12:05:00+05:30,138.61,138.62,138.52,138.57,21912
2025-12-24 12:10:00+05:30,138.53,138.62,138.52,138.6,24364
2025-12-24 12:15:00+05:30,138.57,138.71,138.55,138.65,38719
2025-12-24 12:20:00+05:30,138.65,138.65,138.6,138.63,13547
2025-12-24 12:25:00+05:30,138.63,138.75,138.55,138.62,49390
2025-12-24 12:30:00+05:30,138.62,138.71,138.55,138.57,22442
2025-12-24 12:35:00+05:30,138.57,138.65,138.55,138.62,14379
2025-12-24 12:40:00+05:30,138.62,138.65,138.51,138.55,22637
2025-12-24 12:45:00+05:30,138.55,138.55,138.43,138.45,48924
2025-12-24 12:50:00+05:30,138.45,138.45,138.31,138.38,41907
2025-12-24 12:55:00+05:30,138.38,138.58,138.35,138.52,44023
2025-12-24 13:00:00+05:30,138.52,138.81,138.49,138.76,40013
2025-12-24 13:05:00+05:30,138.8,138.85,138.43,138.5,48259
2025-12-24 13:10:00+05:30,138.5,138.58,138.44,138.47,10753
2025-12-24 13:15:00+05:30,138.47,138.55,138.39,138.4,19814
2025-12-24 13:20:00+05:30,138.39,138.45,138.17,138.24,65740
2025-12-24 13:25:00+05:30,138.25,138.41,138.2,138.29,36202
2025-12-24 13:30:00+05:30,138.29,138.29,138.1,138.15,39163
2025-12-24 13:35:00+05:30,138.14,138.18,138.11,138.15,31427
2025-12-24 13:40:00+05:30,138.15,138.27,138.09,138.24,68795
2025-12-24 13:45:00+05:30,138.27,138.27,138.11,138.23,42911
2025-12-24 13:50:00+05:30,138.23,138.42,138.21,138.35,44343
2025-12-24 13:55:00+05:30,138.35,138.36,138.15,138.2,25835
2025-12-24 14:00:00+05:30,138.2,138.28,138.09,138.1,27428
2025-12-24 14:05:00+05:30,138.1,138.24,138.1,138.17,15734
2025-12-24 14:10:00+05:30,138.25,138.25,138.15,138.2,11636
2025-12-24 14:15:00+05:30,138.2,138.34,138.2,138.29,39245
2025-12-24 14:20:00+05:30,138.29,138.38,138.18,138.34,86585
2025-12-24 14:25:00+05:30,138.34,138.45,138.16,138.36,106611
2025-12-24 14:30:00+05:30,138.36,138.47,138.2,138.31,89926
2025-12-24 14:35:00+05:30,138.31,138.35,138.06,138.19,54662
2025-12-24 14:40:00+05:30,138.19,138.23,138.08,138.19,29889
2025-12-24 14:45:00+05:30,138.19,138.31,138.1,138.26,54399
2025-12-24 14:50:00+05:30,138.26,138.35,138.11,138.3,121549
2025-12-24 14:55:00+05:30,138.3,138.6,138.27,138.4,195761
2025-12-24 15:00:00+05:30,138.55,138.73,138.26,138.33,119102
2025-12-24 15:05:00+05:30,138.33,138.36,138.17,138.24,159829
2025-12-24 15:10:00+05:30,138.24,138.24,138.05,138.2,72283
2025-12-24 15:15:00+05:30,138.19,138.3,138.0,138.01,165747
2025-12-24 15:20:00+05:30,138.0,138.04,137.78,137.81,166459
2025-12-24 15:25:00+05:30,137.82,137.87,137.55,137.55,128701
2025-12-26 09:15:00+05:30,137.76,138.99,137.21,138.79,333862
2025-12-26 09:20:00+05:30,138.8,139.12,138.62,138.78,212518
2025-12-26 09:25:00+05:30,138.91,139.48,138.85,139.34,208233
2025-12-26 09:30:00+05:30,139.44,140.82,139.3,140.52,551232
2025-12-26 09:35:00+05:30,140.55,141.48,140.25,141.42,654782
2025-12-26 09:40:00+05:30,141.43,141.65,140.52,140.61,995534
