date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,121.34,121.36,121.3,121.33,45313
2025-12-24 12:00:00+05:30,121.32,121.5,121.3,121.49,127472
2025-12-24 12:05:00+05:30,121.5,121.78,121.48,121.61,141221
2025-12-24 12:10:00+05:30,121.61,121.74,121.58,121.7,68062
2025-12-24 12:15:00+05:30,121.7,121.75,121.64,121.75,57387
2025-12-24 12:20:00+05:30,121.72,121.78,121.61,121.7,60097
2025-12-24 12:25:00+05:30,121.69,122.2,121.66,122.16,351589
2025-12-24 12:30:00+05:30,122.16,122.59,122.08,122.19,462631
2025-12-24 12:35:00+05:30,122.19,122.35,122.04,122.17,202971
2025-12-24 12:40:00+05:30,122.17,122.17,122.0,122.07,150818
2025-12-24 12:45:00+05:30,122.06,122.08,122.0,122.0,50210
2025-12-24 12:50:00+05:30,122.02,122.02,121.81,121.9,122617
2025-12-24 12:55:00+05:30,121.9,122.25,121.88,122.25,152659
2025-12-24 13:00:00+05:30,122.21,122.28,122.12,122.2,121057
2025-12-24 13:05:00+05:30,122.2,122.2,121.68,121.78,157419
2025-12-24 13:10:00+05:30,121.75,121.86,121.7,121.83,60383
2025-12-24 13:15:00+05:30,121.8,121.81,121.61,121.7,103619
2025-12-24 13:20:00+05:30,121.7,121.71,121.6,121.61,65095
2025-12-24 13:25:00+05:30,121.61,121.62,121.38,121.46,173047
2025-12-24 13:30:00+05:30,121.46,121.56,121.3,121.34,94417
2025-12-24 13:35:00+05:30,121.4,121.45,121.27,121.3,169383
2025-12-24 13:40:00+05:30,121.26,121.45,121.26,121.45,79234
2025-12-24 13:45:00+05:30,121.4,121.45,121.4,121.43,33435
2025-12-24 13:50:00+05:30,121.43,121.48,121.4,121.42,32890
2025-12-24 13:55:00+05:30,121.42,121.48,121.26,121.4,113536
2025-12-24 14:00:00+05:30,121.4,121.43,121.16,121.29,131808
2025-12-24 14:05:00+05:30,121.29,121.39,121.2,121.3,90294
2025-12-24 14:10:00+05:30,121.3,121.35,121.3,121.31,45311
2025-12-24 14:15:00+05:30,121.3,121.4,121.23,121.4,103524
2025-12-24 14:20:00+05:30,121.4,121.4,121.27,121.3,47347
2025-12-24 14:25:00+05:30,121.3,121.3,121.13,121.26,119290
2025-12-24 14:30:00+05:30,121.26,121.3,121.2,121.21,70392
2025-12-24 14:35:00+05:30,121.25,121.27,121.13,121.18,94262
2025-12-24 14:40:00+05:30,121.18,121.5,121.16,121.45,185542
2025-12-24 14:45:00+05:30,121.45,121.63,121.43,121.63,236259
2025-12-24 14:50:00+05:30,121.63,121.85,121.55,121.78,398820
2025-12-24 14:55:00+05:30,121.78,121.9,121.63,121.7,255366
2025-12-24 15:00:00+05:30,121.74,121.91,121.65,121.66,315258
2025-12-24 15:05:00+05:30,121.67,121.75,121.64,121.67,186897
2025-12-24 15:10:00+05:30,121.6,121.7,121.46,121.69,396760
2025-12-24 15:15:00+05:30,121.68,121.69,121.26,121.43,783073
2025-12-24 15:20:00+05:30,121.41,121.43,121.3,121.36,611127
2025-12-24 15:25:00+05:30,121.35,121.55,121.32,121.55,295698
2025-12-26 09:15:00+05:30,122.14,123.3,121.86,123.19,1879925
2025-12-26 09:20:00+05:30,123.19,123.77,123.13,123.34,1247752
2025-12-26 09:25:00+05:30,123.35,124.4,123.3,124.25,1723580
2025-12-26 09:30:00+05:30,124.25,126.16,124.13,125.9,4062022
2025-12-26 09:35:00+05:30,125.94,127.9,125.49,127.75,5230643
2025-12-26 09:40:00+05:30,127.8,129.11,127.0,128.39,7396388
2025-12-26 09:45:00+05:30,128.32,129.6,128.06,128.9,5658229
2025-12-26 09:50:00+05:30,128.83,129.45,128.6,128.82,3436394
2025-12-26 09:55:00+05:30,128.81,129.9,128.47,129.64,4482410
2025-12-26 10:00:00+05:30,129.56,129.87,128.91,129.63,3487430
2025-12-26 10:05:00+05:30,129.61,129.61,129.02,129.07,1936588
2025-12-26 10:10:00+05:30,129.01,129.25,128.59,129.15,2101589
2025-12-26 10:15:00+05:30,129.12,129.17,128.57,128.86,1387502
2025-12-26 10:20:00+05:30,128.89,129.45,128.73,129.37,2273082
2025-12-26 10:25:00+05:30,129.31,130.41,129.31,130.41,5873607
2025-12-26 10:30:00+05:30,130.4,131.5,130.09,131.37,6232861
2025-12-26 10:35:00+05:30,131.34,132.0,131.32,131.44,5465664
2025-12-26 10:40:00+05:30,131.48,131.82,130.66,131.37,4791145
2025-12-26 10:45:00+05:30,131.35,131.59,130.67,131.06,2963532
2025-12-26 10:50:00+05:30,131.04,131.82,131.04,131.47,2764587
2025-12-26 10:55:00+05:30,131.48,132.34,131.46,131.84,4576415
2025-12-26 11:00:00+05:30,131.84,132.1,131.61,132.0,1888356
2025-12-26 11:05:00+05:30,132.0,132.18,131.63,131.77,1598260
2025-12-26 11:10:00+05:30,131.8,132.0,131.6,131.77,1216567
2025-12-26 11:15:00+05:30,131.76,131.78,131.32,131.36,1597337
2025-12-26 11:20:00+05:30,131.36,131.82,131.16,131.72,1542174
2025-12-26 11:25:00+05:30,131.72,132.17,131.41,132.08,1898133
2025-12-26 11:30:00+05:30,132.15,132.6,132.1,132.4,3050620
2025-12-26 11:35:00+05:30,132.4,133.0,132.0,132.9,2680216
2025-12-26 11:40:00+05:30,132.93,133.0,132.72,132.88,2158015
2025-12-26 11:45:00+05:30,132.88,132.88,132.37,132.53,1682450
2025-12-26 11:50:00+05:30,132.53,132.62,132.2,132.3,918575
2025-12-26 11:55:00+05:30,132.3,132.35,132.1,132.18,974217
2025-12-26 12:00:00+05:30,132.2,132.47,131.88,132.2,1437668
2025-12-26 12:05:00+05:30,132.15,132.68,132.13,132.45,985475
2025-12-26 12:10:00+05:30,132.46,132.6,132.34,132.47,707732
2025-12-26 12:15:00+05:30,132.53,132.66,132.33,132.45,1001846
2025-12-26 12:20:00+05:30,132.48,132.5,132.24,132.42,580228
2025-12-26 12:25:00+05:30,132.4,132.6,132.33,132.55,587144
2025-12-26 12:30:00+05:30,132.52,132.75,132.4,132.41,1036128
2025-12-26 12:35:00+05:30,132.45,132.72,132.39,132.52,963159
2025-12-26 12:40:00+05:30,132.51,132.58,132.35,132.42,740189
2025-12-26 12:45:00+05:30,132.45,132.45,132.31,132.32,587661
2025-12-26 12:50:00+05:30,132.32,132.35,131.6,131.61,2149170
2025-12-26 12:55:00+05:30,131.61,131.8,131.26,131.29,1454384
2025-12-26 13:00:00+05:30,131.34,132.1,131.29,131.99,1185584
2025-12-26 13:05:00+05:30,131.99,132.47,131.93,132.22,945123
2025-12-26 13:10:00+05:30,132.13,132.48,132.01,132.31,801636
2025-12-26 13:15:00+05:30,132.31,132.45,132.28,132.31,619137
2025-12-26 13:20:00+05:30,132.3,132.58,132.21,132.3,807826
2025-12-26 13:25:00+05:30,132.3,132.35,132.21,132.3,274970
2025-12-26 13:30:00+05:30,132.3,132.3,131.9,131.99,558483
2025-12-26 13:35:00+05:30,132.0,132.3,131.81,132.22,767730
2025-12-26 13:40:00+05:30,132.23,132.27,132.06,132.18,261367
2025-12-26 13:45:00+05:30,132.16,132.45,132.12,132.35,723700
2025-12-26 13:50:00+05:30,132.36,132.39,131.91,131.93,547341
2025-12-26 13:55:00+05:30,131.92,132.11,131.92,132.04,304105
2025-12-26 14:00:00+05:30,132.04,132.45,132.03,132.32,658378
2025-12-26 14:05:00+05:30,132.32,132.34,132.09,132.13,331153
2025-12-26 14:10:00+05:30,132.12,132.14,131.9,132.03,775946
2025-12-26 14:15:00+05:30,132.05,132.17,131.65,131.76,1015004
2025-12-26 14:20:00+05:30,131.79,132.15,131.71,131.85,834184
2025-12-26 14:25:00+05:30,131.85,131.86,131.6,131.86,860824
2025-12-26 14:30:00+05:30,131.8,132.1,131.68,131.7,848544
2025-12-26 14:35:00+05:30,131.7,131.77,131.62,131.7,439899
2025-12-26 14:40:00+05:30,131.7,131.99,131.68,131.97,446428
2025-12-26 14:45:00+05:30,131.98,132.08,131.71,132.0,1011477
2025-12-26 14:50:00+05:30,132.0,132.3,131.96,132.28,1066527
2025-12-26 14:55:00+05:30,132.28,132.63,132.01,132.55,2002223
2025-12-26 15:00:00+05:30,132.55,133.5,132.55,132.9,5557660
2025-12-26 15:05:00+05:30,132.93,133.63,132.9,133.39,10833406
2025-12-26 15:10:00+05:30,133.33,134.4,133.33,134.1,5438019
2025-12-26 15:15:00+05:30,134.1,134.59,134.01,134.23,4457706
2025-12-26 15:20:00+05:30,134.31,134.38,133.25,133.36,3393493
2025-12-26 15:25:00+05:30,133.38,133.64,133.2,133.64,2239016
2025-12-29 09:15:00+05:30,135.0,137.17,134.0,134.4,13239870
2025-12-29 09:20:00+05:30,134.47,134.69,131.54,132.0,6348898
2025-12-29 09:25:00+05:30,131.95,132.3,131.33,131.9,2957368
2025-12-29 09:30:00+05:30,131.88,132.12,130.94,131.05,3212809
2025-12-29 09:35:00+05:30,131.12,131.69,130.71,131.06,2457402
2025-12-29 09:40:00+05:30,131.12,131.14,130.59,130.84,1339817
2025-12-29 09:45:00+05:30,130.89,131.89,130.64,131.4,1686593
2025-12-29 09:50:00+05:30,131.36,131.6,130.91,131.0,820213
2025-12-29 09:55:00+05:30,131.0,131.23,129.8,129.99,2302986
2025-12-29 10:00:00+05:30,129.93,130.15,129.38,129.95,2024012
2025-12-29 10:05:00+05:30,129.92,130.02,129.6,130.01,1094244
2025-12-29 10:10:00+05:30,129.97,130.05,129.4,129.49,899010
2025-12-29 10:15:00+05:30,129.47,129.5,128.84,128.92,1692832
2025-12-29 10:20:00+05:30,128.91,129.19,128.8,128.96,803771
2025-12-29 10:25:00+05:30,128.99,129.06,128.5,128.65,1158703
2025-12-29 10:30:00+05:30,128.65,129.24,128.1,129.24,1485887
2025-12-29 10:35:00+05:30,129.21,129.24,128.22,128.27,972874
2025-12-29 10:40:00+05:30,128.27,128.49,128.02,128.21,908074
2025-12-29 10:45:00+05:30,128.21,128.3,128.11,128.17,560376
2025-12-29 10:50:00+05:30,128.17,128.4,128.15,128.23,514407
2025-12-29 10:55:00+05:30,128.23,128.77,128.18,128.39,838252
2025-12-29 11:00:00+05:30,128.4,128.4,128.06,128.12,697451
2025-12-29 11:05:00+05:30,128.12,128.35,127.82,128.33,1021568
2025-12-29 11:10:00+05:30,128.3,128.33,127.99,128.05,337137
2025-12-29 11:15:00+05:30,128.05,128.06,127.9,127.97,435411
2025-12-29 11:20:00+05:30,127.97,128.19,127.92,128.01,399909
2025-12-29 11:25:00+05:30,128.04,128.09,127.51,127.69,823303
2025-12-29 11:30:00+05:30,127.7,127.89,127.43,127.89,846855
2025-12-29 11:35:00+05:30,127.87,128.3,127.81,128.1,595243
2025-12-29 11:40:00+05:30,128.1,128.57,127.88,127.97,863661
2025-12-29 11:45:00+05:30,127.95,128.5,127.94,128.27,467431
2025-12-29 11:50:00+05:30,128.27,128.28,127.9,128.1,442358
2025-12-29 11:55:00+05:30,128.1,128.19,128.05,128.12,40960
