date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,407.7,407.9,407.55,407.55,22052
2025-12-24 12:00:00+05:30,407.65,407.7,407.25,407.45,42622
2025-12-24 12:05:00+05:30,407.45,407.7,407.25,407.45,49306
2025-12-24 12:10:00+05:30,407.45,407.65,407.3,407.4,29752
2025-12-24 12:15:00+05:30,407.5,407.95,407.5,407.95,67969
2025-12-24 12:20:00+05:30,407.95,407.95,407.65,407.75,19910
2025-12-24 12:25:00+05:30,407.8,407.85,407.6,407.8,9424
2025-12-24 12:30:00+05:30,407.8,407.9,407.5,407.65,13950
2025-12-24 12:35:00+05:30,407.65,407.8,407.55,407.7,25993
2025-12-24 12:40:00+05:30,407.65,407.75,407.35,407.5,23777
2025-12-24 12:45:00+05:30,407.5,407.5,407.35,407.45,21803
2025-12-24 12:50:00+05:30,407.45,407.45,407.2,407.4,22886
2025-12-24 12:55:00+05:30,407.35,407.45,407.2,407.35,23895
2025-12-24 13:00:00+05:30,407.3,407.35,407.1,407.35,21387
2025-12-24 13:05:00+05:30,407.35,407.4,407.15,407.3,16737
2025-12-24 13:10:00+05:30,407.35,407.35,407.1,407.25,12127
2025-12-24 13:15:00+05:30,407.1,407.25,406.95,407.2,24768
2025-12-24 13:20:00+05:30,407.0,407.2,406.95,407.0,23788
2025-12-24 13:25:00+05:30,407.1,407.2,406.9,407.15,25897
2025-12-24 13:30:00+05:30,407.15,407.25,406.75,406.95,27102
2025-12-24 13:35:00+05:30,406.95,407.0,406.7,406.8,22185
2025-12-24 13:40:00+05:30,406.7,406.9,406.55,406.85,23135
2025-12-24 13:45:00+05:30,406.85,406.85,406.5,406.7,22001
2025-12-24 13:50:00+05:30,406.65,406.85,406.5,406.75,49028
2025-12-24 13:55:00+05:30,406.75,406.8,406.45,406.55,23962
2025-12-24 14:00:00+05:30,406.55,406.65,406.4,406.5,15455
2025-12-24 14:05:00+05:30,406.45,407.0,406.35,406.95,261535
2025-12-24 14:10:00+05:30,406.95,407.0,406.5,406.65,54738
2025-12-24 14:15:00+05:30,406.5,406.7,406.45,406.65,16238
2025-12-24 14:20:00+05:30,406.55,406.8,406.5,406.7,11787
2025-12-24 14:25:00+05:30,406.55,406.8,406.2,406.25,200720
2025-12-24 14:30:00+05:30,406.3,406.45,406.15,406.25,76956
2025-12-24 14:35:00+05:30,406.25,406.25,406.0,406.1,36727
2025-12-24 14:40:00+05:30,406.1,406.2,405.9,406.2,37738
2025-12-24 14:45:00+05:30,406.1,406.3,405.9,406.0,129821
