date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,300.6,300.95,300.55,300.85,20371
2025-12-24 12:00:00+05:30,300.9,300.95,300.75,300.95,23948
2025-12-24 12:05:00+05:30,300.9,301.1,300.8,301.0,36336
2025-12-24 12:10:00+05:30,301.0,301.1,300.7,300.75,40363
2025-12-24 12:15:00+05:30,300.8,300.9,300.65,300.65,35871
2025-12-24 12:20:00+05:30,300.65,300.65,300.25,300.35,96227
2025-12-24 12:25:00+05:30,300.35,300.45,300.25,300.4,54393
2025-12-24 12:30:00+05:30,300.4,300.5,300.2,300.2,34614
2025-12-24 12:35:00+05:30,300.2,300.4,300.15,300.25,17759
2025-12-24 12:40:00+05:30,300.25,300.35,299.75,299.8,177570
2025-12-24 12:45:00+05:30,299.8,299.95,299.6,299.65,42843
2025-12-24 12:50:00+05:30,299.75,299.8,299.4,299.5,39736
2025-12-24 12:55:00+05:30,299.5,299.6,299.4,299.6,34349
2025-12-24 13:00:00+05:30,299.6,299.6,299.0,299.25,124985
2025-12-24 13:05:00+05:30,299.25,299.25,298.7,299.0,77577
2025-12-24 13:10:00+05:30,299.0,299.05,298.65,298.9,30118
2025-12-24 13:15:00+05:30,298.95,298.95,298.7,298.75,24942
2025-12-24 13:20:00+05:30,298.9,298.9,298.75,298.75,32899
2025-12-24 13:25:00+05:30,298.8,298.9,298.55,298.6,71646
2025-12-24 13:30:00+05:30,298.6,298.65,298.2,298.6,47557
2025-12-24 13:35:00+05:30,298.6,298.7,298.3,298.55,55327
2025-12-24 13:40:00+05:30,298.55,298.75,298.35,298.55,84117
2025-12-24 13:45:00+05:30,298.6,298.8,298.4,298.75,134516
2025-12-24 13:50:00+05:30,298.7,299.0,298.65,298.9,26957
2025-12-24 13:55:00+05:30,298.9,299.0,298.5,298.7,31760
2025-12-24 14:00:00+05:30,298.7,298.75,298.5,298.7,26365
2025-12-24 14:05:00+05:30,298.7,298.95,298.6,298.9,105492
2025-12-24 14:10:00+05:30,298.9,298.95,298.6,298.6,40995
2025-12-24 14:15:00+05:30,298.7,298.8,298.55,298.65,24583
2025-12-24 14:20:00+05:30,298.7,298.7,298.35,298.45,64779
2025-12-24 14:25:00+05:30,298.45,298.55,298.05,298.15,118308
2025-12-24 14:30:00+05:30,298.15,298.7,298.1,298.55,45597
2025-12-24 14:35:00+05:30,298.55,298.6,298.2,298.35,99706
2025-12-24 14:40:00+05:30,298.35,298.6,298.25,298.55,26923
2025-12-24 14:45:00+05:30,298.6,298.7,298.5,298.6,33292
2025-12-24 14:50:00+05:30,298.6,298.6,298.2,298.5,84544
2025-12-24 14:55:00+05:30,298.55,298.95,298.5,298.95,43143
2025-12-24 15:00:00+05:30,299.05,299.25,298.75,298.85,69422
2025-12-24 15:05:00+05:30,298.95,298.95,298.4,298.55,72193
2025-12-24 15:10:00+05:30,298.45,298.65,298.4,298.65,97264
2025-12-24 15:15:00+05:30,298.6,299.05,298.6,299.05,186966
2025-12-24 15:20:00+05:30,299.05,299.2,298.95,299.2,165265
2025-12-24 15:25:00+05:30,299.2,299.25,298.9,299.0,189596
2025-12-26 09:15:00+05:30,298.0,299.35,298.0,299.0,200442
2025-12-26 09:20:00+05:30,298.9,299.6,298.9,299.1,143202
2025-12-26 09:25:00+05:30,299.25,299.8,299.2,299.65,122978
2025-12-26 09:30:00+05:30,299.7,299.8,299.35,299.45,79308
2025-12-26 09:35:00+05:30,299.4,299.75,299.25,299.55,88385
2025-12-26 09:40:00+05:30,299.6,299.65,299.2,299.2,52889
2025-12-26 09:45:00+05:30,299.3,299.6,299.15,299.15,88612
2025-12-26 09:50:00+05:30,299.2,299.3,298.8,298.85,79857
2025-12-26 09:55:00+05:30,299.0,299.2,298.8,299.05,89889
2025-12-26 10:00:00+05:30,299.15,299.2,298.95,299.05,38430
2025-12-26 10:05:00+05:30,299.15,299.25,298.95,299.1,57508
2025-12-26 10:10:00+05:30,299.1,299.25,298.8,298.85,46649
2025-12-26 10:15:00+05:30,298.85,299.0,298.65,299.0,43196
2025-12-26 10:20:00+05:30,299.0,299.0,298.5,298.6,58292
2025-12-26 10:25:00+05:30,298.55,298.85,298.5,298.85,45024
