date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,484.1,484.6,484.0,484.6,8050
2025-12-24 12:00:00+05:30,484.6,484.95,484.5,484.7,25241
2025-12-24 12:05:00+05:30,484.7,485.0,484.0,484.0,8709
2025-12-24 12:10:00+05:30,484.0,484.5,483.9,484.25,6058
2025-12-24 12:15:00+05:30,484.25,484.25,483.75,484.1,11811
2025-12-24 12:20:00+05:30,484.1,484.15,483.9,484.15,6004
2025-12-24 12:25:00+05:30,484.35,484.75,484.35,484.4,1924
2025-12-24 12:30:00+05:30,484.4,484.6,484.05,484.05,1496
2025-12-24 12:35:00+05:30,484.05,484.35,484.0,484.0,1163
2025-12-24 12:40:00+05:30,484.0,485.25,483.95,485.25,2366
2025-12-24 12:45:00+05:30,485.25,485.25,484.9,485.0,43157
2025-12-24 12:50:00+05:30,485.0,485.35,484.8,485.25,40363
2025-12-24 12:55:00+05:30,485.25,485.4,485.05,485.25,18709
2025-12-24 13:00:00+05:30,485.25,485.3,484.0,484.7,19661
2025-12-24 13:05:00+05:30,484.7,484.7,483.9,484.05,12593
2025-12-24 13:10:00+05:30,484.05,484.4,483.85,484.25,6259
2025-12-24 13:15:00+05:30,484.25,485.1,484.0,484.85,88763
2025-12-24 13:20:00+05:30,484.85,485.05,484.65,484.95,6362
2025-12-24 13:25:00+05:30,484.95,485.65,484.4,485.05,133319
2025-12-24 13:30:00+05:30,485.05,485.05,484.2,484.45,56573
2025-12-24 13:35:00+05:30,484.3,484.6,484.05,484.2,19665
2025-12-24 13:40:00+05:30,484.25,484.3,483.3,483.75,9130
2025-12-24 13:45:00+05:30,483.35,483.85,483.3,483.4,10623
2025-12-24 13:50:00+05:30,483.4,483.9,483.4,483.75,6281
2025-12-24 13:55:00+05:30,483.75,483.95,483.3,483.45,5668
2025-12-24 14:00:00+05:30,483.45,483.7,482.75,483.3,6294
2025-12-24 14:05:00+05:30,483.0,483.45,482.9,483.45,8536
2025-12-24 14:10:00+05:30,483.45,486.45,483.25,485.8,197927
2025-12-24 14:15:00+05:30,485.8,487.0,485.5,486.35,163803
2025-12-24 14:20:00+05:30,486.35,486.35,485.15,485.9,31140
2025-12-24 14:25:00+05:30,485.9,485.9,484.85,485.1,14456
2025-12-24 14:30:00+05:30,485.1,485.55,484.75,484.95,15838
2025-12-24 14:35:00+05:30,484.95,485.2,484.05,484.2,14844
2025-12-24 14:40:00+05:30,484.0,484.45,483.3,483.3,23561
2025-12-24 14:45:00+05:30,483.3,484.05,482.9,483.1,19154
2025-12-24 14:50:00+05:30,483.1,483.5,482.8,483.5,14429
2025-12-24 14:55:00+05:30,483.5,485.05,483.5,485.0,8864
2025-12-24 15:00:00+05:30,485.25,485.65,484.75,484.9,42849
2025-12-24 15:05:00+05:30,484.9,485.35,484.4,484.45,54478
2025-12-24 15:10:00+05:30,484.65,484.65,483.85,484.4,46212
2025-12-24 15:15:00+05:30,484.65,484.85,483.85,483.95,81488
2025-12-24 15:20:00+05:30,483.85,484.35,483.1,483.15,49831
2025-12-24 15:25:00+05:30,483.25,484.6,483.0,483.55,50794
2025-12-26 09:15:00+05:30,481.9,484.35,481.35,483.9,19948
2025-12-26 09:20:00+05:30,484.2,485.65,483.85,485.4,26106
2025-12-26 09:25:00+05:30,485.7,486.35,484.7,485.3,18377
2025-12-26 09:30:00+05:30,485.85,486.95,485.1,485.95,15440
2025-12-26 09:35:00+05:30,485.95,486.35,485.35,485.5,15821
2025-12-26 09:40:00+05:30,485.5,485.6,484.65,485.2,8392
2025-12-26 09:45:00+05:30,485.2,485.95,484.25,484.4,23920
2025-12-26 09:50:00+05:30,484.85,484.85,483.85,483.85,17733
2025-12-26 09:55:00+05:30,483.85,484.15,483.25,483.65,4258
2025-12-26 10:00:00+05:30,483.95,484.0,483.3,483.35,4187
2025-12-26 10:05:00+05:30,483.35,483.6,483.1,483.5,5100
2025-12-26 10:10:00+05:30,483.5,483.5,482.65,483.3,14907
2025-12-26 10:15:00+05:30,483.3,483.6,483.0,483.25,15057
2025-12-26 10:20:00+05:30,483.25,483.35,482.55,483.15,8526
2025-12-26 10:25:00+05:30,483.15,484.7,482.85,484.35,11830
2025-12-26 10:30:00+05:30,484.65,484.7,483.85,484.1,14238
2025-12-26 10:35:00+05:30,484.4,484.5,484.05,484.4,3086
2025-12-26 10:40:00+05:30,484.4,484.55,483.9,484.45,8532
2025-12-26 10:45:00+05:30,484.25,484.6,484.2,484.3,4433
2025-12-26 10:50:00+05:30,484.35,485.35,484.3,484.95,10883
2025-12-26 10:55:00+05:30,485.05,485.35,484.85,485.2,3773
2025-12-26 11:00:00+05:30,485.2,485.3,484.85,485.05,6396
2025-12-26 11:05:00+05:30,485.05,485.05,484.2,484.5,3443
2025-12-26 11:10:00+05:30,484.5,484.85,484.15,484.15,6582
2025-12-26 11:15:00+05:30,484.15,484.4,484.0,484.1,1269
2025-12-26 11:20:00+05:30,484.1,484.1,483.3,483.65,5306
2025-12-26 11:25:00+05:30,483.65,485.25,483.65,485.25,15897
2025-12-26 11:30:00+05:30,485.2,485.7,484.75,485.25,11236
2025-12-26 11:35:00+05:30,485.25,485.25,483.1,483.3,10463
