date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,559.8,561.9,558.3,559.1,6472
2025-12-29 09:16:00+05:30,559.4,559.85,558.7,559.85,863
2025-12-29 09:17:00+05:30,559.85,560.9,559.5,560.35,1392
2025-12-29 09:18:00+05:30,560.35,560.45,560.05,560.45,4654
2025-12-29 09:19:00+05:30,559.7,559.7,559.4,559.4,4423
2025-12-29 09:20:00+05:30,559.5,559.75,559.25,559.55,3482
2025-12-29 09:21:00+05:30,559.55,559.6,558.95,558.95,3505
2025-12-29 09:22:00+05:30,559.55,559.75,559.2,559.35,441
2025-12-29 09:23:00+05:30,559.35,559.95,559.35,559.95,469
2025-12-29 09:24:00+05:30,559.7,559.7,559.0,559.0,932
2025-12-29 09:25:00+05:30,559.0,559.1,558.75,559.1,637
2025-12-29 09:26:00+05:30,559.05,559.75,559.05,559.05,390
2025-12-29 09:27:00+05:30,559.6,559.6,559.05,559.5,153
2025-12-29 09:28:00+05:30,559.4,559.95,559.1,559.95,195
2025-12-29 09:29:00+05:30,559.0,559.3,558.95,559.0,378
2025-12-29 09:30:00+05:30,559.0,559.3,558.95,559.3,365
2025-12-29 09:31:00+05:30,559.3,559.9,559.3,559.45,4499
2025-12-29 09:32:00+05:30,559.45,560.45,559.45,560.45,830
2025-12-29 09:33:00+05:30,560.45,560.45,559.9,560.2,826
2025-12-29 09:34:00+05:30,560.2,560.35,559.8,559.8,687
2025-12-29 09:35:00+05:30,559.8,560.25,559.75,560.25,454
2025-12-29 09:36:00+05:30,560.05,561.0,560.05,561.0,3950
2025-12-29 09:37:00+05:30,561.15,561.65,561.1,561.45,1158
2025-12-29 09:38:00+05:30,561.35,561.35,560.75,561.05,251
2025-12-29 09:39:00+05:30,560.8,560.85,560.8,560.85,443
2025-12-29 09:40:00+05:30,560.85,560.85,560.7,560.7,939
2025-12-29 09:41:00+05:30,560.7,561.1,560.45,561.05,1375
2025-12-29 09:42:00+05:30,561.1,561.15,560.9,560.9,340
2025-12-29 09:43:00+05:30,561.15,561.45,561.15,561.25,383
2025-12-29 09:44:00+05:30,561.25,561.35,561.1,561.2,2286
2025-12-29 09:45:00+05:30,561.4,561.5,561.2,561.5,318
2025-12-29 09:46:00+05:30,561.5,561.5,561.25,561.5,730
2025-12-29 09:47:00+05:30,561.5,561.5,561.25,561.5,226
2025-12-29 09:48:00+05:30,561.5,561.5,561.2,561.4,1058
2025-12-29 09:49:00+05:30,561.15,561.25,560.9,561.2,2071
2025-12-29 09:50:00+05:30,561.2,561.2,560.55,560.8,1682
2025-12-29 09:51:00+05:30,560.8,561.15,560.8,561.15,3321
2025-12-29 09:52:00+05:30,561.6,562.15,561.6,561.9,2311
2025-12-29 09:53:00+05:30,561.9,561.9,561.6,561.65,1020
2025-12-29 09:54:00+05:30,561.65,562.55,561.15,562.4,3078
2025-12-29 09:55:00+05:30,562.45,562.75,562.25,562.65,1607
2025-12-29 09:56:00+05:30,562.65,562.9,562.65,562.85,1029
2025-12-29 09:57:00+05:30,562.85,562.9,562.55,562.7,271
2025-12-29 09:58:00+05:30,562.7,562.85,562.7,562.8,615
2025-12-29 09:59:00+05:30,562.8,562.85,562.35,562.7,543
2025-12-29 10:00:00+05:30,562.75,562.75,562.05,562.05,664
2025-12-29 10:01:00+05:30,562.1,562.15,561.75,562.05,529
2025-12-29 10:02:00+05:30,562.05,562.05,561.8,561.85,156
2025-12-29 10:03:00+05:30,562.05,562.05,561.85,561.9,1076
2025-12-29 10:04:00+05:30,562.05,562.05,561.8,562.0,302
2025-12-29 10:05:00+05:30,562.0,562.0,561.75,561.85,270
2025-12-29 10:06:00+05:30,561.85,561.85,561.6,561.75,660
2025-12-29 10:07:00+05:30,561.85,562.0,561.5,561.5,263
2025-12-29 10:08:00+05:30,561.5,561.75,561.5,561.75,2122
2025-12-29 10:09:00+05:30,561.75,561.85,561.55,561.85,461
2025-12-29 10:10:00+05:30,561.7,561.75,561.5,561.5,405
2025-12-29 10:11:00+05:30,561.65,562.0,561.5,561.95,2788
2025-12-29 10:12:00+05:30,561.65,562.0,561.65,561.95,343
2025-12-29 10:13:00+05:30,561.95,562.45,561.55,562.45,326794
2025-12-29 10:14:00+05:30,562.5,562.7,562.45,562.45,22955
2025-12-29 10:15:00+05:30,562.45,562.55,562.2,562.25,496
2025-12-29 10:16:00+05:30,562.05,562.4,562.05,562.3,1399
2025-12-29 10:17:00+05:30,562.05,562.7,562.0,562.4,4587
2025-12-29 10:18:00+05:30,562.6,563.75,562.6,563.7,3309
2025-12-29 10:19:00+05:30,563.7,563.85,563.5,563.5,9488
2025-12-29 10:20:00+05:30,563.55,563.85,563.5,563.55,3339
2025-12-29 10:21:00+05:30,563.85,563.85,563.6,563.85,1855
2025-12-29 10:22:00+05:30,563.85,563.85,563.45,563.45,1126
2025-12-29 10:23:00+05:30,563.45,563.45,563.0,563.0,365
2025-12-29 10:24:00+05:30,563.0,563.2,563.0,563.15,196
2025-12-29 10:25:00+05:30,563.15,563.2,563.0,563.2,413
2025-12-29 10:26:00+05:30,563.3,563.3,562.85,563.15,872
2025-12-29 10:27:00+05:30,563.05,563.25,562.85,563.25,864
2025-12-29 10:28:00+05:30,562.95,563.7,562.95,563.35,2371
2025-12-29 10:29:00+05:30,563.3,563.4,563.05,563.05,1116
2025-12-29 10:30:00+05:30,563.05,563.6,563.05,563.3,1025
2025-12-29 10:31:00+05:30,563.3,563.3,563.0,563.1,354
2025-12-29 10:32:00+05:30,563.0,563.15,562.85,563.15,151
2025-12-29 10:33:00+05:30,563.15,563.7,563.15,563.35,1097
2025-12-29 10:34:00+05:30,563.35,563.35,562.5,562.75,1216
2025-12-29 10:35:00+05:30,562.7,563.15,562.6,562.85,251
2025-12-29 10:36:00+05:30,562.85,563.15,562.85,563.1,116
2025-12-29 10:37:00+05:30,563.1,563.15,562.8,563.15,306
2025-12-29 10:38:00+05:30,563.15,563.5,563.05,563.5,382
2025-12-29 10:39:00+05:30,563.5,563.5,563.0,563.3,1912
2025-12-29 10:40:00+05:30,563.25,563.55,562.95,563.5,1780
2025-12-29 10:41:00+05:30,563.5,563.5,563.1,563.45,243
2025-12-29 10:42:00+05:30,563.45,563.45,563.4,563.4,221
2025-12-29 10:43:00+05:30,563.0,563.25,562.85,562.85,491
2025-12-29 10:44:00+05:30,563.2,563.2,562.8,563.0,616
2025-12-29 10:45:00+05:30,563.1,563.1,562.5,562.6,299
2025-12-29 10:46:00+05:30,562.6,562.6,561.75,562.6,7150
2025-12-29 10:47:00+05:30,562.2,562.6,562.15,562.6,1144
2025-12-29 10:48:00+05:30,562.35,562.8,562.25,562.75,713
2025-12-29 10:49:00+05:30,562.75,562.8,562.5,562.75,231
2025-12-29 10:50:00+05:30,562.7,563.3,562.65,563.3,3092
2025-12-29 10:51:00+05:30,563.3,563.3,562.25,562.25,5127
2025-12-29 10:52:00+05:30,562.55,562.6,562.5,562.5,202
2025-12-29 10:53:00+05:30,562.5,562.6,562.45,562.5,233
2025-12-29 10:54:00+05:30,562.5,562.8,562.2,562.8,9310
2025-12-29 10:55:00+05:30,562.8,562.85,562.55,562.55,322
2025-12-29 10:56:00+05:30,562.55,563.2,562.55,562.75,4434
2025-12-29 10:57:00+05:30,562.75,562.8,562.0,562.3,2527
2025-12-29 10:58:00+05:30,562.6,562.6,562.25,562.45,364
2025-12-29 10:59:00+05:30,562.45,562.6,562.1,562.6,25257
2025-12-29 11:00:00+05:30,562.55,562.55,562.05,562.05,3158
2025-12-29 11:01:00+05:30,562.05,562.15,562.0,562.0,606
2025-12-29 11:02:00+05:30,562.05,562.05,561.45,561.9,3618
2025-12-29 11:03:00+05:30,562.1,562.1,561.85,561.85,283
