date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,846.1,848.9,846.1,847.8,3594
2025-12-29 09:16:00+05:30,847.45,849.0,845.6,848.7,4513
2025-12-29 09:17:00+05:30,850.55,854.5,849.05,851.0,36482
2025-12-29 09:18:00+05:30,851.0,851.95,850.75,851.35,5347
2025-12-29 09:19:00+05:30,851.35,851.8,850.65,850.85,7137
2025-12-29 09:20:00+05:30,851.1,851.1,849.55,849.55,2902
2025-12-29 09:21:00+05:30,849.95,851.1,849.95,850.85,1833
2025-12-29 09:22:00+05:30,850.85,850.9,850.3,850.45,5608
2025-12-29 09:23:00+05:30,850.45,850.8,849.45,849.8,3318
2025-12-29 09:24:00+05:30,850.3,851.4,849.8,850.35,4883
2025-12-29 09:25:00+05:30,849.95,850.55,849.6,850.2,1934
2025-12-29 09:26:00+05:30,850.1,850.9,850.0,850.45,4076
2025-12-29 09:27:00+05:30,850.05,850.35,850.0,850.0,2902
2025-12-29 09:28:00+05:30,849.9,849.95,849.35,849.95,4126
2025-12-29 09:29:00+05:30,849.65,850.0,849.1,849.95,1365
2025-12-29 09:30:00+05:30,850.0,850.9,850.0,850.35,5873
2025-12-29 09:31:00+05:30,850.25,851.0,850.15,850.9,2595
2025-12-29 09:32:00+05:30,850.9,851.0,850.05,850.6,620
2025-12-29 09:33:00+05:30,850.6,850.7,850.05,850.05,2266
2025-12-29 09:34:00+05:30,850.25,850.55,850.25,850.3,2206
2025-12-29 09:35:00+05:30,850.3,850.8,850.3,850.5,1722
2025-12-29 09:36:00+05:30,850.5,850.5,849.85,849.9,1444
2025-12-29 09:37:00+05:30,849.9,850.25,849.8,849.8,1703
2025-12-29 09:38:00+05:30,849.85,849.85,849.3,849.4,593
2025-12-29 09:39:00+05:30,849.3,849.8,849.15,849.5,1046
2025-12-29 09:40:00+05:30,849.5,849.55,849.15,849.55,913
2025-12-29 09:41:00+05:30,849.55,849.65,848.45,848.45,1515
2025-12-29 09:42:00+05:30,848.4,848.9,848.25,848.8,1185
2025-12-29 09:43:00+05:30,848.8,848.95,848.45,848.6,474
2025-12-29 09:44:00+05:30,848.6,848.6,848.2,848.55,1021
2025-12-29 09:45:00+05:30,848.55,848.85,848.3,848.8,2840
2025-12-29 09:46:00+05:30,848.8,849.15,848.75,848.75,972
