date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,745.0,748.2,744.55,744.55,17862
2025-12-29 09:16:00+05:30,744.15,745.35,744.0,744.45,6993
2025-12-29 09:17:00+05:30,745.0,746.4,745.0,745.7,18842
2025-12-29 09:18:00+05:30,746.0,746.7,745.95,746.7,10223
2025-12-29 09:19:00+05:30,746.95,746.95,745.8,746.2,6866
2025-12-29 09:20:00+05:30,746.0,746.2,745.5,746.1,1824
2025-12-29 09:21:00+05:30,746.15,746.85,746.15,746.85,1809
2025-12-29 09:22:00+05:30,746.6,746.65,746.0,746.5,1778
2025-12-29 09:23:00+05:30,746.5,746.5,746.2,746.35,1994
2025-12-29 09:24:00+05:30,746.5,746.5,744.7,745.0,1955
2025-12-29 09:25:00+05:30,744.9,744.9,744.15,744.45,4041
2025-12-29 09:26:00+05:30,744.5,744.8,744.15,744.45,2136
2025-12-29 09:27:00+05:30,744.55,744.55,743.3,743.35,6491
2025-12-29 09:28:00+05:30,743.35,743.95,743.35,743.95,1781
2025-12-29 09:29:00+05:30,743.95,743.95,743.4,743.8,1170
2025-12-29 09:30:00+05:30,743.8,743.8,743.0,743.55,2379
2025-12-29 09:31:00+05:30,743.55,744.35,743.35,744.35,1014
2025-12-29 09:32:00+05:30,744.2,745.25,744.2,745.0,2557
2025-12-29 09:33:00+05:30,745.35,745.4,744.85,745.35,6932
2025-12-29 09:34:00+05:30,745.35,745.4,744.05,744.55,2678
2025-12-29 09:35:00+05:30,744.4,744.9,744.2,744.85,1706
2025-12-29 09:36:00+05:30,744.85,745.0,744.5,744.85,2809
2025-12-29 09:37:00+05:30,745.0,745.6,744.85,745.3,834
2025-12-29 09:38:00+05:30,745.3,745.6,744.65,745.25,1444
2025-12-29 09:39:00+05:30,745.25,747.2,745.15,746.75,35943
2025-12-29 09:40:00+05:30,746.75,747.2,746.2,746.6,10181
2025-12-29 09:41:00+05:30,746.5,746.6,745.5,746.35,2599
2025-12-29 09:42:00+05:30,746.0,746.7,745.7,746.55,679
2025-12-29 09:43:00+05:30,746.55,747.0,746.1,746.6,749
2025-12-29 09:44:00+05:30,746.55,746.7,746.0,746.2,797
2025-12-29 09:45:00+05:30,745.7,746.65,745.7,746.35,1807
2025-12-29 09:46:00+05:30,746.35,746.55,746.05,746.3,621
2025-12-29 09:47:00+05:30,746.25,746.3,746.0,746.15,798
2025-12-29 09:48:00+05:30,746.2,746.2,745.9,746.15,1478
2025-12-29 09:49:00+05:30,746.15,746.35,745.7,745.75,971
2025-12-29 09:50:00+05:30,745.75,746.15,745.75,746.0,407
2025-12-29 09:51:00+05:30,746.0,746.0,745.8,746.0,592
2025-12-29 09:52:00+05:30,746.0,746.0,745.85,746.0,780
2025-12-29 09:53:00+05:30,746.0,746.05,745.55,746.0,1281
2025-12-29 09:54:00+05:30,746.0,746.0,745.65,745.95,865
2025-12-29 09:55:00+05:30,745.95,745.95,745.6,745.9,402
2025-12-29 09:56:00+05:30,745.9,746.95,745.65,745.65,5955
2025-12-29 09:57:00+05:30,745.65,746.2,745.65,746.2,281
2025-12-29 09:58:00+05:30,746.2,746.2,745.7,746.1,809
2025-12-29 09:59:00+05:30,746.1,746.2,745.75,746.05,565
2025-12-29 10:00:00+05:30,746.05,746.15,745.6,746.0,5160
2025-12-29 10:01:00+05:30,746.0,746.2,745.65,746.0,3771
2025-12-29 10:02:00+05:30,746.0,746.0,745.75,746.0,1435
2025-12-29 10:03:00+05:30,746.0,746.0,745.9,745.9,699
2025-12-29 10:04:00+05:30,745.9,746.0,745.8,745.95,706
2025-12-29 10:05:00+05:30,745.95,746.05,745.8,746.0,2001
2025-12-29 10:06:00+05:30,746.0,746.05,745.95,746.05,2453
2025-12-29 10:07:00+05:30,746.05,746.1,745.95,745.95,1325
2025-12-29 10:08:00+05:30,745.75,746.0,745.65,745.95,1605
2025-12-29 10:09:00+05:30,745.95,746.3,745.6,746.3,1062
2025-12-29 10:10:00+05:30,746.3,746.3,746.0,746.05,591
2025-12-29 10:11:00+05:30,746.05,746.3,746.0,746.0,717
2025-12-29 10:12:00+05:30,746.0,746.3,745.45,745.8,1900
2025-12-29 10:13:00+05:30,745.8,746.2,745.8,746.2,650
2025-12-29 10:14:00+05:30,746.2,746.2,745.85,745.85,423
2025-12-29 10:15:00+05:30,745.85,746.3,745.85,746.2,829
2025-12-29 10:16:00+05:30,746.2,746.3,745.95,746.05,791
2025-12-29 10:17:00+05:30,746.15,746.15,745.45,745.8,4301
2025-12-29 10:18:00+05:30,745.8,745.8,745.5,745.8,355
2025-12-29 10:19:00+05:30,745.8,745.8,745.2,745.8,1167
2025-12-29 10:20:00+05:30,745.8,745.8,745.5,745.8,478
