date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,16689,16698,16688,16695,2335
2025-12-24 12:00:00+05:30,16695,16714,16689,16710,5233
2025-12-24 12:05:00+05:30,16706,16712,16686,16697,3447
2025-12-24 12:10:00+05:30,16697,16701,16689,16696,1942
2025-12-24 12:15:00+05:30,16701,16702,16686,16699,2757
2025-12-24 12:20:00+05:30,16699,16700,16680,16682,8556
2025-12-24 12:25:00+05:30,16681,16706,16680,16704,5946
2025-12-24 12:30:00+05:30,16704,16709,16696,16700,1580
2025-12-24 12:35:00+05:30,16700,16710,16696,16702,2196
2025-12-24 12:40:00+05:30,16702,16707,16693,16702,1603
2025-12-24 12:45:00+05:30,16696,16703,16682,16687,2676
2025-12-24 12:50:00+05:30,16686,16696,16682,16684,1910
2025-12-24 12:55:00+05:30,16693,16697,16683,16690,2300
2025-12-24 13:00:00+05:30,16690,16690,16675,16681,3217
2025-12-24 13:05:00+05:30,16681,16696,16676,16696,1788
2025-12-24 13:10:00+05:30,16696,16706,16690,16694,2889
2025-12-24 13:15:00+05:30,16694,16700,16688,16694,1630
2025-12-24 13:20:00+05:30,16694,16698,16685,16693,1742
2025-12-24 13:25:00+05:30,16693,16698,16686,16693,1692
2025-12-24 13:30:00+05:30,16693,16694,16683,16683,2111
2025-12-24 13:35:00+05:30,16688,16694,16683,16685,1944
2025-12-24 13:40:00+05:30,16685,16695,16680,16695,2687
2025-12-24 13:45:00+05:30,16695,16708,16691,16704,3037
2025-12-24 13:50:00+05:30,16704,16717,16701,16716,3190
2025-12-24 13:55:00+05:30,16716,16717,16701,16709,2841
2025-12-24 14:00:00+05:30,16707,16710,16696,16698,3092
2025-12-24 14:05:00+05:30,16700,16709,16695,16708,6567
2025-12-24 14:10:00+05:30,16709,16710,16697,16707,3638
2025-12-24 14:15:00+05:30,16709,16713,16702,16702,2914
2025-12-24 14:20:00+05:30,16707,16708,16697,16704,3578
2025-12-24 14:25:00+05:30,16703,16706,16690,16702,8834
2025-12-24 14:30:00+05:30,16702,16707,16691,16696,3472
2025-12-24 14:35:00+05:30,16698,16703,16696,16702,5996
2025-12-24 14:40:00+05:30,16702,16703,16691,16695,3709
2025-12-24 14:45:00+05:30,16702,16715,16690,16714,3984
2025-12-24 14:50:00+05:30,16714,16718,16696,16717,5589
2025-12-24 14:55:00+05:30,16716,16720,16710,16720,4625
2025-12-24 15:00:00+05:30,16717,16720,16703,16711,4816
2025-12-24 15:05:00+05:30,16713,16720,16704,16704,6151
2025-12-24 15:10:00+05:30,16706,16706,16696,16700,7033
2025-12-24 15:15:00+05:30,16699,16706,16683,16683,10614
2025-12-24 15:20:00+05:30,16685,16708,16683,16705,6811
2025-12-24 15:25:00+05:30,16707,16710,16690,16710,5989
2025-12-26 09:15:00+05:30,16703,16703,16650,16682,3718
2025-12-26 09:20:00+05:30,16682,16700,16665,16700,1858
2025-12-26 09:25:00+05:30,16700,16700,16666,16670,1737
2025-12-26 09:30:00+05:30,16666,16670,16655,16657,812
2025-12-26 09:35:00+05:30,16657,16657,16636,16636,1491
2025-12-26 09:40:00+05:30,16640,16649,16624,16634,2206
2025-12-26 09:45:00+05:30,16634,16634,16620,16627,816
2025-12-26 09:50:00+05:30,16627,16632,16624,16632,437
2025-12-26 09:55:00+05:30,16632,16643,16632,16637,474
2025-12-26 10:00:00+05:30,16635,16637,16625,16636,869
2025-12-26 10:05:00+05:30,16636,16636,16623,16627,294
2025-12-26 10:10:00+05:30,16627,16632,16614,16626,982
2025-12-26 10:15:00+05:30,16626,16630,16620,16628,582
2025-12-26 10:20:00+05:30,16628,16635,16628,16634,212
2025-12-26 10:25:00+05:30,16634,16640,16630,16640,1486
2025-12-26 10:30:00+05:30,16640,16640,16626,16629,523
2025-12-26 10:35:00+05:30,16629,16632,16621,16625,463
2025-12-26 10:40:00+05:30,16622,16625,16615,16619,733
2025-12-26 10:45:00+05:30,16619,16619,16595,16604,1835
2025-12-26 10:50:00+05:30,16604,16616,16598,16608,711
2025-12-26 10:55:00+05:30,16608,16621,16608,16619,1105
2025-12-26 11:00:00+05:30,16616,16619,16600,16603,1798
2025-12-26 11:05:00+05:30,16603,16605,16586,16594,2825
2025-12-26 11:10:00+05:30,16594,16599,16590,16592,2133
2025-12-26 11:15:00+05:30,16592,16595,16571,16581,900
2025-12-26 11:20:00+05:30,16581,16584,16567,16570,910
2025-12-26 11:25:00+05:30,16570,16571,16516,16555,12114
2025-12-26 11:30:00+05:30,16556,16562,16546,16562,2199
2025-12-26 11:35:00+05:30,16562,16562,16550,16559,639
2025-12-26 11:40:00+05:30,16559,16559,16550,16557,1835
2025-12-26 11:45:00+05:30,16556,16569,16551,16569,814
2025-12-26 11:50:00+05:30,16568,16569,16556,16565,462
2025-12-26 11:55:00+05:30,16565,16566,16558,16565,403
2025-12-26 12:00:00+05:30,16565,16575,16565,16574,432
2025-12-26 12:05:00+05:30,16574,16576,16570,16575,413
2025-12-26 12:10:00+05:30,16576,16580,16572,16578,354
2025-12-26 12:15:00+05:30,16578,16599,16575,16599,1328
2025-12-26 12:20:00+05:30,16599,16599,16584,16587,651
2025-12-26 12:25:00+05:30,16587,16598,16585,16588,2444
2025-12-26 12:30:00+05:30,16588,16589,16576,16583,833
2025-12-26 12:35:00+05:30,16577,16580,16569,16579,576
2025-12-26 12:40:00+05:30,16579,16580,16566,16570,909
2025-12-26 12:45:00+05:30,16570,16570,16562,16566,6051
2025-12-26 12:50:00+05:30,16566,16582,16564,16579,5726
2025-12-26 12:55:00+05:30,16580,16594,16578,16591,713
2025-12-26 13:00:00+05:30,16594,16605,16590,16590,1820
2025-12-26 13:05:00+05:30,16590,16593,16586,16590,946
2025-12-26 13:10:00+05:30,16589,16616,16584,16616,2716
2025-12-26 13:15:00+05:30,16619,16635,16615,16627,1301
2025-12-26 13:20:00+05:30,16624,16629,16609,16609,1165
2025-12-26 13:25:00+05:30,16609,16620,16590,16600,8948
2025-12-26 13:30:00+05:30,16600,16604,16575,16583,6461
2025-12-26 13:35:00+05:30,16583,16590,16580,16590,638
2025-12-26 13:40:00+05:30,16590,16591,16587,16590,2107
2025-12-26 13:45:00+05:30,16590,16592,16586,16590,1199
2025-12-26 13:50:00+05:30,16589,16590,16569,16572,977
2025-12-26 13:55:00+05:30,16572,16581,16572,16578,461
2025-12-26 14:00:00+05:30,16575,16587,16575,16585,269
2025-12-26 14:05:00+05:30,16585,16590,16575,16575,2803
