date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,11140,11149,11026,11065,18095
2025-12-29 09:16:00+05:30,11057,11100,11049,11092,9729
2025-12-29 09:17:00+05:30,11092,11105,11067,11073,10764
2025-12-29 09:18:00+05:30,11073,11099,11069,11087,3950
2025-12-29 09:19:00+05:30,11087,11097,11080,11095,2404
2025-12-29 09:20:00+05:30,11090,11110,11086,11108,4960
2025-12-29 09:21:00+05:30,11105,11123,11104,11123,4106
2025-12-29 09:22:00+05:30,11120,11122,11104,11119,3576
2025-12-29 09:23:00+05:30,11117,11120,11108,11120,3154
2025-12-29 09:24:00+05:30,11118,11124,11114,11120,3747
2025-12-29 09:25:00+05:30,11120,11154,11119,11143,5963
2025-12-29 09:26:00+05:30,11137,11149,11135,11135,3978
2025-12-29 09:27:00+05:30,11141,11149,11129,11148,1874
2025-12-29 09:28:00+05:30,11147,11165,11147,11165,4245
2025-12-29 09:29:00+05:30,11161,11168,11152,11166,3580
2025-12-29 09:30:00+05:30,11167,11167,11154,11162,2282
2025-12-29 09:31:00+05:30,11160,11160,11154,11154,2005
2025-12-29 09:32:00+05:30,11154,11172,11154,11170,3172
2025-12-29 09:33:00+05:30,11174,11177,11165,11177,1899
2025-12-29 09:34:00+05:30,11177,11181,11172,11174,1672
2025-12-29 09:35:00+05:30,11172,11188,11170,11183,2183
2025-12-29 09:36:00+05:30,11183,11197,11183,11196,2658
2025-12-29 09:37:00+05:30,11198,11207,11195,11204,4426
2025-12-29 09:38:00+05:30,11200,11202,11191,11191,2828
2025-12-29 09:39:00+05:30,11186,11190,11180,11185,3856
2025-12-29 09:40:00+05:30,11182,11184,11174,11174,1138
2025-12-29 09:41:00+05:30,11174,11175,11159,11171,3275
2025-12-29 09:42:00+05:30,11170,11183,11170,11178,1462
2025-12-29 09:43:00+05:30,11178,11195,11175,11195,2523
2025-12-29 09:44:00+05:30,11193,11198,11187,11191,1915
2025-12-29 09:45:00+05:30,11192,11200,11190,11194,1784
2025-12-29 09:46:00+05:30,11189,11198,11189,11198,879
2025-12-29 09:47:00+05:30,11197,11197,11175,11176,2494
2025-12-29 09:48:00+05:30,11178,11180,11173,11174,1272
2025-12-29 09:49:00+05:30,11174,11184,11171,11181,745
2025-12-29 09:50:00+05:30,11180,11185,11175,11185,879
2025-12-29 09:51:00+05:30,11188,11188,11178,11179,254
2025-12-29 09:52:00+05:30,11179,11179,11173,11177,725
2025-12-29 09:53:00+05:30,11175,11180,11175,11177,668
2025-12-29 09:54:00+05:30,11177,11177,11164,11165,1284
2025-12-29 09:55:00+05:30,11165,11180,11158,11180,1481
2025-12-29 09:56:00+05:30,11180,11188,11170,11175,964
2025-12-29 09:57:00+05:30,11175,11180,11170,11180,714
2025-12-29 09:58:00+05:30,11179,11180,11175,11176,553
2025-12-29 09:59:00+05:30,11175,11176,11168,11168,2230
2025-12-29 10:00:00+05:30,11168,11168,11163,11165,645
2025-12-29 10:01:00+05:30,11164,11175,11164,11170,785
2025-12-29 10:02:00+05:30,11170,11183,11170,11176,991
2025-12-29 10:03:00+05:30,11176,11187,11176,11182,655
2025-12-29 10:04:00+05:30,11180,11200,11178,11199,2705
2025-12-29 10:05:00+05:30,11198,11212,11195,11201,5060
2025-12-29 10:06:00+05:30,11201,11218,11196,11218,2481
2025-12-29 10:07:00+05:30,11212,11219,11210,11215,1922
2025-12-29 10:08:00+05:30,11214,11215,11201,11207,1186
2025-12-29 10:09:00+05:30,11207,11207,11195,11197,1715
2025-12-29 10:10:00+05:30,11195,11199,11187,11188,776
2025-12-29 10:11:00+05:30,11188,11199,11188,11199,1036
2025-12-29 10:12:00+05:30,11199,11207,11196,11203,2769
2025-12-29 10:13:00+05:30,11203,11203,11194,11195,872
2025-12-29 10:14:00+05:30,11200,11200,11195,11199,1032
2025-12-29 10:15:00+05:30,11199,11200,11196,11199,776
2025-12-29 10:16:00+05:30,11198,11199,11190,11190,972
2025-12-29 10:17:00+05:30,11186,11190,11183,11189,385
2025-12-29 10:18:00+05:30,11189,11189,11177,11184,877
2025-12-29 10:19:00+05:30,11184,11184,11172,11178,672
2025-12-29 10:20:00+05:30,11183,11190,11179,11190,1115
2025-12-29 10:21:00+05:30,11190,11190,11181,11187,479
2025-12-29 10:22:00+05:30,11187,11187,11182,11182,265
2025-12-29 10:23:00+05:30,11184,11184,11175,11177,765
2025-12-29 10:24:00+05:30,11174,11176,11166,11175,1867
2025-12-29 10:25:00+05:30,11175,11176,11172,11176,1278
2025-12-29 10:26:00+05:30,11176,11179,11170,11170,1079
2025-12-29 10:27:00+05:30,11167,11167,11158,11165,2058
2025-12-29 10:28:00+05:30,11165,11171,11160,11170,1132
2025-12-29 10:29:00+05:30,11170,11170,11165,11168,649
2025-12-29 10:30:00+05:30,11166,11168,11161,11161,1718
2025-12-29 10:31:00+05:30,11161,11171,11137,11140,5521
2025-12-29 10:32:00+05:30,11140,11140,11122,11131,2864
2025-12-29 10:33:00+05:30,11131,11144,11128,11140,1634
2025-12-29 10:34:00+05:30,11140,11145,11136,11136,710
2025-12-29 10:35:00+05:30,11136,11141,11131,11137,514
2025-12-29 10:36:00+05:30,11137,11144,11134,11144,341
2025-12-29 10:37:00+05:30,11144,11150,11135,11135,2781
2025-12-29 10:38:00+05:30,11135,11143,11132,11136,423
2025-12-29 10:39:00+05:30,11136,11137,11120,11125,1117
2025-12-29 10:40:00+05:30,11121,11128,11116,11118,1950
2025-12-29 10:41:00+05:30,11115,11118,11110,11116,1140
2025-12-29 10:42:00+05:30,11116,11116,11104,11104,1298
2025-12-29 10:43:00+05:30,11108,11113,11105,11107,667
2025-12-29 10:44:00+05:30,11110,11117,11106,11115,313
2025-12-29 10:45:00+05:30,11125,11125,11106,11111,2772
2025-12-29 10:46:00+05:30,11111,11116,11098,11115,4074
2025-12-29 10:47:00+05:30,11116,11118,11111,11118,361
2025-12-29 10:48:00+05:30,11118,11144,11118,11140,1566
