date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,119.27,119.55,118.7,118.7,79167
2025-12-29 09:16:00+05:30,118.7,119.19,118.7,119.06,38262
2025-12-29 09:17:00+05:30,119.02,119.1,118.81,118.88,20909
2025-12-29 09:18:00+05:30,118.95,119.1,118.95,119.0,32447
2025-12-29 09:19:00+05:30,118.9,118.95,118.86,118.94,15718
2025-12-29 09:20:00+05:30,118.94,118.94,118.77,118.78,7943
2025-12-29 09:21:00+05:30,118.9,118.96,118.9,118.95,25276
2025-12-29 09:22:00+05:30,118.95,119.07,118.95,119.07,7900
2025-12-29 09:23:00+05:30,119.02,119.07,119.0,119.01,8269
2025-12-29 09:24:00+05:30,119.05,119.07,118.8,118.86,17672
2025-12-29 09:25:00+05:30,118.86,119.1,118.85,119.05,14778
2025-12-29 09:26:00+05:30,119.11,119.24,119.03,119.13,22773
2025-12-29 09:27:00+05:30,119.13,119.13,119.05,119.09,3272
2025-12-29 09:28:00+05:30,119.05,119.18,119.05,119.1,15203
2025-12-29 09:29:00+05:30,119.15,119.18,119.09,119.17,4108
2025-12-29 09:30:00+05:30,119.25,119.32,119.21,119.3,12969
2025-12-29 09:31:00+05:30,119.4,119.51,119.33,119.51,15295
2025-12-29 09:32:00+05:30,119.53,119.65,119.39,119.44,18295
2025-12-29 09:33:00+05:30,119.5,119.56,119.49,119.54,4435
2025-12-29 09:34:00+05:30,119.54,119.54,119.35,119.41,9767
2025-12-29 09:35:00+05:30,119.32,119.46,119.32,119.38,14198
2025-12-29 09:36:00+05:30,119.38,119.55,119.38,119.55,29527
2025-12-29 09:37:00+05:30,119.55,119.84,119.54,119.83,40005
2025-12-29 09:38:00+05:30,119.83,119.85,119.61,119.67,34047
2025-12-29 09:39:00+05:30,119.61,119.68,119.54,119.62,8615
2025-12-29 09:40:00+05:30,119.64,119.73,119.54,119.65,27472
2025-12-29 09:41:00+05:30,119.7,119.72,119.6,119.69,6200
2025-12-29 09:42:00+05:30,119.72,119.82,119.7,119.82,22500
2025-12-29 09:43:00+05:30,119.85,119.94,119.81,119.88,21760
2025-12-29 09:44:00+05:30,119.89,119.89,119.72,119.72,21240
2025-12-29 09:45:00+05:30,119.75,120.0,119.71,119.93,51479
2025-12-29 09:46:00+05:30,119.9,119.94,119.8,119.83,41582
2025-12-29 09:47:00+05:30,119.83,119.88,119.77,119.88,3060
2025-12-29 09:48:00+05:30,119.91,119.91,119.74,119.83,60847
2025-12-29 09:49:00+05:30,119.85,120.0,119.85,119.96,39148
2025-12-29 09:50:00+05:30,120.0,120.0,119.92,119.97,6549
2025-12-29 09:51:00+05:30,119.97,120.0,119.96,119.96,11551
2025-12-29 09:52:00+05:30,119.98,120.03,119.96,119.98,39978
2025-12-29 09:53:00+05:30,119.98,120.0,119.8,119.89,51986
2025-12-29 09:54:00+05:30,119.87,119.88,119.81,119.87,13326
2025-12-29 09:55:00+05:30,119.87,119.87,119.85,119.85,3705
2025-12-29 09:56:00+05:30,119.85,119.86,119.85,119.86,2331
2025-12-29 09:57:00+05:30,119.81,119.81,119.75,119.79,48046
2025-12-29 09:58:00+05:30,119.8,119.81,119.73,119.73,13129
