date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,296.2,296.25,296.15,296.2,67158
2025-12-24 12:00:00+05:30,296.2,297.45,296.1,297.45,216547
2025-12-24 12:05:00+05:30,297.35,298.6,296.85,298.4,632409
2025-12-24 12:10:00+05:30,298.4,298.5,297.4,297.5,151085
2025-12-24 12:15:00+05:30,297.55,297.65,296.85,297.35,259162
2025-12-24 12:20:00+05:30,297.35,297.85,297.25,297.8,50951
2025-12-24 12:25:00+05:30,297.65,297.8,297.35,297.75,45558
2025-12-24 12:30:00+05:30,297.75,297.75,296.7,297.3,269609
2025-12-24 12:35:00+05:30,297.3,297.75,297.2,297.45,38371
2025-12-24 12:40:00+05:30,297.3,298.0,297.2,297.3,208226
2025-12-24 12:45:00+05:30,297.25,297.5,296.75,296.75,74710
2025-12-24 12:50:00+05:30,296.75,296.85,296.6,296.7,61836
2025-12-24 12:55:00+05:30,296.7,297.0,296.6,296.8,32544
2025-12-24 13:00:00+05:30,296.8,296.85,296.3,296.5,51216
2025-12-24 13:05:00+05:30,296.55,296.6,295.85,296.0,187435
2025-12-24 13:10:00+05:30,296.0,296.3,295.9,295.95,114866
2025-12-24 13:15:00+05:30,295.9,295.9,295.3,295.4,129015
2025-12-24 13:20:00+05:30,295.4,295.5,294.85,295.0,181567
2025-12-24 13:25:00+05:30,295.0,295.4,294.9,294.95,117469
2025-12-24 13:30:00+05:30,294.9,295.0,294.45,294.6,231102
2025-12-24 13:35:00+05:30,294.6,295.05,294.5,294.9,110702
2025-12-24 13:40:00+05:30,294.9,295.15,294.9,295.05,37238
2025-12-24 13:45:00+05:30,295.1,295.2,294.9,295.15,58010
2025-12-24 13:50:00+05:30,295.0,295.65,295.0,295.65,60964
2025-12-24 13:55:00+05:30,295.65,295.75,294.6,295.2,83157
2025-12-24 14:00:00+05:30,295.2,295.2,294.6,294.8,29233
2025-12-24 14:05:00+05:30,294.8,295.45,294.7,295.25,75067
2025-12-24 14:10:00+05:30,295.25,295.55,295.25,295.4,35810
2025-12-24 14:15:00+05:30,295.4,295.85,295.25,295.7,49959
2025-12-24 14:20:00+05:30,295.75,295.75,295.3,295.4,37767
2025-12-24 14:25:00+05:30,295.4,295.5,294.75,294.95,68511
2025-12-24 14:30:00+05:30,294.95,295.2,294.8,295.0,48874
2025-12-24 14:35:00+05:30,295.0,295.05,294.6,294.85,58164
2025-12-24 14:40:00+05:30,294.75,295.0,294.5,294.55,73836
2025-12-24 14:45:00+05:30,294.6,295.2,294.55,294.85,76576
2025-12-24 14:50:00+05:30,294.85,294.95,294.5,294.7,44581
2025-12-24 14:55:00+05:30,294.7,295.95,294.7,295.9,90702
2025-12-24 15:00:00+05:30,296.2,296.5,295.25,295.45,169225
2025-12-24 15:05:00+05:30,295.4,295.4,294.8,295.3,366699
2025-12-24 15:10:00+05:30,295.3,295.45,294.9,295.25,167051
2025-12-24 15:15:00+05:30,295.25,295.5,295.0,295.3,220485
2025-12-24 15:20:00+05:30,295.45,295.55,295.2,295.3,294242
2025-12-24 15:25:00+05:30,295.25,295.8,295.2,295.5,271634
