date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,158.22,159.4,158.11,158.43,56214
2025-12-29 09:16:00+05:30,158.24,158.24,157.55,158.0,50636
2025-12-29 09:17:00+05:30,158.0,158.09,157.72,158.09,68873
2025-12-29 09:18:00+05:30,158.22,158.26,158.02,158.15,22195
2025-12-29 09:19:00+05:30,158.01,158.1,157.5,157.64,47258
2025-12-29 09:20:00+05:30,157.64,157.64,157.11,157.39,33176
2025-12-29 09:21:00+05:30,157.39,157.39,157.2,157.34,11643
2025-12-29 09:22:00+05:30,157.34,157.34,157.07,157.27,24125
2025-12-29 09:23:00+05:30,157.34,157.83,157.34,157.8,16384
2025-12-29 09:24:00+05:30,157.74,157.82,157.61,157.82,5257
2025-12-29 09:25:00+05:30,157.73,157.84,157.62,157.74,8440
2025-12-29 09:26:00+05:30,157.74,158.0,157.73,157.9,22633
2025-12-29 09:27:00+05:30,157.8,157.94,157.8,157.85,3601
2025-12-29 09:28:00+05:30,157.94,158.04,157.78,157.78,31218
2025-12-29 09:29:00+05:30,157.78,158.01,157.75,157.88,35884
2025-12-29 09:30:00+05:30,157.88,158.37,157.88,158.28,17385
2025-12-29 09:31:00+05:30,158.28,158.74,158.28,158.74,44996
2025-12-29 09:32:00+05:30,158.74,158.85,158.56,158.8,39739
2025-12-29 09:33:00+05:30,158.84,158.86,158.58,158.79,17830
2025-12-29 09:34:00+05:30,158.79,159.39,158.66,159.37,93421
2025-12-29 09:35:00+05:30,159.29,159.67,159.25,159.58,27261
2025-12-29 09:36:00+05:30,159.58,160.37,159.58,160.1,92454
2025-12-29 09:37:00+05:30,160.02,160.25,159.87,160.15,46542
2025-12-29 09:38:00+05:30,160.01,160.14,159.8,159.83,48459
2025-12-29 09:39:00+05:30,159.81,159.99,159.81,159.88,17047
2025-12-29 09:40:00+05:30,159.88,159.98,159.72,159.79,11418
2025-12-29 09:41:00+05:30,159.79,159.8,159.48,159.56,13233
2025-12-29 09:42:00+05:30,159.56,159.8,159.56,159.75,11875
2025-12-29 09:43:00+05:30,159.75,159.75,159.5,159.61,5543
2025-12-29 09:44:00+05:30,159.61,159.76,159.57,159.6,5114
2025-12-29 09:45:00+05:30,159.72,159.72,159.56,159.7,7349
2025-12-29 09:46:00+05:30,159.65,160.09,159.65,159.86,30754
2025-12-29 09:47:00+05:30,159.86,160.1,159.86,160.08,23749
2025-12-29 09:48:00+05:30,160.1,160.19,160.1,160.19,10241
2025-12-29 09:49:00+05:30,160.2,160.29,160.2,160.25,8856
2025-12-29 09:50:00+05:30,160.29,160.49,160.25,160.49,13978
2025-12-29 09:51:00+05:30,160.43,160.7,160.43,160.7,13103
2025-12-29 09:52:00+05:30,160.61,160.79,160.5,160.65,47015
2025-12-29 09:53:00+05:30,160.64,160.78,160.54,160.54,19700
2025-12-29 09:54:00+05:30,160.41,160.75,160.41,160.43,24115
2025-12-29 09:55:00+05:30,160.57,160.6,160.42,160.55,5464
2025-12-29 09:56:00+05:30,160.55,160.55,160.37,160.49,9881
2025-12-29 09:57:00+05:30,160.45,160.49,160.35,160.49,9189
2025-12-29 09:58:00+05:30,160.49,160.5,160.21,160.46,48608
2025-12-29 09:59:00+05:30,160.88,160.88,160.61,160.71,24634
2025-12-29 10:00:00+05:30,160.74,160.74,160.56,160.74,17836
2025-12-29 10:01:00+05:30,160.75,161.25,160.75,161.25,35965
2025-12-29 10:02:00+05:30,161.24,161.3,161.11,161.2,32079
2025-12-29 10:03:00+05:30,161.2,161.25,161.09,161.25,17303
2025-12-29 10:04:00+05:30,161.25,161.35,161.22,161.25,16761
2025-12-29 10:05:00+05:30,161.28,161.31,161.18,161.29,15883
2025-12-29 10:06:00+05:30,161.3,161.3,160.63,160.69,28488
2025-12-29 10:07:00+05:30,160.69,161.85,160.69,161.8,112887
2025-12-29 10:08:00+05:30,161.9,162.0,161.82,161.95,29885
2025-12-29 10:09:00+05:30,161.95,162.0,161.85,161.91,33042
2025-12-29 10:10:00+05:30,162.0,162.0,161.92,162.0,24579
2025-12-29 10:11:00+05:30,162.22,163.1,162.08,163.1,194265
2025-12-29 10:12:00+05:30,163.1,163.1,162.8,162.8,91513
2025-12-29 10:13:00+05:30,162.8,162.95,162.14,162.37,100439
2025-12-29 10:14:00+05:30,162.37,162.43,162.15,162.4,32893
2025-12-29 10:15:00+05:30,162.41,162.41,162.15,162.15,51471
2025-12-29 10:16:00+05:30,162.24,162.24,161.75,161.76,38410
2025-12-29 10:17:00+05:30,161.87,161.87,161.05,161.12,54651
2025-12-29 10:18:00+05:30,161.12,161.22,161.0,161.05,61317
2025-12-29 10:19:00+05:30,161.05,161.19,160.89,161.15,28850
2025-12-29 10:20:00+05:30,161.16,161.28,161.15,161.28,11259
2025-12-29 10:21:00+05:30,161.27,161.28,161.06,161.2,36596
2025-12-29 10:22:00+05:30,161.01,161.11,160.7,160.98,56351
2025-12-29 10:23:00+05:30,160.87,161.2,160.87,161.08,17282
2025-12-29 10:24:00+05:30,161.08,161.24,161.08,161.08,17703
2025-12-29 10:25:00+05:30,161.08,161.08,160.72,160.75,9409
2025-12-29 10:26:00+05:30,160.85,160.85,160.75,160.81,6005
2025-12-29 10:27:00+05:30,160.81,161.69,160.8,161.64,55380
2025-12-29 10:28:00+05:30,161.64,161.64,161.49,161.51,12232
2025-12-29 10:29:00+05:30,161.54,161.58,161.4,161.52,18866
2025-12-29 10:30:00+05:30,161.55,161.63,161.26,161.26,15101
2025-12-29 10:31:00+05:30,161.26,161.35,161.2,161.3,2534
2025-12-29 10:32:00+05:30,161.3,161.38,161.25,161.25,2813
2025-12-29 10:33:00+05:30,161.26,161.36,161.11,161.36,7326
2025-12-29 10:34:00+05:30,161.36,161.38,161.25,161.32,6369
2025-12-29 10:35:00+05:30,161.38,161.38,161.3,161.3,555
2025-12-29 10:36:00+05:30,161.36,161.37,161.3,161.37,1483
2025-12-29 10:37:00+05:30,161.37,161.49,161.31,161.41,8232
2025-12-29 10:38:00+05:30,161.41,161.45,161.37,161.4,7641
2025-12-29 10:39:00+05:30,161.4,161.5,161.32,161.36,6586
2025-12-29 10:40:00+05:30,161.36,161.46,161.3,161.3,11920
2025-12-29 10:41:00+05:30,161.3,161.44,161.25,161.42,3547
2025-12-29 10:42:00+05:30,161.42,161.8,161.3,161.8,75641
2025-12-29 10:43:00+05:30,161.8,161.8,161.66,161.74,18033
2025-12-29 10:44:00+05:30,161.66,161.85,161.62,161.85,14543
2025-12-29 10:45:00+05:30,161.85,162.09,161.41,161.51,102795
2025-12-29 10:46:00+05:30,161.33,161.54,161.21,161.27,15122
2025-12-29 10:47:00+05:30,161.27,161.35,161.21,161.31,8064
2025-12-29 10:48:00+05:30,161.31,161.31,161.2,161.2,5982
2025-12-29 10:49:00+05:30,161.2,161.45,161.2,161.35,11154
2025-12-29 10:50:00+05:30,161.35,161.45,161.35,161.4,42645
2025-12-29 10:51:00+05:30,161.4,161.45,161.38,161.42,20047
2025-12-29 10:52:00+05:30,161.45,161.7,161.42,161.45,17261
2025-12-29 10:53:00+05:30,161.57,161.58,161.46,161.57,1115
2025-12-29 10:54:00+05:30,161.58,161.65,160.7,160.73,52083
2025-12-29 10:55:00+05:30,160.7,160.7,159.73,160.13,136509
2025-12-29 10:56:00+05:30,160.24,160.44,160.12,160.43,26289
2025-12-29 10:57:00+05:30,160.43,160.61,160.43,160.49,14608
2025-12-29 10:58:00+05:30,160.49,160.6,160.46,160.58,1404
2025-12-29 10:59:00+05:30,160.58,160.68,160.49,160.56,7638
2025-12-29 11:00:00+05:30,160.57,160.57,160.22,160.22,13182
2025-12-29 11:01:00+05:30,160.22,160.32,160.2,160.3,3383
2025-12-29 11:02:00+05:30,160.3,160.47,160.3,160.4,44498
2025-12-29 11:03:00+05:30,160.47,160.5,160.47,160.47,2802
