date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,83.5,84.15,82.85,83.06,1386875
2025-12-29 09:16:00+05:30,83.05,83.2,82.91,83.15,601048
2025-12-29 09:17:00+05:30,83.13,83.14,82.78,83.0,477635
2025-12-29 09:18:00+05:30,83.0,83.24,82.94,83.18,409637
2025-12-29 09:19:00+05:30,83.15,83.33,83.12,83.26,563893
2025-12-29 09:20:00+05:30,83.26,83.29,83.15,83.24,336891
2025-12-29 09:21:00+05:30,83.24,83.34,83.18,83.29,217681
2025-12-29 09:22:00+05:30,83.29,83.6,83.29,83.52,780166
2025-12-29 09:23:00+05:30,83.55,83.55,83.36,83.41,219458
2025-12-29 09:24:00+05:30,83.41,83.48,83.37,83.48,116670
2025-12-29 09:25:00+05:30,83.48,83.48,83.22,83.24,154366
2025-12-29 09:26:00+05:30,83.24,83.28,83.11,83.11,135708
2025-12-29 09:27:00+05:30,83.11,83.15,82.95,82.95,258316
2025-12-29 09:28:00+05:30,82.91,83.11,82.9,83.07,173038
2025-12-29 09:29:00+05:30,83.03,83.16,83.03,83.1,208035
2025-12-29 09:30:00+05:30,83.09,83.19,83.07,83.16,367422
2025-12-29 09:31:00+05:30,83.09,83.09,83.03,83.07,127104
2025-12-29 09:32:00+05:30,83.07,83.1,82.98,83.04,305206
2025-12-29 09:33:00+05:30,83.04,83.16,83.04,83.12,91836
2025-12-29 09:34:00+05:30,83.09,83.13,83.0,83.06,126817
2025-12-29 09:35:00+05:30,83.04,83.09,83.01,83.06,63763
2025-12-29 09:36:00+05:30,83.07,83.2,83.04,83.2,79943
2025-12-29 09:37:00+05:30,83.21,83.39,83.21,83.28,189628
2025-12-29 09:38:00+05:30,83.28,83.34,83.22,83.34,59007
2025-12-29 09:39:00+05:30,83.34,83.38,83.28,83.36,261372
2025-12-29 09:40:00+05:30,83.36,83.6,83.34,83.57,317330
2025-12-29 09:41:00+05:30,83.57,83.58,83.47,83.5,422907
2025-12-29 09:42:00+05:30,83.5,83.54,83.45,83.47,393121
2025-12-29 09:43:00+05:30,83.4,83.44,83.33,83.38,463157
2025-12-29 09:44:00+05:30,83.38,83.45,83.34,83.34,279599
2025-12-29 09:45:00+05:30,83.34,83.45,83.34,83.42,341740
2025-12-29 09:46:00+05:30,83.42,83.44,83.18,83.24,207317
2025-12-29 09:47:00+05:30,83.24,83.25,83.12,83.16,102191
2025-12-29 09:48:00+05:30,83.16,83.2,83.13,83.17,46927
2025-12-29 09:49:00+05:30,83.19,83.2,82.93,83.04,437272
2025-12-29 09:50:00+05:30,83.08,83.08,82.99,83.05,80903
2025-12-29 09:51:00+05:30,83.05,83.05,82.98,83.0,100021
2025-12-29 09:52:00+05:30,83.0,83.0,82.9,82.94,129778
2025-12-29 09:53:00+05:30,82.91,82.98,82.91,82.91,100025
2025-12-29 09:54:00+05:30,82.91,82.91,82.82,82.86,131525
2025-12-29 09:55:00+05:30,82.85,82.85,82.67,82.67,272350
2025-12-29 09:56:00+05:30,82.78,82.78,82.7,82.72,112642
2025-12-29 09:57:00+05:30,82.74,82.81,82.74,82.77,104414
2025-12-29 09:58:00+05:30,82.75,82.8,82.75,82.78,56120
2025-12-29 09:59:00+05:30,82.77,82.77,82.7,82.7,38135
2025-12-29 10:00:00+05:30,82.72,82.73,82.63,82.68,75315
2025-12-29 10:01:00+05:30,82.67,82.68,82.56,82.63,333243
2025-12-29 10:02:00+05:30,82.6,82.81,82.58,82.73,934559
2025-12-29 10:03:00+05:30,82.73,82.8,82.69,82.73,50470
2025-12-29 10:04:00+05:30,82.73,82.74,82.52,82.52,299205
2025-12-29 10:05:00+05:30,82.52,82.64,82.48,82.52,664099
2025-12-29 10:06:00+05:30,82.52,82.6,82.51,82.55,100824
