date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,403.0,404.3,401.9,401.95,12111
2025-12-29 09:16:00+05:30,401.9,402.95,401.1,402.6,7217
2025-12-29 09:17:00+05:30,402.35,402.4,401.8,402.25,4203
2025-12-29 09:18:00+05:30,402.3,402.45,402.15,402.45,2947
2025-12-29 09:19:00+05:30,402.45,403.1,402.45,402.75,3242
2025-12-29 09:20:00+05:30,403.0,403.3,402.95,403.1,5274
2025-12-29 09:21:00+05:30,402.7,403.2,402.7,403.2,815
2025-12-29 09:22:00+05:30,403.25,403.7,403.25,403.45,3969
2025-12-29 09:23:00+05:30,403.45,404.45,403.45,404.0,3003
2025-12-29 09:24:00+05:30,404.0,404.1,403.75,403.85,4492
2025-12-29 09:25:00+05:30,403.85,404.05,403.4,403.4,3893
2025-12-29 09:26:00+05:30,403.5,403.8,403.2,403.8,5582
2025-12-29 09:27:00+05:30,403.1,403.55,403.1,403.55,1933
2025-12-29 09:28:00+05:30,403.55,403.55,403.1,403.1,295
2025-12-29 09:29:00+05:30,403.15,403.15,403.0,403.05,730
2025-12-29 09:30:00+05:30,403.0,403.35,402.75,403.2,1959
2025-12-29 09:31:00+05:30,403.25,403.25,402.9,403.05,718
2025-12-29 09:32:00+05:30,403.05,403.3,403.0,403.1,1822
2025-12-29 09:33:00+05:30,403.2,403.55,403.1,403.55,1169
2025-12-29 09:34:00+05:30,403.55,403.55,402.8,403.25,2725
2025-12-29 09:35:00+05:30,403.25,403.75,403.25,403.75,720
2025-12-29 09:36:00+05:30,403.75,404.4,403.75,404.4,4510
2025-12-29 09:37:00+05:30,404.2,404.35,404.05,404.35,262
2025-12-29 09:38:00+05:30,404.35,404.35,404.0,404.05,191
2025-12-29 09:39:00+05:30,404.05,404.2,403.9,403.9,1892
2025-12-29 09:40:00+05:30,404.0,404.0,403.8,403.8,929
2025-12-29 09:41:00+05:30,403.8,403.95,403.5,403.5,3472
2025-12-29 09:42:00+05:30,403.5,404.05,403.5,403.95,2512
2025-12-29 09:43:00+05:30,403.95,403.95,403.7,403.9,263
2025-12-29 09:44:00+05:30,403.9,403.9,403.7,403.85,121
2025-12-29 09:45:00+05:30,403.85,403.85,403.5,403.85,3299
2025-12-29 09:46:00+05:30,404.1,404.9,404.1,404.8,10242
2025-12-29 09:47:00+05:30,404.8,404.9,404.6,404.8,393
2025-12-29 09:48:00+05:30,404.8,404.9,404.55,404.6,2226
2025-12-29 09:49:00+05:30,404.6,404.7,404.45,404.55,945
2025-12-29 09:50:00+05:30,404.55,404.65,404.55,404.65,2184
2025-12-29 09:51:00+05:30,404.65,404.8,404.4,404.45,2857
2025-12-29 09:52:00+05:30,404.45,404.5,404.35,404.5,359
2025-12-29 09:53:00+05:30,404.5,404.5,404.1,404.35,785
2025-12-29 09:54:00+05:30,404.35,404.35,404.05,404.25,1186
2025-12-29 09:55:00+05:30,404.05,404.35,404.05,404.3,585
2025-12-29 09:56:00+05:30,404.3,404.3,403.8,404.0,738
2025-12-29 09:57:00+05:30,403.7,403.85,403.7,403.8,63
2025-12-29 09:58:00+05:30,403.8,403.8,403.5,403.5,304
2025-12-29 09:59:00+05:30,403.5,403.6,403.35,403.55,198
2025-12-29 10:00:00+05:30,403.45,403.55,403.25,403.4,588
2025-12-29 10:01:00+05:30,403.4,403.75,403.4,403.75,2257
2025-12-29 10:02:00+05:30,403.75,403.85,403.65,403.85,1525
2025-12-29 10:03:00+05:30,403.9,404.25,403.85,404.0,2128
2025-12-29 10:04:00+05:30,404.2,404.2,404.0,404.0,1102
2025-12-29 10:05:00+05:30,404.1,404.2,404.0,404.0,215
2025-12-29 10:06:00+05:30,404.0,404.1,403.9,403.9,899
2025-12-29 10:07:00+05:30,403.9,403.95,403.65,403.65,195
2025-12-29 10:08:00+05:30,403.85,403.85,403.55,403.55,110
2025-12-29 10:09:00+05:30,403.55,403.65,403.35,403.65,852
2025-12-29 10:10:00+05:30,403.65,406.65,403.65,406.6,48800
2025-12-29 10:11:00+05:30,406.6,406.6,406.0,406.2,2342
2025-12-29 10:12:00+05:30,406.2,406.2,406.0,406.2,931
2025-12-29 10:13:00+05:30,406.2,406.2,405.9,405.95,180
2025-12-29 10:14:00+05:30,405.95,406.2,405.8,406.2,1726
2025-12-29 10:15:00+05:30,406.1,406.2,406.05,406.2,2341
2025-12-29 10:16:00+05:30,406.15,406.15,405.9,405.95,309
2025-12-29 10:17:00+05:30,406.05,406.05,405.75,406.0,1845
2025-12-29 10:18:00+05:30,406.0,406.1,405.8,406.1,38
2025-12-29 10:19:00+05:30,406.1,406.1,405.85,406.0,1530
2025-12-29 10:20:00+05:30,406.0,406.15,405.9,406.15,579
2025-12-29 10:21:00+05:30,406.15,406.25,406.1,406.2,2391
2025-12-29 10:22:00+05:30,406.2,406.25,406.1,406.25,219
2025-12-29 10:23:00+05:30,406.2,406.2,406.05,406.05,876
2025-12-29 10:24:00+05:30,406.05,406.75,405.9,406.6,5534
2025-12-29 10:25:00+05:30,406.6,406.6,406.4,406.4,891
2025-12-29 10:26:00+05:30,406.4,406.6,406.4,406.6,1136
2025-12-29 10:27:00+05:30,406.6,406.6,406.05,406.05,1051
2025-12-29 10:28:00+05:30,406.05,406.4,406.05,406.05,226
2025-12-29 10:29:00+05:30,406.05,406.3,406.05,406.1,147
2025-12-29 10:30:00+05:30,406.3,406.65,406.2,406.5,8384
2025-12-29 10:31:00+05:30,406.5,407.35,406.3,407.2,4275
2025-12-29 10:32:00+05:30,407.2,407.35,406.8,407.35,4579
2025-12-29 10:33:00+05:30,407.35,407.7,407.35,407.6,1489
2025-12-29 10:34:00+05:30,407.6,407.95,407.6,407.75,3094
2025-12-29 10:35:00+05:30,407.65,407.65,407.5,407.5,1107
2025-12-29 10:36:00+05:30,407.5,407.6,407.5,407.5,3224
2025-12-29 10:37:00+05:30,407.35,407.6,407.35,407.6,45
2025-12-29 10:38:00+05:30,407.6,407.6,407.25,407.25,1771
2025-12-29 10:39:00+05:30,407.45,407.65,407.25,407.45,2809
2025-12-29 10:40:00+05:30,407.6,407.6,406.7,407.0,6046
2025-12-29 10:41:00+05:30,407.0,407.0,406.7,406.7,11400
2025-12-29 10:42:00+05:30,406.7,406.95,406.6,406.6,149
2025-12-29 10:43:00+05:30,406.7,408.1,406.7,407.5,20910
2025-12-29 10:44:00+05:30,407.5,407.6,407.15,407.5,10513
2025-12-29 10:45:00+05:30,407.25,407.25,406.9,407.05,1486
2025-12-29 10:46:00+05:30,407.05,407.05,406.9,406.9,310
2025-12-29 10:47:00+05:30,406.9,407.3,406.9,407.15,2451
2025-12-29 10:48:00+05:30,407.15,407.15,406.9,406.9,843
2025-12-29 10:49:00+05:30,406.9,407.25,406.7,407.1,6664
2025-12-29 10:50:00+05:30,407.1,407.25,407.0,407.15,1397
2025-12-29 10:51:00+05:30,407.15,407.45,407.15,407.45,746
2025-12-29 10:52:00+05:30,407.45,407.55,407.3,407.5,312
2025-12-29 10:53:00+05:30,407.5,407.5,407.05,407.25,5367
2025-12-29 10:54:00+05:30,407.25,407.3,407.25,407.3,295
2025-12-29 10:55:00+05:30,407.3,407.5,407.2,407.5,1806
2025-12-29 10:56:00+05:30,407.5,407.75,407.35,407.75,1223
2025-12-29 10:57:00+05:30,407.8,407.8,407.45,407.75,1120
2025-12-29 10:58:00+05:30,407.65,407.7,407.4,407.5,408
2025-12-29 10:59:00+05:30,407.5,407.5,407.3,407.3,143
2025-12-29 11:00:00+05:30,407.5,407.5,407.35,407.35,36
2025-12-29 11:01:00+05:30,407.5,407.55,407.45,407.55,2653
2025-12-29 11:02:00+05:30,407.5,407.55,407.2,407.4,3546
2025-12-29 11:03:00+05:30,407.4,407.4,407.1,407.35,289
