date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,234.53,234.99,234.1,234.57,36151
2025-12-29 09:16:00+05:30,234.22,234.9,234.1,234.65,27011
2025-12-29 09:17:00+05:30,234.65,234.7,234.29,234.47,21253
2025-12-29 09:18:00+05:30,234.47,234.58,234.1,234.23,37347
2025-12-29 09:19:00+05:30,234.1,234.29,234.0,234.17,16511
2025-12-29 09:20:00+05:30,234.04,234.25,234.04,234.2,8611
2025-12-29 09:21:00+05:30,234.21,234.35,234.13,234.26,17552
2025-12-29 09:22:00+05:30,234.17,234.46,234.17,234.46,7352
2025-12-29 09:23:00+05:30,234.52,234.78,234.41,234.7,35855
2025-12-29 09:24:00+05:30,234.63,234.89,234.61,234.89,10043
2025-12-29 09:25:00+05:30,234.77,234.9,234.43,234.52,27804
2025-12-29 09:26:00+05:30,234.52,234.59,234.43,234.47,6985
2025-12-29 09:27:00+05:30,234.46,234.68,234.42,234.48,20804
2025-12-29 09:28:00+05:30,234.4,234.51,234.29,234.38,9480
2025-12-29 09:29:00+05:30,234.47,234.47,234.22,234.25,2724
2025-12-29 09:30:00+05:30,234.29,234.45,234.2,234.24,3722
2025-12-29 09:31:00+05:30,234.41,234.41,234.2,234.2,19732
2025-12-29 09:32:00+05:30,234.27,234.34,234.2,234.33,5413
2025-12-29 09:33:00+05:30,234.3,234.35,234.22,234.35,5392
2025-12-29 09:34:00+05:30,234.37,234.37,234.22,234.36,6198
2025-12-29 09:35:00+05:30,234.37,234.41,234.3,234.4,8203
2025-12-29 09:36:00+05:30,234.41,234.63,234.33,234.63,7259
2025-12-29 09:37:00+05:30,234.63,234.66,234.5,234.64,3570
2025-12-29 09:38:00+05:30,234.64,234.64,234.5,234.52,3267
2025-12-29 09:39:00+05:30,234.53,234.64,234.45,234.63,4167
2025-12-29 09:40:00+05:30,234.59,234.64,234.59,234.63,7425
2025-12-29 09:41:00+05:30,234.63,234.64,234.51,234.59,7134
2025-12-29 09:42:00+05:30,234.59,234.77,234.5,234.75,5206
2025-12-29 09:43:00+05:30,234.72,234.75,234.55,234.55,4298
2025-12-29 09:44:00+05:30,234.6,234.63,234.51,234.61,5166
2025-12-29 09:45:00+05:30,234.59,234.68,234.51,234.61,5115
2025-12-29 09:46:00+05:30,234.6,235.17,234.53,235.05,35320
2025-12-29 09:47:00+05:30,235.07,235.1,235.05,235.1,6354
2025-12-29 09:48:00+05:30,235.15,235.15,235.05,235.1,8624
2025-12-29 09:49:00+05:30,235.09,235.1,234.88,235.08,13735
2025-12-29 09:50:00+05:30,235.07,235.08,234.88,234.98,5839
2025-12-29 09:51:00+05:30,234.98,235.0,234.88,234.9,2451
2025-12-29 09:52:00+05:30,234.97,234.98,234.88,234.88,7230
2025-12-29 09:53:00+05:30,234.87,234.98,234.81,234.93,2508
2025-12-29 09:54:00+05:30,234.93,234.93,234.82,234.83,1985
2025-12-29 09:55:00+05:30,234.83,234.83,234.72,234.75,5286
2025-12-29 09:56:00+05:30,234.81,234.9,234.76,234.85,18346
2025-12-29 09:57:00+05:30,234.85,234.9,234.77,234.88,5614
2025-12-29 09:58:00+05:30,234.88,234.88,234.52,234.56,6188
2025-12-29 09:59:00+05:30,234.62,234.67,234.61,234.63,3797
2025-12-29 10:00:00+05:30,234.63,234.74,234.55,234.63,4024
2025-12-29 10:01:00+05:30,234.63,234.77,234.6,234.75,7011
2025-12-29 10:02:00+05:30,234.66,234.75,234.61,234.72,3731
2025-12-29 10:03:00+05:30,234.73,234.73,234.58,234.64,12154
2025-12-29 10:04:00+05:30,234.64,234.65,234.51,234.53,4886
2025-12-29 10:05:00+05:30,234.53,234.56,234.45,234.46,16386
2025-12-29 10:06:00+05:30,234.46,234.49,234.41,234.48,14509
2025-12-29 10:07:00+05:30,234.58,234.64,234.51,234.61,12468
2025-12-29 10:08:00+05:30,234.63,234.66,234.53,234.55,4835
2025-12-29 10:09:00+05:30,234.55,234.74,234.52,234.74,9235
2025-12-29 10:10:00+05:30,234.73,234.79,234.66,234.79,18816
2025-12-29 10:11:00+05:30,234.75,234.88,234.75,234.88,5296
2025-12-29 10:12:00+05:30,234.88,234.98,234.88,234.9,6397
2025-12-29 10:13:00+05:30,234.95,235.08,234.9,235.08,38419
2025-12-29 10:14:00+05:30,235.08,235.26,235.05,235.26,36872
2025-12-29 10:15:00+05:30,235.26,235.33,235.21,235.3,18725
2025-12-29 10:16:00+05:30,235.3,235.38,235.25,235.25,23583
2025-12-29 10:17:00+05:30,235.28,235.76,235.16,235.26,79434
2025-12-29 10:18:00+05:30,235.13,235.4,234.99,235.36,23866
2025-12-29 10:19:00+05:30,235.36,235.41,235.22,235.27,11355
