date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,36625,36625,36610,36620,21
2025-12-24 12:00:00+05:30,36620,36720,36620,36715,312
2025-12-24 12:05:00+05:30,36715,36715,36700,36715,64
2025-12-24 12:10:00+05:30,36715,36725,36700,36710,72
2025-12-24 12:15:00+05:30,36710,36745,36705,36710,60
2025-12-24 12:20:00+05:30,36710,36740,36710,36740,27
2025-12-24 12:25:00+05:30,36740,36740,36650,36670,477
2025-12-24 12:30:00+05:30,36670,36720,36600,36605,1008
2025-12-24 12:35:00+05:30,36605,36635,36600,36625,161
2025-12-24 12:40:00+05:30,36625,36655,36590,36645,189
2025-12-24 12:45:00+05:30,36645,36645,36600,36630,100
2025-12-24 12:50:00+05:30,36630,36630,36600,36600,35
2025-12-24 12:55:00+05:30,36600,36635,36600,36635,126
2025-12-24 13:00:00+05:30,36635,36680,36585,36675,8308
2025-12-24 13:05:00+05:30,36675,36680,36630,36630,101
2025-12-24 13:10:00+05:30,36630,36720,36630,36705,105
2025-12-24 13:15:00+05:30,36705,36705,36645,36645,90
2025-12-24 13:20:00+05:30,36655,36660,36645,36650,39
2025-12-24 13:25:00+05:30,36650,36655,36645,36645,1263
2025-12-24 13:30:00+05:30,36645,36645,36570,36600,249
2025-12-24 13:35:00+05:30,36600,36605,36580,36600,139
2025-12-24 13:40:00+05:30,36600,36600,36600,36600,16
2025-12-24 13:45:00+05:30,36600,36600,36590,36600,90
2025-12-24 13:50:00+05:30,36600,36600,36590,36600,136
2025-12-24 13:55:00+05:30,36600,36600,36585,36585,599
2025-12-24 14:00:00+05:30,36585,36600,36550,36600,4410
2025-12-24 14:05:00+05:30,36605,36645,36605,36625,223
2025-12-24 14:10:00+05:30,36625,36640,36615,36640,13
2025-12-24 14:15:00+05:30,36640,36640,36610,36630,48
2025-12-24 14:20:00+05:30,36630,36630,36600,36615,104
2025-12-24 14:25:00+05:30,36615,36625,36600,36600,256
2025-12-24 14:30:00+05:30,36600,36600,36600,36600,2
2025-12-24 14:35:00+05:30,36600,36610,36560,36560,215
2025-12-24 14:40:00+05:30,36560,36575,36550,36560,174
2025-12-24 14:45:00+05:30,36575,36600,36550,36550,119
2025-12-24 14:50:00+05:30,36550,36565,36545,36560,135
