date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,283.8,284.0,283.8,283.9,3870
2025-12-24 12:00:00+05:30,283.9,284.0,283.7,284.0,14079
2025-12-24 12:05:00+05:30,284.0,284.0,283.65,284.0,19715
2025-12-24 12:10:00+05:30,284.0,284.0,283.75,283.75,13773
2025-12-24 12:15:00+05:30,283.75,284.0,283.65,283.75,12288
2025-12-24 12:20:00+05:30,283.75,283.8,283.5,283.7,17928
2025-12-24 12:25:00+05:30,283.7,283.85,283.7,283.8,12158
2025-12-24 12:30:00+05:30,283.8,284.0,283.75,284.0,13183
2025-12-24 12:35:00+05:30,284.0,284.05,283.75,283.8,25036
2025-12-24 12:40:00+05:30,283.8,283.85,283.75,283.85,12544
2025-12-24 12:45:00+05:30,283.85,283.85,283.75,283.8,12888
2025-12-24 12:50:00+05:30,283.8,283.8,283.75,283.75,43078
2025-12-24 12:55:00+05:30,283.75,284.0,283.75,284.0,12073
2025-12-24 13:00:00+05:30,284.0,284.0,283.75,283.85,2671
2025-12-24 13:05:00+05:30,283.85,283.85,283.75,283.75,31129
2025-12-24 13:10:00+05:30,283.8,283.8,283.1,283.15,90908
2025-12-24 13:15:00+05:30,283.15,283.15,282.85,282.9,10558
2025-12-24 13:20:00+05:30,282.85,282.85,282.45,282.55,23866
2025-12-24 13:25:00+05:30,282.55,282.55,282.2,282.3,7594
2025-12-24 13:30:00+05:30,282.3,282.3,282.0,282.05,8457
2025-12-24 13:35:00+05:30,282.05,282.1,281.9,282.05,10075
2025-12-24 13:40:00+05:30,282.0,282.25,281.9,282.0,16480
2025-12-24 13:45:00+05:30,282.0,282.0,281.9,281.95,5327
2025-12-24 13:50:00+05:30,281.95,282.0,281.8,281.9,9482
2025-12-24 13:55:00+05:30,281.9,281.9,281.55,281.7,4988
2025-12-24 14:00:00+05:30,281.7,281.75,281.45,281.5,10783
2025-12-24 14:05:00+05:30,281.55,281.55,281.2,281.25,7644
2025-12-24 14:10:00+05:30,281.25,281.35,281.0,281.05,18645
2025-12-24 14:15:00+05:30,281.05,281.05,280.7,280.9,9813
2025-12-24 14:20:00+05:30,280.8,280.9,280.6,280.7,7853
2025-12-24 14:25:00+05:30,280.7,280.7,280.35,280.55,12857
2025-12-24 14:30:00+05:30,280.55,280.55,279.95,280.05,15607
2025-12-24 14:35:00+05:30,280.05,280.4,279.9,280.4,19726
2025-12-24 14:40:00+05:30,280.4,280.4,280.0,280.25,19335
2025-12-24 14:45:00+05:30,280.25,280.35,280.15,280.25,9245
2025-12-24 14:50:00+05:30,280.25,280.6,280.1,280.6,17123
2025-12-24 14:55:00+05:30,280.6,281.05,280.45,280.75,10817
2025-12-24 15:00:00+05:30,281.2,281.45,280.95,281.3,26329
2025-12-24 15:05:00+05:30,281.3,281.45,281.2,281.4,16252
2025-12-24 15:10:00+05:30,281.4,281.4,280.8,281.05,19269
2025-12-24 15:15:00+05:30,281.0,281.1,280.85,280.9,30739
2025-12-24 15:20:00+05:30,280.9,281.1,280.8,281.05,40082
2025-12-24 15:25:00+05:30,281.05,281.8,280.6,281.15,97245
2025-12-26 09:15:00+05:30,281.05,281.9,280.0,281.05,48842
2025-12-26 09:20:00+05:30,281.05,282.0,281.05,281.85,20304
2025-12-26 09:25:00+05:30,281.85,282.3,281.75,282.1,26089
2025-12-26 09:30:00+05:30,282.2,282.25,281.35,281.35,11104
2025-12-26 09:35:00+05:30,281.35,281.55,281.05,281.35,16354
2025-12-26 09:40:00+05:30,281.3,281.4,280.9,281.0,16238
2025-12-26 09:45:00+05:30,281.0,281.1,280.6,280.65,8162
2025-12-26 09:50:00+05:30,280.65,280.75,280.25,280.3,7877
