date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,584.25,584.5,583.4,584.3,23104
2025-12-24 12:00:00+05:30,584.3,585.5,583.5,585.45,21826
2025-12-24 12:05:00+05:30,585.45,585.5,583.55,583.95,11181
2025-12-24 12:10:00+05:30,583.95,584.85,583.0,583.55,18417
2025-12-24 12:15:00+05:30,583.85,584.95,583.4,583.9,11788
2025-12-24 12:20:00+05:30,583.9,584.7,583.4,584.45,5578
2025-12-24 12:25:00+05:30,584.45,584.95,583.6,584.75,11357
2025-12-24 12:30:00+05:30,584.75,585.65,584.1,585.5,12784
2025-12-24 12:35:00+05:30,585.5,585.65,584.65,584.95,6222
2025-12-24 12:40:00+05:30,585.0,585.0,583.55,584.5,10968
2025-12-24 12:45:00+05:30,584.7,584.95,583.4,584.05,15201
2025-12-24 12:50:00+05:30,584.05,585.0,583.8,585.0,4733
2025-12-24 12:55:00+05:30,585.0,585.0,583.7,584.65,6626
2025-12-24 13:00:00+05:30,584.65,584.9,583.5,584.4,10107
2025-12-24 13:05:00+05:30,584.4,584.45,583.5,584.3,14767
2025-12-24 13:10:00+05:30,584.3,584.3,583.2,583.65,10624
2025-12-24 13:15:00+05:30,583.65,584.0,582.8,583.0,11618
2025-12-24 13:20:00+05:30,583.0,583.3,581.8,582.2,19695
2025-12-24 13:25:00+05:30,582.3,583.0,582.15,582.8,13826
2025-12-24 13:30:00+05:30,582.95,582.95,581.4,581.7,13177
2025-12-24 13:35:00+05:30,581.7,582.05,581.3,581.5,9527
2025-12-24 13:40:00+05:30,581.5,582.3,580.75,581.25,13176
2025-12-24 13:45:00+05:30,581.25,581.5,580.6,580.7,9314
2025-12-24 13:50:00+05:30,580.7,582.0,580.5,581.95,15046
2025-12-24 13:55:00+05:30,581.95,583.5,581.45,583.45,14588
2025-12-24 14:00:00+05:30,583.45,584.25,583.0,584.2,19861
2025-12-24 14:05:00+05:30,584.2,584.5,583.5,584.5,8474
2025-12-24 14:10:00+05:30,584.5,584.85,583.35,584.2,11522
2025-12-24 14:15:00+05:30,584.2,590.35,584.1,588.0,131711
2025-12-24 14:20:00+05:30,588.0,589.0,586.2,586.7,50304
2025-12-24 14:25:00+05:30,586.7,586.8,584.95,585.95,25616
