date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,121.14,121.36,121.11,121.3,324813
2025-12-24 12:00:00+05:30,121.3,121.39,121.2,121.3,85359
2025-12-24 12:05:00+05:30,121.3,121.4,121.27,121.33,73002
2025-12-24 12:10:00+05:30,121.32,121.4,121.27,121.39,52140
2025-12-24 12:15:00+05:30,121.39,121.53,121.36,121.47,151320
2025-12-24 12:20:00+05:30,121.49,121.52,121.43,121.5,54630
2025-12-24 12:25:00+05:30,121.5,121.55,121.39,121.47,159163
2025-12-24 12:30:00+05:30,121.47,121.5,121.27,121.35,27303
2025-12-24 12:35:00+05:30,121.35,121.43,121.32,121.4,50625
2025-12-24 12:40:00+05:30,121.42,121.42,121.3,121.33,123909
2025-12-24 12:45:00+05:30,121.33,121.39,121.29,121.34,38923
2025-12-24 12:50:00+05:30,121.34,121.34,121.2,121.22,46442
2025-12-24 12:55:00+05:30,121.21,121.45,121.2,121.45,85367
2025-12-24 13:00:00+05:30,121.44,121.44,121.29,121.36,24809
2025-12-24 13:05:00+05:30,121.36,121.38,121.2,121.21,34063
2025-12-24 13:10:00+05:30,121.25,121.3,121.16,121.28,50969
2025-12-24 13:15:00+05:30,121.24,121.24,121.13,121.13,114284
2025-12-24 13:20:00+05:30,121.18,121.22,121.07,121.1,103925
2025-12-24 13:25:00+05:30,121.13,121.33,121.1,121.32,56353
2025-12-24 13:30:00+05:30,121.32,121.32,121.09,121.18,29292
2025-12-24 13:35:00+05:30,121.18,121.2,121.06,121.1,134755
2025-12-24 13:40:00+05:30,121.11,121.12,121.02,121.08,41348
2025-12-24 13:45:00+05:30,121.08,121.11,121.03,121.06,35133
2025-12-24 13:50:00+05:30,121.09,121.18,121.05,121.12,16975
2025-12-24 13:55:00+05:30,121.12,121.16,121.02,121.08,34942
2025-12-24 14:00:00+05:30,121.08,121.1,121.01,121.05,86296
2025-12-24 14:05:00+05:30,121.05,121.09,121.02,121.05,35806
2025-12-24 14:10:00+05:30,121.06,121.12,121.05,121.07,33612
2025-12-24 14:15:00+05:30,121.07,121.19,121.05,121.06,52991
2025-12-24 14:20:00+05:30,121.06,121.1,121.02,121.05,50664
2025-12-24 14:25:00+05:30,121.05,121.1,121.0,121.06,53059
2025-12-24 14:30:00+05:30,121.07,121.09,121.05,121.05,52784
2025-12-24 14:35:00+05:30,121.05,121.1,121.03,121.09,116260
2025-12-24 14:40:00+05:30,121.09,121.09,121.02,121.09,34660
2025-12-24 14:45:00+05:30,121.09,121.15,121.03,121.09,61398
2025-12-24 14:50:00+05:30,121.09,121.1,121.03,121.09,45221
2025-12-24 14:55:00+05:30,121.07,121.3,121.07,121.26,130599
2025-12-24 15:00:00+05:30,121.4,121.42,121.07,121.12,335687
2025-12-24 15:05:00+05:30,121.12,121.15,121.02,121.05,258557
2025-12-24 15:10:00+05:30,121.08,121.12,120.84,120.86,244911
2025-12-24 15:15:00+05:30,120.83,120.93,120.79,120.91,517113
2025-12-24 15:20:00+05:30,120.9,120.92,120.76,120.8,527304
2025-12-24 15:25:00+05:30,120.8,121.17,120.77,121.05,615380
2025-12-26 09:15:00+05:30,120.77,120.98,120.35,120.45,278901
2025-12-26 09:20:00+05:30,120.49,120.72,120.45,120.46,139659
2025-12-26 09:25:00+05:30,120.46,120.9,120.46,120.78,125781
2025-12-26 09:30:00+05:30,120.79,120.84,120.59,120.61,71894
2025-12-26 09:35:00+05:30,120.61,120.9,120.48,120.79,149442
2025-12-26 09:40:00+05:30,120.79,120.84,120.67,120.68,98854
2025-12-26 09:45:00+05:30,120.7,120.78,120.6,120.66,60485
2025-12-26 09:50:00+05:30,120.7,120.7,120.53,120.57,95699
2025-12-26 09:55:00+05:30,120.57,120.66,120.5,120.57,68182
2025-12-26 10:00:00+05:30,120.56,120.65,120.32,120.41,169775
2025-12-26 10:05:00+05:30,120.41,120.43,120.26,120.26,85245
2025-12-26 10:10:00+05:30,120.29,120.35,120.18,120.26,100027
2025-12-26 10:15:00+05:30,120.31,120.31,120.04,120.05,175241
2025-12-26 10:20:00+05:30,120.06,120.09,120.0,120.03,195990
2025-12-26 10:25:00+05:30,120.02,120.16,120.0,120.14,179683
2025-12-26 10:30:00+05:30,120.16,120.18,120.08,120.15,77497
2025-12-26 10:35:00+05:30,120.15,120.15,120.06,120.13,160012
2025-12-26 10:40:00+05:30,120.13,120.26,120.1,120.26,320687
2025-12-26 10:45:00+05:30,120.3,120.35,120.19,120.23,139225
2025-12-26 10:50:00+05:30,120.22,120.22,120.1,120.14,249831
2025-12-26 10:55:00+05:30,120.14,120.14,120.05,120.08,55787
2025-12-26 11:00:00+05:30,120.08,120.09,119.97,120.01,139645
2025-12-26 11:05:00+05:30,120.02,120.02,119.85,119.89,151509
2025-12-26 11:10:00+05:30,119.89,120.0,119.88,119.88,94271
2025-12-26 11:15:00+05:30,119.88,119.89,119.81,119.85,364344
2025-12-26 11:20:00+05:30,119.85,119.85,119.57,119.6,137980
2025-12-26 11:25:00+05:30,119.63,119.67,119.58,119.63,72559
2025-12-26 11:30:00+05:30,119.66,119.67,119.45,119.6,389668
