date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,18705,18705,18680,18685,442
2025-12-24 12:00:00+05:30,18685,18710,18670,18710,900
2025-12-24 12:05:00+05:30,18710,18710,18680,18690,399
2025-12-24 12:10:00+05:30,18690,18700,18675,18700,230
2025-12-24 12:15:00+05:30,18700,18700,18680,18695,322
2025-12-24 12:20:00+05:30,18695,18745,18680,18730,1432
2025-12-24 12:25:00+05:30,18730,18795,18710,18775,1647
2025-12-24 12:30:00+05:30,18775,18775,18675,18675,1106
2025-12-24 12:35:00+05:30,18675,18715,18660,18710,264
2025-12-24 12:40:00+05:30,18720,18740,18705,18710,350
2025-12-24 12:45:00+05:30,18720,18725,18705,18725,138
2025-12-24 12:50:00+05:30,18710,18720,18705,18710,124
2025-12-24 12:55:00+05:30,18715,18715,18685,18705,550
2025-12-24 13:00:00+05:30,18705,18710,18685,18700,339
2025-12-24 13:05:00+05:30,18700,18725,18695,18710,279
2025-12-24 13:10:00+05:30,18710,18725,18695,18695,851
2025-12-24 13:15:00+05:30,18700,18700,18685,18700,217
2025-12-24 13:20:00+05:30,18700,18700,18675,18690,311
2025-12-24 13:25:00+05:30,18690,18690,18665,18685,451
2025-12-24 13:30:00+05:30,18685,18685,18620,18620,1180
2025-12-24 13:35:00+05:30,18620,18625,18555,18560,1099
2025-12-24 13:40:00+05:30,18570,18655,18555,18630,912
2025-12-24 13:45:00+05:30,18630,18635,18610,18610,291
2025-12-24 13:50:00+05:30,18610,18625,18600,18600,205
2025-12-24 13:55:00+05:30,18600,18615,18580,18585,131
2025-12-24 14:00:00+05:30,18600,18615,18585,18600,423
2025-12-24 14:05:00+05:30,18610,18615,18600,18615,103
2025-12-24 14:10:00+05:30,18615,18635,18605,18630,330
2025-12-24 14:15:00+05:30,18630,18655,18630,18640,211
2025-12-24 14:20:00+05:30,18640,18645,18595,18620,417
2025-12-24 14:25:00+05:30,18605,18620,18600,18600,180
2025-12-24 14:30:00+05:30,18600,18615,18600,18605,134
2025-12-24 14:35:00+05:30,18600,18600,18505,18510,2196
2025-12-24 14:40:00+05:30,18510,18515,18480,18510,1023
2025-12-24 14:45:00+05:30,18515,18530,18475,18485,1211
2025-12-24 14:50:00+05:30,18495,18515,18475,18505,625
2025-12-24 14:55:00+05:30,18505,18525,18475,18500,1665
2025-12-24 15:00:00+05:30,18530,18535,18485,18495,1139
2025-12-24 15:05:00+05:30,18495,18495,18430,18430,1220
2025-12-24 15:10:00+05:30,18430,18440,18365,18410,2494
2025-12-24 15:15:00+05:30,18420,18445,18400,18445,1785
2025-12-24 15:20:00+05:30,18430,18430,18375,18385,1521
2025-12-24 15:25:00+05:30,18380,18400,18325,18390,1931
2025-12-26 09:15:00+05:30,18475,18475,18270,18420,4046
2025-12-26 09:20:00+05:30,18410,18595,18385,18525,4562
2025-12-26 09:25:00+05:30,18525,18540,18470,18525,1288
2025-12-26 09:30:00+05:30,18525,18595,18490,18490,2042
2025-12-26 09:35:00+05:30,18485,18485,18435,18450,1087
2025-12-26 09:40:00+05:30,18450,18465,18420,18445,545
2025-12-26 09:45:00+05:30,18445,18470,18435,18465,444
2025-12-26 09:50:00+05:30,18465,18465,18390,18405,723
2025-12-26 09:55:00+05:30,18400,18410,18355,18410,860
2025-12-26 10:00:00+05:30,18405,18410,18390,18405,374
2025-12-26 10:05:00+05:30,18405,18405,18315,18330,802
2025-12-26 10:10:00+05:30,18350,18350,18305,18335,1277
2025-12-26 10:15:00+05:30,18335,18380,18320,18375,720
2025-12-26 10:20:00+05:30,18380,18385,18335,18345,295
2025-12-26 10:25:00+05:30,18345,18385,18335,18380,734
2025-12-26 10:30:00+05:30,18380,18440,18380,18425,1191
2025-12-26 10:35:00+05:30,18425,18425,18400,18410,257
2025-12-26 10:40:00+05:30,18410,18425,18400,18405,168
2025-12-26 10:45:00+05:30,18405,18490,18400,18490,753
2025-12-26 10:50:00+05:30,18490,18490,18450,18450,250
2025-12-26 10:55:00+05:30,18450,18460,18450,18455,314
2025-12-26 11:00:00+05:30,18455,18480,18450,18470,629
2025-12-26 11:05:00+05:30,18470,18470,18450,18470,265
2025-12-26 11:10:00+05:30,18470,18475,18415,18465,1178
2025-12-26 11:15:00+05:30,18465,18470,18450,18450,197
2025-12-26 11:20:00+05:30,18450,18470,18450,18470,79
2025-12-26 11:25:00+05:30,18460,18490,18455,18490,614
2025-12-26 11:30:00+05:30,18490,18535,18490,18495,1124
2025-12-26 11:35:00+05:30,18495,18515,18475,18480,231
2025-12-26 11:40:00+05:30,18480,18485,18460,18465,149
2025-12-26 11:45:00+05:30,18465,18475,18460,18470,326
2025-12-26 11:50:00+05:30,18470,18470,18450,18455,840
2025-12-26 11:55:00+05:30,18455,18455,18370,18385,944
2025-12-26 12:00:00+05:30,18385,18390,18350,18365,738
2025-12-26 12:05:00+05:30,18365,18375,18350,18350,334
2025-12-26 12:10:00+05:30,18350,18370,18350,18350,166
2025-12-26 12:15:00+05:30,18350,18455,18350,18445,1961
2025-12-26 12:20:00+05:30,18445,18460,18425,18440,671
2025-12-26 12:25:00+05:30,18430,18495,18430,18460,1123
2025-12-26 12:30:00+05:30,18460,18460,18405,18410,337
2025-12-26 12:35:00+05:30,18410,18420,18350,18360,289
2025-12-26 12:40:00+05:30,18360,18385,18350,18380,132
2025-12-26 12:45:00+05:30,18380,18390,18370,18390,54
2025-12-26 12:50:00+05:30,18390,18395,18380,18395,55
2025-12-26 12:55:00+05:30,18395,18415,18385,18400,268
2025-12-26 13:00:00+05:30,18400,18405,18390,18395,123
2025-12-26 13:05:00+05:30,18395,18405,18390,18400,157
2025-12-26 13:10:00+05:30,18400,18405,18390,18400,64
2025-12-26 13:15:00+05:30,18400,18400,18390,18390,112
2025-12-26 13:20:00+05:30,18390,18410,18380,18410,301
2025-12-26 13:25:00+05:30,18410,18415,18390,18405,78
2025-12-26 13:30:00+05:30,18405,18405,18355,18365,332
2025-12-26 13:35:00+05:30,18365,18370,18350,18350,462
2025-12-26 13:40:00+05:30,18350,18365,18350,18360,48
2025-12-26 13:45:00+05:30,18360,18360,18335,18350,294
2025-12-26 13:50:00+05:30,18335,18350,18325,18350,379
2025-12-26 13:55:00+05:30,18350,18395,18340,18385,700
2025-12-26 14:00:00+05:30,18385,18400,18365,18365,238
2025-12-26 14:05:00+05:30,18365,18370,18340,18340,525
2025-12-26 14:10:00+05:30,18340,18360,18335,18360,212
2025-12-26 14:15:00+05:30,18360,18370,18335,18335,249
2025-12-26 14:20:00+05:30,18335,18350,18335,18340,53
2025-12-26 14:25:00+05:30,18340,18340,18305,18315,1131
2025-12-26 14:30:00+05:30,18315,18330,18255,18255,1303
2025-12-26 14:35:00+05:30,18255,18260,18200,18210,1955
2025-12-26 14:40:00+05:30,18210,18230,18210,18230,277
2025-12-26 14:45:00+05:30,18220,18230,18085,18200,3377
