date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,178.54,178.71,178.26,178.65,27425
2025-12-24 12:00:00+05:30,178.65,178.75,178.24,178.31,25963
2025-12-24 12:05:00+05:30,178.31,178.66,178.31,178.51,9296
2025-12-24 12:10:00+05:30,178.51,178.74,178.51,178.61,3819
2025-12-24 12:15:00+05:30,178.61,178.86,178.5,178.76,8099
2025-12-24 12:20:00+05:30,178.76,178.9,178.64,178.72,11163
2025-12-24 12:25:00+05:30,178.72,178.89,178.65,178.89,6333
2025-12-24 12:30:00+05:30,178.88,178.97,178.61,178.72,22551
2025-12-24 12:35:00+05:30,178.72,178.94,178.72,178.82,8349
2025-12-24 12:40:00+05:30,178.82,178.87,178.1,178.53,114776
2025-12-24 12:45:00+05:30,178.53,178.62,178.1,178.28,18997
2025-12-24 12:50:00+05:30,178.3,178.31,177.66,177.93,59398
2025-12-24 12:55:00+05:30,177.93,178.1,177.79,178.02,14952
2025-12-24 13:00:00+05:30,178.02,178.1,177.63,177.78,44705
2025-12-24 13:05:00+05:30,177.78,177.9,177.6,177.72,13019
2025-12-24 13:10:00+05:30,177.72,178.15,177.63,178.15,42341
2025-12-24 13:15:00+05:30,178.11,178.15,177.88,178.0,19952
2025-12-24 13:20:00+05:30,178.0,178.05,177.8,177.8,14534
2025-12-24 13:25:00+05:30,177.85,177.95,177.8,177.93,5171
2025-12-24 13:30:00+05:30,177.93,178.05,177.8,177.87,28771
2025-12-24 13:35:00+05:30,177.93,177.93,177.51,177.78,35413
2025-12-24 13:40:00+05:30,177.85,178.0,177.69,177.8,25884
2025-12-24 13:45:00+05:30,177.8,178.08,177.7,178.02,31188
2025-12-24 13:50:00+05:30,178.02,178.27,178.0,178.1,18863
2025-12-24 13:55:00+05:30,178.1,178.48,178.1,178.42,25075
2025-12-24 14:00:00+05:30,178.42,178.56,178.28,178.53,21723
2025-12-24 14:05:00+05:30,178.53,178.85,178.48,178.82,33695
2025-12-24 14:10:00+05:30,178.79,178.8,178.6,178.66,12788
2025-12-24 14:15:00+05:30,178.66,178.85,178.31,178.31,17742
2025-12-24 14:20:00+05:30,178.43,178.54,177.93,178.23,43490
2025-12-24 14:25:00+05:30,178.23,178.46,178.09,178.21,36385
2025-12-24 14:30:00+05:30,178.21,178.29,177.88,177.88,25667
2025-12-24 14:35:00+05:30,177.99,178.03,177.65,177.79,28580
2025-12-24 14:40:00+05:30,177.79,177.82,177.6,177.76,18513
2025-12-24 14:45:00+05:30,177.76,177.83,177.6,177.69,20462
2025-12-24 14:50:00+05:30,177.61,177.76,177.28,177.5,84755
2025-12-24 14:55:00+05:30,177.5,177.83,177.32,177.81,57537
2025-12-24 15:00:00+05:30,177.8,177.84,177.27,177.28,55597
2025-12-24 15:05:00+05:30,177.41,177.51,177.32,177.34,25989
2025-12-24 15:10:00+05:30,177.42,177.55,177.21,177.46,31096
2025-12-24 15:15:00+05:30,177.53,177.55,177.3,177.4,112506
2025-12-24 15:20:00+05:30,177.39,177.39,177.05,177.06,42808
2025-12-24 15:25:00+05:30,177.06,177.11,176.31,177.0,56485
2025-12-26 09:15:00+05:30,177.31,177.4,176.21,176.87,67233
2025-12-26 09:20:00+05:30,177.03,177.19,176.54,177.04,30266
2025-12-26 09:25:00+05:30,177.04,177.26,176.91,177.02,10489
2025-12-26 09:30:00+05:30,177.07,177.39,176.94,177.09,17276
2025-12-26 09:35:00+05:30,177.09,177.12,176.51,176.55,22091
2025-12-26 09:40:00+05:30,176.55,176.68,176.34,176.48,18288
2025-12-26 09:45:00+05:30,176.52,176.77,176.0,176.43,36339
2025-12-26 09:50:00+05:30,176.43,176.5,176.05,176.14,9883
2025-12-26 09:55:00+05:30,176.14,176.64,176.0,176.4,33704
2025-12-26 10:00:00+05:30,176.36,176.5,176.07,176.5,20664
2025-12-26 10:05:00+05:30,176.5,176.5,176.1,176.13,11149
2025-12-26 10:10:00+05:30,176.13,176.22,176.0,176.18,22458
2025-12-26 10:15:00+05:30,176.08,176.13,175.65,175.79,13754
2025-12-26 10:20:00+05:30,175.79,175.99,175.75,175.81,11190
2025-12-26 10:25:00+05:30,175.81,175.92,175.75,175.82,8582
2025-12-26 10:30:00+05:30,175.82,175.97,175.75,175.87,11293
2025-12-26 10:35:00+05:30,175.87,175.95,175.75,175.84,5937
2025-12-26 10:40:00+05:30,175.84,175.91,175.55,175.76,16253
2025-12-26 10:45:00+05:30,175.76,175.82,175.6,175.75,15104
2025-12-26 10:50:00+05:30,175.75,175.8,175.61,175.8,4620
2025-12-26 10:55:00+05:30,175.8,175.97,175.6,175.8,7781
2025-12-26 11:00:00+05:30,175.84,175.89,175.63,175.7,4014
2025-12-26 11:05:00+05:30,175.7,175.77,174.76,174.87,215677
2025-12-26 11:10:00+05:30,174.95,174.97,174.6,174.75,42463
2025-12-26 11:15:00+05:30,174.77,174.82,174.33,174.61,25362
2025-12-26 11:20:00+05:30,174.48,174.54,174.31,174.37,19154
2025-12-26 11:25:00+05:30,174.37,174.62,174.06,174.36,37623
2025-12-26 11:30:00+05:30,174.36,174.43,174.06,174.22,16618
2025-12-26 11:35:00+05:30,174.22,174.35,174.12,174.25,15862
2025-12-26 11:40:00+05:30,174.25,174.34,174.12,174.34,11048
2025-12-26 11:45:00+05:30,174.34,174.53,174.28,174.5,15611
2025-12-26 11:50:00+05:30,174.5,175.21,174.5,175.0,37753
2025-12-26 11:55:00+05:30,175.0,175.24,174.81,175.02,13089
2025-12-26 12:00:00+05:30,175.02,175.29,174.75,174.75,38158
2025-12-26 12:05:00+05:30,174.75,174.92,174.55,174.86,6498
