date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,26450,26450,26250,26285,260
2025-12-29 09:16:00+05:30,26285,26300,26265,26295,61
2025-12-29 09:17:00+05:30,26295,26300,26240,26250,151
2025-12-29 09:18:00+05:30,26280,26325,26280,26300,105
2025-12-29 09:19:00+05:30,26325,26325,26300,26300,78
2025-12-29 09:20:00+05:30,26300,26300,26260,26280,22
2025-12-29 09:21:00+05:30,26280,26285,26275,26275,7
2025-12-29 09:22:00+05:30,26275,26275,26275,26275,13
2025-12-29 09:23:00+05:30,26275,26285,26245,26245,86
2025-12-29 09:24:00+05:30,26245,26270,26225,26270,47
2025-12-29 09:25:00+05:30,26270,26270,26245,26245,27
2025-12-29 09:26:00+05:30,26255,26255,26185,26190,121
2025-12-29 09:27:00+05:30,26195,26195,26175,26185,28
2025-12-29 09:28:00+05:30,26185,26185,26175,26185,28
2025-12-29 09:29:00+05:30,26185,26200,26185,26190,5
2025-12-29 09:30:00+05:30,26190,26190,26190,26190,2
2025-12-29 09:31:00+05:30,26205,26235,26205,26210,32
2025-12-29 09:32:00+05:30,26210,26250,26210,26225,5
2025-12-29 09:33:00+05:30,26225,26245,26225,26245,6
2025-12-29 09:34:00+05:30,26255,26265,26255,26260,10
2025-12-29 09:35:00+05:30,26260,26270,26260,26260,186
2025-12-29 09:36:00+05:30,26275,26305,26275,26305,74
2025-12-29 09:37:00+05:30,26285,26305,26285,26300,6
2025-12-29 09:38:00+05:30,26300,26300,26285,26285,20
2025-12-29 09:39:00+05:30,26280,26290,26280,26290,13
2025-12-29 09:40:00+05:30,26290,26290,26270,26270,24
2025-12-29 09:41:00+05:30,26270,26290,26270,26270,2
2025-12-29 09:42:00+05:30,26270,26270,26260,26260,1
2025-12-29 09:43:00+05:30,26260,26260,26255,26255,3
2025-12-29 09:44:00+05:30,26255,26255,26255,26255,0
2025-12-29 09:45:00+05:30,26235,26245,26225,26225,57
2025-12-29 09:46:00+05:30,26225,26240,26225,26240,4
2025-12-29 09:47:00+05:30,26240,26250,26240,26250,2
2025-12-29 09:48:00+05:30,26250,26250,26210,26210,26
2025-12-29 09:49:00+05:30,26210,26240,26210,26240,6
2025-12-29 09:50:00+05:30,26240,26240,26215,26215,41
2025-12-29 09:51:00+05:30,26215,26215,26210,26210,8
2025-12-29 09:52:00+05:30,26210,26225,26205,26215,43
2025-12-29 09:53:00+05:30,26215,26340,26215,26340,1257
2025-12-29 09:54:00+05:30,26340,26375,26340,26375,222
2025-12-29 09:55:00+05:30,26375,26375,26375,26375,58
2025-12-29 09:56:00+05:30,26375,26400,26320,26365,1183
2025-12-29 09:57:00+05:30,26365,26400,26360,26400,248
2025-12-29 09:58:00+05:30,26400,26400,26400,26400,28
2025-12-29 09:59:00+05:30,26400,26405,26400,26400,320
2025-12-29 10:00:00+05:30,26400,26410,26400,26400,244
2025-12-29 10:01:00+05:30,26400,26400,26400,26400,26
2025-12-29 10:02:00+05:30,26400,26420,26400,26410,65
2025-12-29 10:03:00+05:30,26410,26410,26410,26410,3
2025-12-29 10:04:00+05:30,26410,26410,26405,26405,1
2025-12-29 10:05:00+05:30,26405,26405,26405,26405,8
2025-12-29 10:06:00+05:30,26405,26405,26405,26405,5
2025-12-29 10:07:00+05:30,26400,26400,26400,26400,31
2025-12-29 10:08:00+05:30,26400,26400,26400,26400,4
2025-12-29 10:09:00+05:30,26400,26405,26400,26400,38
2025-12-29 10:10:00+05:30,26400,26410,26400,26400,6
2025-12-29 10:11:00+05:30,26400,26400,26400,26400,3
2025-12-29 10:12:00+05:30,26400,26400,26400,26400,32
2025-12-29 10:13:00+05:30,26400,26400,26400,26400,93
2025-12-29 10:14:00+05:30,26400,26400,26375,26395,351
2025-12-29 10:15:00+05:30,26395,26400,26390,26395,308
2025-12-29 10:16:00+05:30,26395,26400,26380,26380,542
2025-12-29 10:17:00+05:30,26380,26385,26355,26355,184
2025-12-29 10:18:00+05:30,26355,26380,26355,26380,164
2025-12-29 10:19:00+05:30,26375,26375,26375,26375,6
2025-12-29 10:20:00+05:30,26375,26400,26370,26400,1465
2025-12-29 10:21:00+05:30,26400,26400,26400,26400,19
2025-12-29 10:22:00+05:30,26400,26400,26400,26400,10
2025-12-29 10:23:00+05:30,26400,26400,26380,26380,526
2025-12-29 10:24:00+05:30,26380,26380,26355,26375,130
2025-12-29 10:25:00+05:30,26375,26400,26375,26400,215
2025-12-29 10:26:00+05:30,26400,26400,26390,26390,645
2025-12-29 10:27:00+05:30,26390,26405,26390,26395,66
2025-12-29 10:28:00+05:30,26395,26400,26395,26400,49
2025-12-29 10:29:00+05:30,26400,26405,26400,26400,13
2025-12-29 10:30:00+05:30,26400,26400,26375,26390,81
2025-12-29 10:31:00+05:30,26390,26390,26385,26385,14
2025-12-29 10:32:00+05:30,26385,26385,26375,26380,33
2025-12-29 10:33:00+05:30,26380,26380,26350,26350,52
2025-12-29 10:34:00+05:30,26350,26350,26330,26335,63
2025-12-29 10:35:00+05:30,26335,26335,26325,26325,46
2025-12-29 10:36:00+05:30,26325,26345,26305,26305,83
2025-12-29 10:37:00+05:30,26305,26320,26280,26280,82
2025-12-29 10:38:00+05:30,26280,26295,26265,26265,25
2025-12-29 10:39:00+05:30,26265,26280,26265,26280,47
2025-12-29 10:40:00+05:30,26280,26285,26265,26270,53
2025-12-29 10:41:00+05:30,26270,26280,26260,26260,13
2025-12-29 10:42:00+05:30,26260,26280,26260,26260,64
2025-12-29 10:43:00+05:30,26255,26260,26255,26260,18
2025-12-29 10:44:00+05:30,26260,26270,26250,26250,55
2025-12-29 10:45:00+05:30,26250,26310,26240,26300,500
2025-12-29 10:46:00+05:30,26305,26315,26295,26295,58
2025-12-29 10:47:00+05:30,26295,26295,26280,26285,38
2025-12-29 10:48:00+05:30,26285,26285,26275,26280,66
2025-12-29 10:49:00+05:30,26280,26305,26280,26300,54
2025-12-29 10:50:00+05:30,26300,26305,26300,26300,45
2025-12-29 10:51:00+05:30,26300,26300,26270,26300,761
2025-12-29 10:52:00+05:30,26300,26305,26275,26300,200
2025-12-29 10:53:00+05:30,26300,26305,26300,26300,24
2025-12-29 10:54:00+05:30,26300,26305,26300,26305,34
2025-12-29 10:55:00+05:30,26305,26305,26300,26305,17
2025-12-29 10:56:00+05:30,26305,26305,26300,26305,41
2025-12-29 10:57:00+05:30,26290,26310,26280,26300,62
2025-12-29 10:58:00+05:30,26310,26310,26300,26300,35
2025-12-29 10:59:00+05:30,26300,26300,26275,26275,24
2025-12-29 11:00:00+05:30,26290,26300,26270,26300,2515
2025-12-29 11:01:00+05:30,26300,26300,26280,26300,411
2025-12-29 11:02:00+05:30,26300,26300,26275,26300,1020
2025-12-29 11:03:00+05:30,26275,26300,26265,26300,342
