date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,12632,12695,12631,12685,4065
2025-12-24 12:00:00+05:30,12682,12700,12672,12683,2076
2025-12-24 12:05:00+05:30,12683,12685,12660,12684,900
2025-12-24 12:10:00+05:30,12684,12688,12663,12672,772
2025-12-24 12:15:00+05:30,12672,12680,12666,12678,660
2025-12-24 12:20:00+05:30,12678,12680,12668,12679,686
2025-12-24 12:25:00+05:30,12679,12700,12679,12699,1514
2025-12-24 12:30:00+05:30,12700,12701,12679,12685,797
2025-12-24 12:35:00+05:30,12685,12700,12682,12687,794
2025-12-24 12:40:00+05:30,12687,12699,12687,12695,729
2025-12-24 12:45:00+05:30,12695,12708,12692,12706,668
2025-12-24 12:50:00+05:30,12706,12707,12678,12687,970
2025-12-24 12:55:00+05:30,12686,12692,12676,12690,799
2025-12-24 13:00:00+05:30,12690,12692,12663,12668,934
2025-12-24 13:05:00+05:30,12668,12668,12649,12654,684
2025-12-24 13:10:00+05:30,12654,12657,12634,12635,967
2025-12-24 13:15:00+05:30,12635,12647,12631,12638,734
2025-12-24 13:20:00+05:30,12638,12641,12623,12633,1657
2025-12-24 13:25:00+05:30,12633,12636,12626,12633,365
2025-12-24 13:30:00+05:30,12627,12633,12600,12605,1164
2025-12-24 13:35:00+05:30,12605,12621,12601,12613,767
2025-12-24 13:40:00+05:30,12613,12615,12591,12595,815
2025-12-24 13:45:00+05:30,12595,12596,12574,12596,1098
2025-12-24 13:50:00+05:30,12596,12596,12569,12580,877
2025-12-24 13:55:00+05:30,12580,12581,12554,12580,1375
2025-12-24 14:00:00+05:30,12580,12588,12558,12568,2183
2025-12-24 14:05:00+05:30,12565,12580,12554,12573,1071
2025-12-24 14:10:00+05:30,12573,12574,12542,12572,1280
2025-12-24 14:15:00+05:30,12572,12572,12548,12557,526
2025-12-24 14:20:00+05:30,12554,12554,12523,12533,1081
2025-12-24 14:25:00+05:30,12533,12535,12512,12525,1120
2025-12-24 14:30:00+05:30,12523,12530,12491,12499,1387
2025-12-24 14:35:00+05:30,12499,12500,12456,12469,1826
2025-12-24 14:40:00+05:30,12469,12476,12463,12475,984
2025-12-24 14:45:00+05:30,12493,12495,12460,12470,2561
2025-12-24 14:50:00+05:30,12470,12533,12466,12530,14098
2025-12-24 14:55:00+05:30,12530,12548,12503,12521,7734
2025-12-24 15:00:00+05:30,12521,12544,12497,12498,2894
2025-12-24 15:05:00+05:30,12499,12499,12468,12468,2048
2025-12-24 15:10:00+05:30,12471,12490,12464,12478,2134
2025-12-24 15:15:00+05:30,12475,12476,12453,12467,2157
2025-12-24 15:20:00+05:30,12470,12476,12453,12476,2622
2025-12-24 15:25:00+05:30,12476,12529,12466,12472,2239
2025-12-26 09:15:00+05:30,12529,12650,12501,12617,4435
2025-12-26 09:20:00+05:30,12623,12697,12592,12682,7584
2025-12-26 09:25:00+05:30,12675,12679,12642,12679,2413
2025-12-26 09:30:00+05:30,12679,12736,12679,12698,6787
2025-12-26 09:35:00+05:30,12699,12704,12657,12657,2729
2025-12-26 09:40:00+05:30,12659,12697,12647,12682,2522
2025-12-26 09:45:00+05:30,12674,12694,12620,12651,2319
2025-12-26 09:50:00+05:30,12651,12668,12629,12660,2443
2025-12-26 09:55:00+05:30,12661,12686,12650,12680,1503
2025-12-26 10:00:00+05:30,12680,12680,12624,12636,1731
2025-12-26 10:05:00+05:30,12636,12653,12567,12572,5811
2025-12-26 10:10:00+05:30,12572,12593,12540,12560,4300
2025-12-26 10:15:00+05:30,12560,12566,12546,12566,2209
2025-12-26 10:20:00+05:30,12566,12571,12535,12569,2018
2025-12-26 10:25:00+05:30,12569,12619,12555,12614,2456
2025-12-26 10:30:00+05:30,12613,12621,12601,12611,1353
2025-12-26 10:35:00+05:30,12611,12644,12609,12642,1031
2025-12-26 10:40:00+05:30,12642,12649,12633,12647,1666
2025-12-26 10:45:00+05:30,12647,12647,12632,12641,550
2025-12-26 10:50:00+05:30,12641,12647,12605,12614,871
2025-12-26 10:55:00+05:30,12610,12633,12610,12625,1352
2025-12-26 11:00:00+05:30,12632,12639,12614,12626,752
2025-12-26 11:05:00+05:30,12628,12628,12610,12610,672
2025-12-26 11:10:00+05:30,12610,12612,12582,12598,1718
2025-12-26 11:15:00+05:30,12598,12612,12580,12604,1759
2025-12-26 11:20:00+05:30,12614,12614,12570,12580,567
2025-12-26 11:25:00+05:30,12580,12622,12572,12620,1855
2025-12-26 11:30:00+05:30,12620,12620,12597,12605,859
2025-12-26 11:35:00+05:30,12605,12609,12591,12601,1225
2025-12-26 11:40:00+05:30,12601,12625,12594,12625,752
2025-12-26 11:45:00+05:30,12625,12625,12589,12606,307
2025-12-26 11:50:00+05:30,12606,12615,12600,12602,693
2025-12-26 11:55:00+05:30,12609,12614,12602,12609,185
2025-12-26 12:00:00+05:30,12609,12613,12570,12584,808
2025-12-26 12:05:00+05:30,12584,12584,12563,12570,553
2025-12-26 12:10:00+05:30,12570,12584,12565,12577,466
2025-12-26 12:15:00+05:30,12577,12584,12561,12561,464
2025-12-26 12:20:00+05:30,12561,12585,12546,12577,2271
2025-12-26 12:25:00+05:30,12577,12588,12575,12575,130
2025-12-26 12:30:00+05:30,12575,12582,12551,12555,493
2025-12-26 12:35:00+05:30,12555,12579,12554,12562,277
2025-12-26 12:40:00+05:30,12562,12569,12552,12552,545
2025-12-26 12:45:00+05:30,12552,12564,12552,12562,401
2025-12-26 12:50:00+05:30,12562,12564,12550,12553,286
2025-12-26 12:55:00+05:30,12553,12560,12549,12554,220
2025-12-26 13:00:00+05:30,12553,12560,12545,12545,632
2025-12-26 13:05:00+05:30,12539,12539,12520,12532,2341
2025-12-26 13:10:00+05:30,12536,12541,12530,12541,246
2025-12-26 13:15:00+05:30,12541,12555,12541,12555,401
2025-12-26 13:20:00+05:30,12555,12558,12545,12551,1050
2025-12-26 13:25:00+05:30,12551,12553,12537,12546,283
2025-12-26 13:30:00+05:30,12537,12544,12510,12516,3220
2025-12-26 13:35:00+05:30,12516,12520,12510,12515,293
2025-12-26 13:40:00+05:30,12515,12522,12506,12522,551
2025-12-26 13:45:00+05:30,12522,12522,12510,12512,531
2025-12-26 13:50:00+05:30,12512,12514,12503,12509,388
2025-12-26 13:55:00+05:30,12504,12514,12494,12508,1072
2025-12-26 14:00:00+05:30,12508,12517,12494,12502,618
2025-12-26 14:05:00+05:30,12502,12502,12480,12485,3926
2025-12-26 14:10:00+05:30,12485,12496,12461,12496,1517
2025-12-26 14:15:00+05:30,12498,12498,12468,12477,2609
2025-12-26 14:20:00+05:30,12476,12476,12462,12475,570
2025-12-26 14:25:00+05:30,12475,12476,12464,12475,499
2025-12-26 14:30:00+05:30,12475,12501,12450,12465,12081
2025-12-26 14:35:00+05:30,12465,12465,12440,12459,826
2025-12-26 14:40:00+05:30,12459,12459,12440,12445,714
2025-12-26 14:45:00+05:30,12445,12450,12412,12413,1050
