date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,662.55,663.2,662.5,663.0,1590
2025-12-24 12:00:00+05:30,662.7,663.0,662.4,662.4,793
2025-12-24 12:05:00+05:30,662.4,662.5,662.2,662.2,2072
2025-12-24 12:10:00+05:30,662.4,662.4,661.75,662.0,1337
2025-12-24 12:15:00+05:30,662.0,662.45,662.0,662.45,640
2025-12-24 12:20:00+05:30,662.45,662.75,662.0,662.2,1772
2025-12-24 12:25:00+05:30,662.0,662.4,661.5,661.8,2482
2025-12-24 12:30:00+05:30,662.1,662.1,661.2,661.65,4606
2025-12-24 12:35:00+05:30,661.65,662.1,661.65,661.8,968
2025-12-24 12:40:00+05:30,661.8,661.95,661.3,661.35,874
2025-12-24 12:45:00+05:30,661.35,661.8,661.05,661.1,2230
2025-12-24 12:50:00+05:30,661.1,661.55,661.05,661.25,1209
2025-12-24 12:55:00+05:30,661.25,661.4,660.9,660.95,2211
2025-12-24 13:00:00+05:30,661.05,661.45,660.8,661.3,1868
2025-12-24 13:05:00+05:30,661.3,661.3,660.65,660.75,2154
2025-12-24 13:10:00+05:30,660.75,660.9,660.6,660.65,1610
2025-12-24 13:15:00+05:30,660.65,660.95,660.5,660.65,1844
2025-12-24 13:20:00+05:30,660.65,661.0,660.65,661.0,1205
2025-12-24 13:25:00+05:30,661.0,661.3,660.6,661.3,1312
2025-12-24 13:30:00+05:30,660.95,660.95,660.0,660.35,5898
2025-12-24 13:35:00+05:30,660.35,660.4,660.1,660.2,1782
2025-12-24 13:40:00+05:30,660.2,660.3,660.0,660.3,2076
2025-12-24 13:45:00+05:30,660.25,660.5,660.05,660.5,735
2025-12-24 13:50:00+05:30,660.5,660.5,660.0,660.2,6469
2025-12-24 13:55:00+05:30,660.2,660.35,658.0,658.8,6330
2025-12-24 14:00:00+05:30,658.8,658.8,658.05,658.75,4577
2025-12-24 14:05:00+05:30,658.75,659.0,658.0,658.3,8271
2025-12-24 14:10:00+05:30,658.3,660.0,658.3,659.75,4110
2025-12-24 14:15:00+05:30,659.75,659.75,658.85,659.25,2447
2025-12-24 14:20:00+05:30,659.25,659.4,658.2,658.2,2373
2025-12-24 14:25:00+05:30,658.2,658.85,658.2,658.4,1224
2025-12-24 14:30:00+05:30,658.4,658.55,658.2,658.25,1147
2025-12-24 14:35:00+05:30,658.25,658.5,657.25,657.25,7224
2025-12-24 14:40:00+05:30,657.7,657.7,657.0,657.1,4497
2025-12-24 14:45:00+05:30,657.1,657.95,657.0,657.5,9054
2025-12-24 14:50:00+05:30,657.5,657.5,656.1,656.1,7307
2025-12-24 14:55:00+05:30,656.2,657.5,656.0,657.4,6042
2025-12-24 15:00:00+05:30,658.2,658.2,657.5,657.8,7872
2025-12-24 15:05:00+05:30,657.8,658.4,657.65,657.9,2812
2025-12-24 15:10:00+05:30,657.8,658.05,657.25,657.95,8005
2025-12-24 15:15:00+05:30,657.7,658.2,657.4,657.7,8458
2025-12-24 15:20:00+05:30,657.5,658.0,657.0,657.2,7851
2025-12-24 15:25:00+05:30,657.0,658.15,657.0,658.15,10913
2025-12-26 09:15:00+05:30,656.0,661.0,655.3,660.65,24459
2025-12-26 09:20:00+05:30,660.65,661.55,660.35,660.9,10567
