date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,11760,11772,11760,11765,1541
2025-12-24 12:00:00+05:30,11769,11775,11760,11761,2755
2025-12-24 12:05:00+05:30,11761,11765,11760,11761,3073
2025-12-24 12:10:00+05:30,11760,11762,11758,11760,3314
2025-12-24 12:15:00+05:30,11760,11771,11756,11771,1780
2025-12-24 12:20:00+05:30,11771,11780,11765,11776,2601
2025-12-24 12:25:00+05:30,11776,11780,11769,11774,917
2025-12-24 12:30:00+05:30,11771,11775,11769,11774,1477
2025-12-24 12:35:00+05:30,11774,11790,11773,11787,3915
2025-12-24 12:40:00+05:30,11787,11790,11775,11779,2838
2025-12-24 12:45:00+05:30,11779,11780,11775,11778,923
2025-12-24 12:50:00+05:30,11778,11779,11775,11776,1828
2025-12-24 12:55:00+05:30,11777,11785,11775,11784,1566
2025-12-24 13:00:00+05:30,11784,11785,11770,11776,1248
2025-12-24 13:05:00+05:30,11776,11784,11774,11781,1637
2025-12-24 13:10:00+05:30,11781,11785,11774,11776,1265
2025-12-24 13:15:00+05:30,11776,11778,11760,11762,1886
2025-12-24 13:20:00+05:30,11762,11764,11760,11761,1199
2025-12-24 13:25:00+05:30,11760,11768,11760,11761,3062
2025-12-24 13:30:00+05:30,11760,11762,11750,11751,4409
2025-12-24 13:35:00+05:30,11750,11759,11744,11758,1636
2025-12-24 13:40:00+05:30,11758,11758,11755,11756,736
2025-12-24 13:45:00+05:30,11755,11770,11755,11769,2313
2025-12-24 13:50:00+05:30,11769,11773,11764,11766,566
2025-12-24 13:55:00+05:30,11766,11766,11744,11756,2996
2025-12-24 14:00:00+05:30,11756,11767,11755,11762,1276
2025-12-24 14:05:00+05:30,11767,11771,11762,11771,3701
2025-12-24 14:10:00+05:30,11771,11773,11764,11766,1759
2025-12-24 14:15:00+05:30,11769,11771,11761,11766,1463
2025-12-24 14:20:00+05:30,11766,11768,11751,11756,1609
2025-12-24 14:25:00+05:30,11756,11760,11750,11751,3734
2025-12-24 14:30:00+05:30,11750,11778,11750,11770,5273
2025-12-24 14:35:00+05:30,11770,11777,11770,11770,2513
2025-12-24 14:40:00+05:30,11770,11774,11760,11772,3496
2025-12-24 14:45:00+05:30,11772,11778,11770,11772,2470
2025-12-24 14:50:00+05:30,11772,11780,11761,11779,2630
2025-12-24 14:55:00+05:30,11779,11780,11760,11763,2519
2025-12-24 15:00:00+05:30,11765,11765,11752,11755,5457
2025-12-24 15:05:00+05:30,11754,11768,11754,11760,5665
2025-12-24 15:10:00+05:30,11752,11773,11752,11761,4951
2025-12-24 15:15:00+05:30,11761,11772,11760,11770,4827
2025-12-24 15:20:00+05:30,11770,11775,11767,11770,5618
2025-12-24 15:25:00+05:30,11770,11774,11760,11770,3650
2025-12-26 09:15:00+05:30,11766,11794,11744,11744,4653
2025-12-26 09:20:00+05:30,11764,11791,11743,11785,6129
2025-12-26 09:25:00+05:30,11785,11795,11779,11790,4655
2025-12-26 09:30:00+05:30,11790,11790,11773,11780,2399
2025-12-26 09:35:00+05:30,11780,11782,11766,11775,1906
2025-12-26 09:40:00+05:30,11775,11776,11760,11763,1463
2025-12-26 09:45:00+05:30,11763,11765,11752,11759,1208
2025-12-26 09:50:00+05:30,11756,11762,11749,11749,1123
2025-12-26 09:55:00+05:30,11752,11762,11750,11761,1089
2025-12-26 10:00:00+05:30,11761,11778,11760,11770,3884
2025-12-26 10:05:00+05:30,11771,11775,11770,11772,1078
2025-12-26 10:10:00+05:30,11774,11774,11770,11774,1909
2025-12-26 10:15:00+05:30,11774,11778,11770,11776,1465
2025-12-26 10:20:00+05:30,11776,11784,11775,11782,2932
2025-12-26 10:25:00+05:30,11782,11822,11780,11822,8412
2025-12-26 10:30:00+05:30,11822,11823,11815,11818,1514
2025-12-26 10:35:00+05:30,11821,11826,11819,11826,2491
2025-12-26 10:40:00+05:30,11828,11839,11820,11824,5807
2025-12-26 10:45:00+05:30,11819,11825,11817,11819,1834
2025-12-26 10:50:00+05:30,11819,11825,11807,11824,2030
2025-12-26 10:55:00+05:30,11824,11825,11812,11823,2002
2025-12-26 11:00:00+05:30,11824,11825,11820,11825,1448
2025-12-26 11:05:00+05:30,11825,11825,11820,11824,1450
2025-12-26 11:10:00+05:30,11824,11824,11803,11815,2144
2025-12-26 11:15:00+05:30,11815,11822,11811,11814,2379
2025-12-26 11:20:00+05:30,11814,11815,11802,11805,1751
2025-12-26 11:25:00+05:30,11805,11824,11802,11821,1494
2025-12-26 11:30:00+05:30,11820,11830,11818,11825,3195
2025-12-26 11:35:00+05:30,11825,11836,11820,11832,3121
2025-12-26 11:40:00+05:30,11832,11840,11830,11840,1788
2025-12-26 11:45:00+05:30,11840,11851,11837,11848,4531
2025-12-26 11:50:00+05:30,11848,11850,11840,11849,2416
2025-12-26 11:55:00+05:30,11848,11849,11840,11843,1321
2025-12-26 12:00:00+05:30,11843,11843,11830,11840,1656
2025-12-26 12:05:00+05:30,11840,11840,11830,11837,1395
2025-12-26 12:10:00+05:30,11837,11843,11831,11840,3089
2025-12-26 12:15:00+05:30,11840,11840,11832,11838,1331
2025-12-26 12:20:00+05:30,11838,11850,11834,11849,5857
2025-12-26 12:25:00+05:30,11850,11852,11843,11852,1341
2025-12-26 12:30:00+05:30,11852,11852,11839,11843,1795
2025-12-26 12:35:00+05:30,11843,11843,11827,11839,2083
2025-12-26 12:40:00+05:30,11839,11842,11821,11821,3228
2025-12-26 12:45:00+05:30,11820,11830,11813,11825,2303
2025-12-26 12:50:00+05:30,11822,11825,11816,11819,2135
2025-12-26 12:55:00+05:30,11819,11829,11816,11829,1396
2025-12-26 13:00:00+05:30,11829,11830,11820,11824,1509
2025-12-26 13:05:00+05:30,11821,11829,11819,11829,1545
2025-12-26 13:10:00+05:30,11828,11833,11823,11831,1399
2025-12-26 13:15:00+05:30,11831,11844,11827,11838,2336
2025-12-26 13:20:00+05:30,11838,11848,11838,11848,1780
2025-12-26 13:25:00+05:30,11846,11848,11839,11841,1438
2025-12-26 13:30:00+05:30,11841,11848,11840,11847,1577
2025-12-26 13:35:00+05:30,11846,11846,11840,11845,2524
2025-12-26 13:40:00+05:30,11845,11845,11840,11844,1151
2025-12-26 13:45:00+05:30,11842,11853,11841,11853,3680
2025-12-26 13:50:00+05:30,11853,11855,11847,11850,1022
2025-12-26 13:55:00+05:30,11850,11850,11844,11847,1255
2025-12-26 14:00:00+05:30,11847,11847,11840,11844,1119
2025-12-26 14:05:00+05:30,11844,11844,11834,11834,2663
2025-12-26 14:10:00+05:30,11834,11834,11818,11822,1234
2025-12-26 14:15:00+05:30,11822,11830,11815,11819,3109
2025-12-26 14:20:00+05:30,11820,11820,11791,11803,4299
2025-12-26 14:25:00+05:30,11803,11825,11800,11825,9991
2025-12-26 14:30:00+05:30,11825,11828,11792,11796,7352
2025-12-26 14:35:00+05:30,11796,11796,11781,11782,2408
2025-12-26 14:40:00+05:30,11782,11801,11782,11793,1845
2025-12-26 14:45:00+05:30,11793,11813,11790,11793,2942
2025-12-26 14:50:00+05:30,11793,11798,11790,11798,991
2025-12-26 14:55:00+05:30,11798,11806,11794,11801,2179
2025-12-26 15:00:00+05:30,11801,11801,11790,11794,1859
2025-12-26 15:05:00+05:30,11791,11800,11788,11800,2400
2025-12-26 15:10:00+05:30,11800,11820,11799,11820,2517
2025-12-26 15:15:00+05:30,11820,11820,11800,11806,3027
2025-12-26 15:20:00+05:30,11805,11805,11780,11782,2720
2025-12-26 15:25:00+05:30,11790,11790,11764,11767,4001
2025-12-29 09:15:00+05:30,11778,11798,11731,11784,6516
2025-12-29 09:20:00+05:30,11782,11787,11759,11761,3685
2025-12-29 09:25:00+05:30,11764,11768,11751,11766,1703
2025-12-29 09:30:00+05:30,11767,11778,11763,11772,1586
2025-12-29 09:35:00+05:30,11768,11786,11768,11786,1576
2025-12-29 09:40:00+05:30,11781,11794,11776,11777,1556
2025-12-29 09:45:00+05:30,11780,11788,11766,11778,1754
2025-12-29 09:50:00+05:30,11776,11795,11776,11791,1355
2025-12-29 09:55:00+05:30,11789,11792,11770,11772,1094
2025-12-29 10:00:00+05:30,11770,11776,11758,11759,1502
2025-12-29 10:05:00+05:30,11758,11781,11757,11781,4975
2025-12-29 10:10:00+05:30,11784,11792,11764,11769,1521
2025-12-29 10:15:00+05:30,11769,11787,11769,11776,1169
2025-12-29 10:20:00+05:30,11776,11783,11768,11773,1354
2025-12-29 10:25:00+05:30,11773,11810,11765,11804,2873
2025-12-29 10:30:00+05:30,11807,11807,11793,11795,1221
2025-12-29 10:35:00+05:30,11795,11802,11789,11792,1286
2025-12-29 10:40:00+05:30,11792,11800,11777,11789,1425
2025-12-29 10:45:00+05:30,11789,11794,11777,11783,973
2025-12-29 10:50:00+05:30,11781,11793,11772,11782,1373
2025-12-29 10:55:00+05:30,11782,11792,11775,11786,1553
2025-12-29 11:00:00+05:30,11786,11805,11772,11796,7004
2025-12-29 11:05:00+05:30,11796,11803,11778,11801,2130
2025-12-29 11:10:00+05:30,11800,11806,11800,11802,1152
2025-12-29 11:15:00+05:30,11801,11802,11797,11797,1026
2025-12-29 11:20:00+05:30,11797,11806,11789,11803,2553
2025-12-29 11:25:00+05:30,11803,11803,11800,11802,952
2025-12-29 11:30:00+05:30,11802,11802,11775,11775,3629
2025-12-29 11:35:00+05:30,11775,11776,11769,11773,1755
2025-12-29 11:40:00+05:30,11774,11777,11774,11775,674
2025-12-29 11:45:00+05:30,11775,11793,11770,11789,6896
2025-12-29 11:50:00+05:30,11789,11803,11779,11803,1683
2025-12-29 11:55:00+05:30,11801,11801,11800,11800,43
