date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,151.82,152.0,151.82,151.98,52703
2025-12-24 12:00:00+05:30,151.98,152.0,151.85,151.96,31237
2025-12-24 12:05:00+05:30,151.96,152.0,151.9,151.9,24615
2025-12-24 12:10:00+05:30,151.9,152.0,151.9,151.97,9598
2025-12-24 12:15:00+05:30,151.97,152.03,151.92,151.99,154540
2025-12-24 12:20:00+05:30,151.97,151.99,151.86,151.88,33956
2025-12-24 12:25:00+05:30,151.88,151.97,151.58,151.79,53374
2025-12-24 12:30:00+05:30,151.79,152.0,151.75,151.91,63195
2025-12-24 12:35:00+05:30,151.91,151.98,151.83,151.83,26862
2025-12-24 12:40:00+05:30,151.83,151.88,151.75,151.78,22537
2025-12-24 12:45:00+05:30,151.78,151.88,151.7,151.83,13114
2025-12-24 12:50:00+05:30,151.83,151.83,151.68,151.68,23932
2025-12-24 12:55:00+05:30,151.65,151.82,151.62,151.82,11027
2025-12-24 13:00:00+05:30,151.82,151.88,151.65,151.8,11267
2025-12-24 13:05:00+05:30,151.87,151.88,151.62,151.67,20925
2025-12-24 13:10:00+05:30,151.67,151.68,151.52,151.61,40868
2025-12-24 13:15:00+05:30,151.53,151.53,151.41,151.47,66104
2025-12-24 13:20:00+05:30,151.47,151.47,151.25,151.31,41957
2025-12-24 13:25:00+05:30,151.31,151.52,151.15,151.51,46708
2025-12-24 13:30:00+05:30,151.51,151.51,151.1,151.35,51183
2025-12-24 13:35:00+05:30,151.35,151.39,151.21,151.31,10087
2025-12-24 13:40:00+05:30,151.3,151.47,151.3,151.47,29038
2025-12-24 13:45:00+05:30,151.41,151.46,151.37,151.45,18623
2025-12-24 13:50:00+05:30,151.45,151.6,151.43,151.47,44914
2025-12-24 13:55:00+05:30,151.47,151.47,151.2,151.42,43397
2025-12-24 14:00:00+05:30,151.42,151.42,151.1,151.2,40044
2025-12-24 14:05:00+05:30,151.2,151.26,150.82,150.94,172894
2025-12-24 14:10:00+05:30,150.98,150.98,150.84,150.95,45540
2025-12-24 14:15:00+05:30,150.97,150.97,150.92,150.97,19080
2025-12-24 14:20:00+05:30,150.97,150.97,150.8,150.86,55056
2025-12-24 14:25:00+05:30,150.86,150.91,150.76,150.85,54332
2025-12-24 14:30:00+05:30,150.85,150.85,150.51,150.65,217742
2025-12-24 14:35:00+05:30,150.65,150.83,150.65,150.75,65989
2025-12-24 14:40:00+05:30,150.79,150.89,150.75,150.88,33429
2025-12-24 14:45:00+05:30,150.89,151.17,150.86,150.87,69406
2025-12-24 14:50:00+05:30,150.9,151.02,150.8,151.02,143372
2025-12-24 14:55:00+05:30,151.04,151.42,151.0,151.41,161615
2025-12-24 15:00:00+05:30,151.5,151.5,150.9,150.91,196522
2025-12-24 15:05:00+05:30,150.92,150.93,150.74,150.75,176782
2025-12-24 15:10:00+05:30,150.76,150.8,150.58,150.6,102484
2025-12-24 15:15:00+05:30,150.59,150.74,150.39,150.74,371236
2025-12-24 15:20:00+05:30,150.71,150.79,150.52,150.72,257335
2025-12-24 15:25:00+05:30,150.72,150.92,150.6,150.79,277145
2025-12-26 09:15:00+05:30,150.79,151.27,150.1,151.0,215604
2025-12-26 09:20:00+05:30,151.0,151.43,150.91,151.03,111637
2025-12-26 09:25:00+05:30,151.03,151.47,151.0,151.38,77825
2025-12-26 09:30:00+05:30,151.38,151.43,150.85,150.87,84311
2025-12-26 09:35:00+05:30,150.87,150.91,150.65,150.84,64250
2025-12-26 09:40:00+05:30,150.72,150.9,150.63,150.71,43616
2025-12-26 09:45:00+05:30,150.71,150.85,150.56,150.7,35498
2025-12-26 09:50:00+05:30,150.7,150.81,150.55,150.61,49346
2025-12-26 09:55:00+05:30,150.55,150.88,150.55,150.85,44000
2025-12-26 10:00:00+05:30,150.77,150.85,150.57,150.72,79783
2025-12-26 10:05:00+05:30,150.72,150.82,150.55,150.55,57379
2025-12-26 10:10:00+05:30,150.55,150.62,150.39,150.6,46118
2025-12-26 10:15:00+05:30,150.6,150.6,150.4,150.45,25102
2025-12-26 10:20:00+05:30,150.45,150.49,150.36,150.4,30168
2025-12-26 10:25:00+05:30,150.4,150.55,150.31,150.5,32995
2025-12-26 10:30:00+05:30,150.46,150.54,150.4,150.46,20639
2025-12-26 10:35:00+05:30,150.46,150.69,150.45,150.67,19445
2025-12-26 10:40:00+05:30,150.7,150.83,150.51,150.55,17234
2025-12-26 10:45:00+05:30,150.56,150.64,150.49,150.59,10817
2025-12-26 10:50:00+05:30,150.59,150.69,150.5,150.56,18997
2025-12-26 10:55:00+05:30,150.56,150.62,150.34,150.54,59833
2025-12-26 11:00:00+05:30,150.58,150.58,150.36,150.45,19683
2025-12-26 11:05:00+05:30,150.45,150.52,150.24,150.29,32361
2025-12-26 11:10:00+05:30,150.24,150.24,150.09,150.16,45449
2025-12-26 11:15:00+05:30,150.16,150.2,150.11,150.18,17557
2025-12-26 11:20:00+05:30,150.18,150.2,150.12,150.16,15575
2025-12-26 11:25:00+05:30,150.16,150.2,150.15,150.15,16819
2025-12-26 11:30:00+05:30,150.15,150.2,150.06,150.13,35752
2025-12-26 11:35:00+05:30,150.13,150.18,150.09,150.17,16679
2025-12-26 11:40:00+05:30,150.11,150.38,150.11,150.36,24690
2025-12-26 11:45:00+05:30,150.34,150.35,150.22,150.29,12428
2025-12-26 11:50:00+05:30,150.29,150.4,150.29,150.38,17707
2025-12-26 11:55:00+05:30,150.38,150.58,150.29,150.56,25610
2025-12-26 12:00:00+05:30,150.56,150.58,150.45,150.45,11679
2025-12-26 12:05:00+05:30,150.45,150.71,150.41,150.64,31662
2025-12-26 12:10:00+05:30,150.63,150.93,150.63,150.93,23516
