date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,483.9,486.4,483.05,485.55,56232
2025-12-29 09:16:00+05:30,485.45,485.65,484.5,485.25,21782
2025-12-29 09:17:00+05:30,485.25,485.75,484.6,485.3,17156
2025-12-29 09:18:00+05:30,485.35,485.75,485.1,485.75,16412
2025-12-29 09:19:00+05:30,485.7,485.7,484.1,484.95,34299
2025-12-29 09:20:00+05:30,484.6,484.85,483.85,484.6,22611
2025-12-29 09:21:00+05:30,484.6,485.5,484.15,485.05,43447
2025-12-29 09:22:00+05:30,485.05,485.5,484.6,484.9,47697
2025-12-29 09:23:00+05:30,484.9,485.8,484.9,485.6,43673
2025-12-29 09:24:00+05:30,485.7,485.75,485.1,485.15,11728
2025-12-29 09:25:00+05:30,485.15,485.2,483.65,484.0,19527
2025-12-29 09:26:00+05:30,483.75,484.55,483.65,484.45,5608
2025-12-29 09:27:00+05:30,484.2,484.65,484.05,484.25,6403
2025-12-29 09:28:00+05:30,484.25,485.35,484.05,485.3,8086
2025-12-29 09:29:00+05:30,485.35,485.95,485.05,485.8,14478
2025-12-29 09:30:00+05:30,485.6,487.4,485.6,487.3,47027
2025-12-29 09:31:00+05:30,487.05,489.15,486.75,488.6,85462
2025-12-29 09:32:00+05:30,488.45,489.3,488.3,488.45,42909
2025-12-29 09:33:00+05:30,488.25,488.65,487.75,488.45,19121
2025-12-29 09:34:00+05:30,488.45,488.7,487.5,487.75,31235
2025-12-29 09:35:00+05:30,487.6,488.0,487.45,487.65,8730
2025-12-29 09:36:00+05:30,487.7,488.1,487.65,487.9,11686
2025-12-29 09:37:00+05:30,487.8,487.9,487.5,487.75,8777
2025-12-29 09:38:00+05:30,487.7,489.6,487.55,489.25,79311
2025-12-29 09:39:00+05:30,489.35,490.9,489.25,490.65,105619
2025-12-29 09:40:00+05:30,490.9,491.0,489.0,489.75,31856
2025-12-29 09:41:00+05:30,489.7,490.8,489.5,490.7,44796
2025-12-29 09:42:00+05:30,490.5,492.65,490.5,492.3,152080
2025-12-29 09:43:00+05:30,492.05,492.4,491.6,491.9,39772
2025-12-29 09:44:00+05:30,492.0,492.5,491.75,492.35,32687
2025-12-29 09:45:00+05:30,492.35,492.5,492.0,492.25,20818
2025-12-29 09:46:00+05:30,492.25,492.9,492.2,492.75,57626
2025-12-29 09:47:00+05:30,492.75,493.5,492.5,493.4,38062
2025-12-29 09:48:00+05:30,493.5,493.85,492.9,493.6,97562
2025-12-29 09:49:00+05:30,493.6,494.35,493.4,494.35,92377
2025-12-29 09:50:00+05:30,494.2,494.3,493.6,493.7,31864
2025-12-29 09:51:00+05:30,493.7,493.8,492.05,492.85,79162
2025-12-29 09:52:00+05:30,492.85,493.75,492.85,493.3,45718
2025-12-29 09:53:00+05:30,493.3,493.55,493.0,493.4,31097
2025-12-29 09:54:00+05:30,493.35,493.5,492.4,492.7,35063
