date,open,high,low,close,volume
2025-12-29 09:15:00+05:30,265.99,267.39,265.77,266.85,111812
2025-12-29 09:16:00+05:30,266.85,266.85,266.27,266.45,24178
2025-12-29 09:17:00+05:30,266.25,266.37,266.05,266.18,13047
2025-12-29 09:18:00+05:30,266.1,266.2,265.65,265.86,17355
2025-12-29 09:19:00+05:30,265.75,265.9,265.62,265.86,10229
2025-12-29 09:20:00+05:30,265.95,266.03,265.85,265.85,6685
2025-12-29 09:21:00+05:30,265.85,266.47,265.85,266.47,16871
2025-12-29 09:22:00+05:30,266.5,266.73,266.5,266.68,48211
2025-12-29 09:23:00+05:30,266.68,266.91,266.54,266.77,12815
2025-12-29 09:24:00+05:30,266.8,266.87,266.71,266.84,29283
2025-12-29 09:25:00+05:30,266.83,266.84,266.5,266.56,18526
2025-12-29 09:26:00+05:30,266.56,266.58,266.28,266.42,7849
2025-12-29 09:27:00+05:30,266.5,266.5,266.19,266.29,15994
2025-12-29 09:28:00+05:30,266.35,266.7,266.35,266.7,13209
2025-12-29 09:29:00+05:30,266.76,266.76,265.94,265.99,34573
2025-12-29 09:30:00+05:30,265.99,266.4,265.99,266.24,23887
2025-12-29 09:31:00+05:30,266.3,266.6,266.3,266.53,17930
2025-12-29 09:32:00+05:30,266.43,266.65,266.3,266.65,9512
2025-12-29 09:33:00+05:30,266.57,266.99,266.54,266.99,29084
2025-12-29 09:34:00+05:30,267.19,267.19,266.88,267.0,27057
2025-12-29 09:35:00+05:30,266.97,266.97,266.72,266.72,6427
2025-12-29 09:36:00+05:30,266.7,266.7,266.51,266.6,7955
2025-12-29 09:37:00+05:30,266.54,266.62,266.54,266.54,5301
2025-12-29 09:38:00+05:30,266.55,266.55,266.21,266.24,7703
2025-12-29 09:39:00+05:30,266.25,266.39,266.19,266.24,6297
2025-12-29 09:40:00+05:30,266.32,266.56,266.24,266.47,9433
2025-12-29 09:41:00+05:30,266.47,266.72,266.47,266.57,13807
2025-12-29 09:42:00+05:30,266.52,266.57,266.41,266.46,5809
2025-12-29 09:43:00+05:30,266.47,266.65,266.44,266.65,4960
2025-12-29 09:44:00+05:30,266.75,266.79,266.61,266.61,10773
2025-12-29 09:45:00+05:30,266.66,266.9,266.63,266.8,11479
2025-12-29 09:46:00+05:30,266.78,266.95,266.78,266.9,8591
2025-12-29 09:47:00+05:30,266.9,266.95,266.82,266.95,2830
2025-12-29 09:48:00+05:30,266.85,267.0,266.85,267.0,6139
2025-12-29 09:49:00+05:30,267.0,267.05,266.81,266.89,10828
2025-12-29 09:50:00+05:30,266.9,267.0,266.85,266.91,8443
2025-12-29 09:51:00+05:30,266.95,266.95,266.78,266.9,2613
2025-12-29 09:52:00+05:30,266.81,266.93,266.77,266.93,4392
2025-12-29 09:53:00+05:30,266.9,267.15,266.9,267.15,11119
2025-12-29 09:54:00+05:30,267.13,267.15,266.95,266.95,11066
2025-12-29 09:55:00+05:30,267.05,267.05,266.87,266.96,12467
2025-12-29 09:56:00+05:30,266.92,267.01,266.83,266.98,13687
2025-12-29 09:57:00+05:30,266.9,267.0,266.88,266.89,5976
2025-12-29 09:58:00+05:30,266.97,266.97,266.77,266.79,25588
2025-12-29 09:59:00+05:30,266.78,266.93,266.74,266.8,16228
2025-12-29 10:00:00+05:30,266.8,266.93,266.72,266.8,18538
2025-12-29 10:01:00+05:30,266.8,266.93,266.72,266.77,11602
2025-12-29 10:02:00+05:30,266.8,266.98,266.8,266.89,10236
2025-12-29 10:03:00+05:30,266.8,266.94,266.8,266.89,2358
2025-12-29 10:04:00+05:30,266.86,266.93,266.8,266.82,25168
