date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,21.87,21.87,21.85,21.87,97253
2025-12-24 12:00:00+05:30,21.87,21.88,21.86,21.88,240732
2025-12-24 12:05:00+05:30,21.88,21.88,21.85,21.87,232942
2025-12-24 12:10:00+05:30,21.87,21.87,21.85,21.86,102573
2025-12-24 12:15:00+05:30,21.85,21.87,21.85,21.85,154746
2025-12-24 12:20:00+05:30,21.85,21.87,21.83,21.85,361304
2025-12-24 12:25:00+05:30,21.85,21.86,21.84,21.86,215017
2025-12-24 12:30:00+05:30,21.86,21.86,21.84,21.86,229506
2025-12-24 12:35:00+05:30,21.86,21.86,21.81,21.82,1054703
2025-12-24 12:40:00+05:30,21.82,21.83,21.8,21.82,252166
2025-12-24 12:45:00+05:30,21.82,21.84,21.81,21.82,258099
2025-12-24 12:50:00+05:30,21.82,21.82,21.8,21.81,248855
2025-12-24 12:55:00+05:30,21.81,21.82,21.8,21.82,220583
2025-12-24 13:00:00+05:30,21.81,21.82,21.8,21.8,481315
2025-12-24 13:05:00+05:30,21.8,21.81,21.77,21.78,462586
2025-12-24 13:10:00+05:30,21.77,21.8,21.77,21.8,475124
2025-12-24 13:15:00+05:30,21.79,21.79,21.76,21.76,329228
2025-12-24 13:20:00+05:30,21.76,21.78,21.76,21.78,323603
2025-12-24 13:25:00+05:30,21.78,21.78,21.75,21.78,660046
2025-12-24 13:30:00+05:30,21.78,21.78,21.74,21.75,814162
2025-12-24 13:35:00+05:30,21.77,21.77,21.75,21.77,213764
2025-12-24 13:40:00+05:30,21.77,21.77,21.75,21.77,152210
2025-12-24 13:45:00+05:30,21.76,21.78,21.75,21.77,487815
2025-12-24 13:50:00+05:30,21.77,21.78,21.75,21.77,366651
2025-12-24 13:55:00+05:30,21.77,21.77,21.74,21.75,320374
2025-12-24 14:00:00+05:30,21.75,21.76,21.71,21.72,890524
2025-12-24 14:05:00+05:30,21.73,21.73,21.71,21.72,386411
2025-12-24 14:10:00+05:30,21.72,21.73,21.71,21.72,517866
