date,open,high,low,close,volume
2025-12-24 11:55:00+05:30,918.8,919.0,918.2,918.55,3047
2025-12-24 12:00:00+05:30,918.3,919.4,918.3,919.3,3366
2025-12-24 12:05:00+05:30,919.3,919.75,919.0,919.0,2372
2025-12-24 12:10:00+05:30,919.0,920.0,919.0,919.65,3442
2025-12-24 12:15:00+05:30,919.65,921.0,919.6,921.0,2319
2025-12-24 12:20:00+05:30,921.0,921.5,920.3,920.35,5045
2025-12-24 12:25:00+05:30,920.35,921.15,920.0,920.25,2979
2025-12-24 12:30:00+05:30,920.25,920.55,920.0,920.35,1187
2025-12-24 12:35:00+05:30,920.35,920.8,920.0,920.15,2223
2025-12-24 12:40:00+05:30,920.15,920.45,919.3,919.6,2602
2025-12-24 12:45:00+05:30,919.45,919.95,919.3,919.75,1385
2025-12-24 12:50:00+05:30,919.5,919.75,918.9,918.9,4023
2025-12-24 12:55:00+05:30,918.9,919.95,918.9,919.35,2182
2025-12-24 13:00:00+05:30,919.4,919.9,919.0,919.6,1729
2025-12-24 13:05:00+05:30,919.1,919.6,919.0,919.0,1864
2025-12-24 13:10:00+05:30,919.0,919.6,919.0,919.0,1303
2025-12-24 13:15:00+05:30,919.0,919.45,917.0,917.55,16278
2025-12-24 13:20:00+05:30,917.1,917.6,916.8,916.8,5744
2025-12-24 13:25:00+05:30,917.05,917.5,916.7,916.7,3971
2025-12-24 13:30:00+05:30,916.95,917.25,916.65,916.8,5143
2025-12-24 13:35:00+05:30,916.9,917.5,916.65,917.0,7084
2025-12-24 13:40:00+05:30,917.0,917.3,916.35,916.5,5413
2025-12-24 13:45:00+05:30,916.45,917.0,916.0,916.25,4148
2025-12-24 13:50:00+05:30,916.25,917.5,916.05,916.7,8642
2025-12-24 13:55:00+05:30,917.1,917.15,916.05,916.05,4182
2025-12-24 14:00:00+05:30,916.3,916.5,916.0,916.1,4728
2025-12-24 14:05:00+05:30,916.0,917.5,916.0,916.65,6045
2025-12-24 14:10:00+05:30,916.65,919.4,916.3,918.5,26653
2025-12-24 14:15:00+05:30,918.5,919.25,917.55,918.45,9930
2025-12-24 14:20:00+05:30,918.4,919.0,917.0,917.45,4407
2025-12-24 14:25:00+05:30,917.45,917.8,917.0,917.8,4619
2025-12-24 14:30:00+05:30,917.4,918.15,917.0,917.15,4779
2025-12-24 14:35:00+05:30,917.0,918.05,917.0,917.5,10195
2025-12-24 14:40:00+05:30,917.25,917.5,916.0,916.6,10786
2025-12-24 14:45:00+05:30,916.65,916.95,916.0,916.35,6166
2025-12-24 14:50:00+05:30,916.3,916.8,916.0,916.3,5009
2025-12-24 14:55:00+05:30,916.2,918.3,916.15,918.0,10799
2025-12-24 15:00:00+05:30,918.0,919.35,917.2,917.95,18439
2025-12-24 15:05:00+05:30,918.4,918.95,917.55,918.5,19777
2025-12-24 15:10:00+05:30,917.85,918.15,916.8,917.65,14684
2025-12-24 15:15:00+05:30,917.15,918.25,917.15,917.6,25102
2025-12-24 15:20:00+05:30,917.3,917.95,917.0,917.8,23145
2025-12-24 15:25:00+05:30,918.1,918.1,917.0,917.0,23525
2025-12-26 09:15:00+05:30,917.85,920.0,915.6,917.75,9043
2025-12-26 09:20:00+05:30,917.75,918.65,917.0,918.0,5792
2025-12-26 09:25:00+05:30,917.75,918.75,916.8,917.2,5271
2025-12-26 09:30:00+05:30,916.8,918.2,915.8,915.95,6283
2025-12-26 09:35:00+05:30,915.95,915.95,913.5,913.8,10207
2025-12-26 09:40:00+05:30,913.6,913.95,912.5,913.3,10845
2025-12-26 09:45:00+05:30,913.25,913.25,912.0,912.2,7928
2025-12-26 09:50:00+05:30,912.05,912.75,911.2,911.7,8573
2025-12-26 09:55:00+05:30,911.7,912.35,911.4,911.9,3610
2025-12-26 10:00:00+05:30,911.9,912.85,911.7,912.6,4491
2025-12-26 10:05:00+05:30,912.6,913.25,912.25,912.5,5054
2025-12-26 10:10:00+05:30,912.5,912.8,911.8,912.4,5988
2025-12-26 10:15:00+05:30,912.35,912.65,911.75,912.15,2924
2025-12-26 10:20:00+05:30,912.15,912.45,911.7,911.85,2247
2025-12-26 10:25:00+05:30,911.8,912.8,911.5,912.8,2750
2025-12-26 10:30:00+05:30,912.65,913.0,912.0,912.55,2175
2025-12-26 10:35:00+05:30,912.4,912.95,912.05,912.8,4598
2025-12-26 10:40:00+05:30,912.45,912.9,912.0,912.5,2448
2025-12-26 10:45:00+05:30,912.15,912.65,911.95,912.55,2496
2025-12-26 10:50:00+05:30,912.5,912.8,912.0,912.45,2891
2025-12-26 10:55:00+05:30,912.45,912.55,911.85,912.0,2053
2025-12-26 11:00:00+05:30,912.0,912.65,911.8,912.1,2714
2025-12-26 11:05:00+05:30,912.0,912.3,911.7,911.7,3261
2025-12-26 11:10:00+05:30,911.6,911.75,911.3,911.4,2000
2025-12-26 11:15:00+05:30,911.35,911.45,911.0,911.05,1818
2025-12-26 11:20:00+05:30,911.05,911.2,910.55,910.95,7327
2025-12-26 11:25:00+05:30,910.85,912.1,910.8,911.9,4074
2025-12-26 11:30:00+05:30,911.8,911.95,911.0,911.85,2079
2025-12-26 11:35:00+05:30,911.85,911.85,911.05,911.3,3219
2025-12-26 11:40:00+05:30,911.1,911.6,910.8,911.1,2027
2025-12-26 11:45:00+05:30,911.0,911.55,910.2,910.5,3117
2025-12-26 11:50:00+05:30,910.5,911.2,910.3,910.8,2291
2025-12-26 11:55:00+05:30,910.8,912.55,910.5,911.85,2236
2025-12-26 12:00:00+05:30,911.85,912.0,911.25,911.4,942
2025-12-26 12:05:00+05:30,911.3,911.65,911.1,911.55,2583
2025-12-26 12:10:00+05:30,911.5,912.15,911.3,911.85,1668
2025-12-26 12:15:00+05:30,911.8,912.15,911.35,912.1,1025
2025-12-26 12:20:00+05:30,911.6,912.15,911.05,912.05,3543
2025-12-26 12:25:00+05:30,911.7,912.05,911.05,911.7,2051
2025-12-26 12:30:00+05:30,911.5,911.7,910.8,911.0,1870
2025-12-26 12:35:00+05:30,911.0,911.0,910.6,911.0,1170
2025-12-26 12:40:00+05:30,910.65,911.25,910.5,910.7,8884
2025-12-26 12:45:00+05:30,910.5,911.45,910.5,911.4,5972
2025-12-26 12:50:00+05:30,911.15,911.4,910.7,911.25,2214
2025-12-26 12:55:00+05:30,911.0,911.4,910.6,911.0,984
2025-12-26 13:00:00+05:30,911.0,911.0,910.45,910.7,620
2025-12-26 13:05:00+05:30,910.7,911.0,910.3,910.3,2344
2025-12-26 13:10:00+05:30,910.3,910.85,910.25,910.7,923
2025-12-26 13:15:00+05:30,910.5,911.0,910.35,910.95,1687
2025-12-26 13:20:00+05:30,910.6,911.0,910.6,910.95,703
2025-12-26 13:25:00+05:30,910.7,911.15,910.65,911.15,2236
2025-12-26 13:30:00+05:30,911.0,911.4,911.0,911.3,1471
2025-12-26 13:35:00+05:30,911.0,911.6,911.0,911.6,481
2025-12-26 13:40:00+05:30,911.2,911.6,911.15,911.6,331
2025-12-26 13:45:00+05:30,911.25,911.7,910.9,911.45,1565
2025-12-26 13:50:00+05:30,911.05,911.45,910.65,911.0,856
2025-12-26 13:55:00+05:30,911.1,911.45,910.65,911.2,2672
2025-12-26 14:00:00+05:30,910.8,911.55,910.65,911.55,1879
2025-12-26 14:05:00+05:30,911.6,911.95,911.3,911.55,761
2025-12-26 14:10:00+05:30,911.1,911.6,910.85,911.5,617
2025-12-26 14:15:00+05:30,911.05,911.6,910.95,911.25,2157
2025-12-26 14:20:00+05:30,911.25,911.25,910.45,910.5,4129
2025-12-26 14:25:00+05:30,910.5,911.0,910.5,910.75,668
2025-12-26 14:30:00+05:30,910.6,910.95,910.0,910.4,10658
2025-12-26 14:35:00+05:30,910.6,910.65,910.0,910.25,1711
2025-12-26 14:40:00+05:30,910.0,910.9,910.0,910.7,3323
2025-12-26 14:45:00+05:30,910.35,910.6,909.55,909.55,7705
2025-12-26 14:50:00+05:30,909.05,909.95,909.0,909.6,12431
2025-12-26 14:55:00+05:30,909.35,911.0,909.25,911.0,9893
2025-12-26 15:00:00+05:30,911.0,912.2,910.55,911.15,5744
2025-12-26 15:05:00+05:30,911.2,911.85,911.1,911.8,5849
2025-12-26 15:10:00+05:30,911.5,911.9,911.25,911.85,3455
2025-12-26 15:15:00+05:30,911.85,911.95,911.3,911.6,10036
2025-12-26 15:20:00+05:30,911.6,912.35,911.5,911.6,11235
2025-12-26 15:25:00+05:30,911.55,911.9,911.05,911.65,10553
2025-12-29 09:15:00+05:30,912.2,914.6,907.15,907.8,24989
2025-12-29 09:20:00+05:30,908.0,909.0,906.6,908.45,9280
2025-12-29 09:25:00+05:30,908.45,909.6,907.25,908.55,7455
2025-12-29 09:30:00+05:30,908.55,909.6,908.1,909.05,5438
2025-12-29 09:35:00+05:30,909.05,909.5,907.8,908.45,3870
2025-12-29 09:40:00+05:30,908.05,910.2,907.0,909.7,11113
2025-12-29 09:45:00+05:30,909.7,911.3,909.0,910.75,5487
2025-12-29 09:50:00+05:30,910.65,911.0,910.0,910.3,1556
2025-12-29 09:55:00+05:30,910.3,910.3,908.1,909.15,1970
2025-12-29 10:00:00+05:30,909.1,909.1,907.1,907.35,5708
2025-12-29 10:05:00+05:30,907.35,908.9,906.85,908.7,4579
2025-12-29 10:10:00+05:30,908.7,908.7,907.55,908.05,1624
2025-12-29 10:15:00+05:30,908.05,908.35,907.0,908.1,4735
2025-12-29 10:20:00+05:30,908.1,908.1,906.55,907.15,4979
2025-12-29 10:25:00+05:30,906.95,907.5,906.7,907.0,2525
2025-12-29 10:30:00+05:30,906.9,906.9,905.1,905.9,9900
2025-12-29 10:35:00+05:30,905.8,906.45,905.55,906.2,3265
2025-12-29 10:40:00+05:30,906.2,906.35,905.5,905.5,2904
2025-12-29 10:45:00+05:30,905.6,905.85,905.2,905.2,2331
2025-12-29 10:50:00+05:30,905.2,905.8,905.0,905.55,4766
2025-12-29 10:55:00+05:30,905.55,905.7,904.95,905.2,5708
2025-12-29 11:00:00+05:30,905.2,905.6,904.9,905.45,3265
2025-12-29 11:05:00+05:30,905.45,905.65,904.9,905.4,5147
2025-12-29 11:10:00+05:30,905.3,905.65,905.0,905.35,5360
2025-12-29 11:15:00+05:30,905.35,905.35,904.5,904.6,8505
2025-12-29 11:20:00+05:30,904.45,905.0,903.6,904.2,10153
2025-12-29 11:25:00+05:30,904.3,904.3,903.6,904.1,3329
2025-12-29 11:30:00+05:30,904.1,904.45,903.0,903.05,6463
2025-12-29 11:35:00+05:30,903.05,903.5,903.0,903.1,2436
2025-12-29 11:40:00+05:30,903.1,904.25,903.1,904.15,2809
2025-12-29 11:45:00+05:30,904.15,904.9,903.6,904.5,2493
2025-12-29 11:50:00+05:30,904.5,905.45,904.3,905.45,5075
2025-12-29 11:55:00+05:30,905.3,905.3,904.15,904.3,337
