Time,Symbol,Strategy,Price,BW,RVOL,VWAP_Dist
09:30:00,ABB,SNIPER,5210.0,0.007,2.2,0.24
09:50:00,ADANIENT,SNIPER,2237.0,0.005,2.4,0.29
09:50:00,AMBUJACEM,SNIPER,554.75,0.007,1.7,0.19
09:45:00,APLAPOLLO,SNIPER,1905.3,0.016,2.6,0.26
10:35:00,APLAPOLLO,SNIPER,1908.9,0.014,2.1,0.38
09:20:00,BANDHANBNK,SNIPER,145.21,0.006,1.6,0.08
10:00:00,BDL,SNIPER,1505.8,0.031,2.2,0.32
09:15:00,BEL,SNIPER,401.3,0.007,4.3,0.0
09:50:00,BEL,SNIPER,401.9,0.016,2.2,0.07
10:00:00,BEL,SNIPER,401.8,0.017,2.0,0.04
09:25:00,BHARATFORG,SNIPER,1449.7,0.008,1.6,0.13
10:15:00,BPCL,SNIPER,368.1,0.013,1.9,0.02
10:20:00,BPCL,SNIPER,368.5,0.013,2.1,0.12
10:25:00,BPCL,SNIPER,369.2,0.013,2.8,0.26
10:35:00,BPCL,SNIPER,370.35,0.014,1.8,0.49
09:25:00,BSE,SNIPER,2661.6,0.008,1.7,0.35
09:15:00,CANBK,SNIPER,150.45,0.005,2.0,0.1
09:25:00,CIPLA,SNIPER,1510.0,0.005,1.8,0.24
09:30:00,CIPLA,SNIPER,1511.8,0.006,2.0,0.2
09:30:00,COFORGE,SNIPER,1697.0,0.023,3.1,1.67
09:20:00,CUMMINSIND,SNIPER,4381.1,0.008,1.6,0.56
09:15:00,DALBHARAT,SNIPER,2182.4,0.014,4.8,0.13
09:20:00,DALBHARAT,SNIPER,2186.5,0.019,2.0,0.25
09:30:00,DELHIVERY,SNIPER,408.45,0.01,3.4,0.35
09:30:00,DIXON,SNIPER,12391.0,0.022,2.1,1.32
09:15:00,ETERNAL,SNIPER,282.95,0.008,2.3,0.17
09:20:00,ETERNAL,SNIPER,283.3,0.009,1.6,0.17
09:25:00,ETERNAL,SNIPER,284.45,0.011,1.5,0.43
09:30:00,ETERNAL,SNIPER,285.3,0.015,2.6,0.5
09:35:00,ETERNAL,SNIPER,285.85,0.018,3.4,0.47
09:30:00,GAIL,SNIPER,171.15,0.005,1.7,0.26
09:30:00,GRASIM,SNIPER,2829.8,0.005,3.1,0.29
09:50:00,GRASIM,SNIPER,2831.3,0.007,4.4,0.22
10:05:00,GRASIM,SNIPER,2834.3,0.008,2.3,0.26
09:15:00,HAL,SNIPER,4441.9,0.01,3.3,0.08
09:30:00,HAL,SNIPER,4451.7,0.011,1.5,0.26
09:30:00,HEROMOTOCO,SNIPER,5645.0,0.006,4.4,0.14
09:30:00,HFCL,SNIPER,63.28,0.032,10.3,1.09
09:35:00,HFCL,SNIPER,63.9,0.042,2.3,1.76
09:40:00,HFCL,SNIPER,65.28,0.063,2.1,3.47
09:45:00,HFCL,SNIPER,65.96,0.083,2.9,3.73
09:50:00,HFCL,SNIPER,66.83,0.104,2.3,4.38
09:55:00,HFCL,SNIPER,67.61,0.125,1.6,5.09
09:15:00,HINDPETRO,SNIPER,470.25,0.008,2.0,0.24
09:30:00,HINDPETRO,SNIPER,470.85,0.012,1.8,0.19
09:50:00,HINDUNILVR,SNIPER,2290.0,0.003,3.0,0.14
10:35:00,HINDUNILVR,SNIPER,2290.0,0.004,1.8,0.14
09:30:00,HINDZINC,SNIPER,648.9,0.026,2.2,0.14
09:35:00,HUDCO,SNIPER,225.23,0.02,3.7,0.75
09:45:00,HUDCO,SNIPER,226.0,0.028,2.5,0.77
09:50:00,HUDCO,SNIPER,226.14,0.032,3.3,0.6
09:15:00,ICICIPRULI,SNIPER,649.9,0.007,2.8,0.06
10:05:00,ICICIPRULI,SNIPER,653.25,0.009,1.9,0.4
09:15:00,IDFCFIRSTB,SNIPER,85.44,0.004,2.9,0.05
09:40:00,IDFCFIRSTB,SNIPER,85.53,0.007,1.7,0.17
09:20:00,INDIANB,SNIPER,780.95,0.008,1.8,0.24
09:40:00,INDUSTOWER,SNIPER,421.2,0.01,2.2,0.46
10:15:00,INDUSTOWER,SNIPER,425.65,0.021,1.8,1.01
10:20:00,INDUSTOWER,SNIPER,426.4,0.024,5.4,0.77
09:25:00,INOXWIND,SNIPER,127.36,0.009,1.6,0.44
09:30:00,INOXWIND,SNIPER,128.17,0.014,1.7,0.85
09:35:00,INOXWIND,SNIPER,128.44,0.018,2.5,0.79
09:45:00,INOXWIND,SNIPER,128.83,0.026,2.0,0.79
09:15:00,IOC,SNIPER,161.12,0.009,3.6,0.32
09:20:00,IOC,SNIPER,161.16,0.011,2.1,0.18
09:50:00,IOC,SNIPER,162.13,0.017,1.8,0.52
09:45:00,IRCTC,SNIPER,708.5,0.009,1.5,0.33
09:15:00,JINDALSTEL,SNIPER,994.4,0.008,10.4,0.09
09:20:00,JINDALSTEL,SNIPER,996.5,0.011,11.3,0.09
09:25:00,JINDALSTEL,SNIPER,997.0,0.013,1.5,0.14
09:30:00,JINDALSTEL,SNIPER,1000.0,0.016,2.0,0.4
09:35:00,JINDALSTEL,SNIPER,1009.9,0.024,2.3,1.25
09:20:00,JSWSTEEL,SNIPER,1099.5,0.006,1.6,0.21
09:30:00,JSWSTEEL,SNIPER,1101.0,0.009,3.3,0.23
09:35:00,JSWSTEEL,SNIPER,1102.9,0.011,1.8,0.35
09:40:00,JSWSTEEL,SNIPER,1103.5,0.013,3.4,0.29
09:45:00,JSWSTEEL,SNIPER,1107.0,0.016,3.4,0.49
09:55:00,JSWSTEEL,SNIPER,1106.0,0.018,2.8,0.26
10:05:00,JSWSTEEL,SNIPER,1105.9,0.019,2.0,0.2
10:10:00,JUBLFOOD,SNIPER,562.45,0.009,7.6,0.09
09:25:00,KALYANKJIL,SNIPER,493.8,0.009,2.7,0.5
09:30:00,KALYANKJIL,SNIPER,495.85,0.012,2.4,0.63
09:20:00,KEI,SNIPER,4388.2,0.009,1.9,0.32
09:25:00,KEI,SNIPER,4399.0,0.01,1.8,0.42
09:30:00,KEI,SNIPER,4426.6,0.014,1.9,0.81
10:35:00,KFINTECH,SNIPER,1100.6,0.008,2.5,0.23
09:45:00,LAURUSLABS,SNIPER,1088.0,0.007,5.3,0.16
09:15:00,LICI,SNIPER,850.85,0.009,2.4,0.06
09:15:00,LT,SNIPER,4054.0,0.004,3.0,0.03
09:15:00,LTF,SNIPER,303.0,0.007,3.5,0.19
09:30:00,LTIM,SNIPER,6100.0,0.015,1.5,0.56
10:10:00,LTIM,SNIPER,6084.0,0.016,2.0,0.14
09:25:00,MANAPPURAM,SNIPER,317.8,0.024,2.2,0.44
09:15:00,MARICO,SNIPER,746.2,0.006,2.7,0.01
09:35:00,MARICO,SNIPER,746.75,0.007,1.7,0.15
09:55:00,MAXHEALTH,SNIPER,1074.1,0.005,3.8,0.12
09:25:00,MAZDOCK,SNIPER,2593.0,0.023,2.8,0.61
09:30:00,MAZDOCK,SNIPER,2621.6,0.033,3.8,1.19
09:35:00,MAZDOCK,SNIPER,2622.4,0.041,4.1,0.8
09:20:00,MCX,SNIPER,11120.0,0.01,2.1,0.22
09:25:00,MCX,SNIPER,11166.0,0.014,1.9,0.51
09:45:00,MOTHERSON,SNIPER,119.96,0.012,1.6,0.43
09:20:00,MPHASIS,SNIPER,2860.0,0.004,1.9,0.21
09:30:00,MPHASIS,SNIPER,2868.0,0.007,1.5,0.4
09:35:00,NCC,SNIPER,159.88,0.016,2.1,0.75
10:05:00,NCC,SNIPER,161.91,0.031,1.6,1.44
10:10:00,NCC,SNIPER,162.4,0.036,2.9,1.34
10:40:00,NESTLEIND,SNIPER,1285.0,0.014,2.0,0.44
09:20:00,NMDC,SNIPER,83.48,0.013,3.0,0.09
09:15:00,NTPC,SNIPER,325.45,0.004,4.7,0.11
09:35:00,NTPC,SNIPER,325.0,0.005,2.4,0.0
10:00:00,NTPC,SNIPER,325.3,0.006,2.5,0.07
10:20:00,NTPC,SNIPER,325.15,0.006,4.7,0.02
10:40:00,NYKAA,SNIPER,259.35,0.007,2.7,0.3
09:25:00,OBEROIRLTY,SNIPER,1690.4,0.012,1.9,0.03
09:30:00,OBEROIRLTY,SNIPER,1693.6,0.012,1.9,0.17
10:10:00,OIL,SNIPER,406.2,0.008,1.5,0.51
10:10:00,ONGC,SNIPER,235.26,0.005,1.5,0.26
10:15:00,ONGC,SNIPER,235.27,0.005,2.1,0.21
10:30:00,ONGC,SNIPER,236.53,0.01,2.2,0.6
10:35:00,ONGC,SNIPER,236.97,0.013,1.5,0.72
10:40:00,ONGC,SNIPER,237.1,0.015,2.1,0.68
09:25:00,PHOENIXLTD,SNIPER,1850.4,0.007,2.4,0.31
09:30:00,PHOENIXLTD,SNIPER,1857.8,0.008,2.9,0.56
09:45:00,PHOENIXLTD,SNIPER,1852.9,0.008,13.0,0.09
09:15:00,POLICYBZR,SNIPER,1916.7,0.006,8.2,0.22
10:20:00,POLICYBZR,SNIPER,1920.7,0.01,4.0,0.38
09:15:00,SAIL,SNIPER,136.34,0.027,13.8,0.84
09:20:00,SAIL,SNIPER,136.91,0.039,7.3,0.66
09:25:00,SAIL,SNIPER,137.21,0.049,4.1,0.7
09:30:00,SAIL,SNIPER,137.64,0.057,2.9,0.84
09:35:00,SAIL,SNIPER,138.5,0.066,2.0,1.33
09:20:00,SAMMAANCAP,SNIPER,140.25,0.005,2.4,0.1
09:30:00,SAMMAANCAP,SNIPER,141.1,0.009,2.3,0.56
09:35:00,SAMMAANCAP,SNIPER,141.31,0.012,1.9,0.57
09:45:00,SAMMAANCAP,SNIPER,142.55,0.021,1.6,1.18
10:10:00,SAMMAANCAP,SNIPER,142.84,0.033,1.7,0.97
09:55:00,SHREECEM,SNIPER,26400.0,0.011,2.2,0.27
09:15:00,SHRIRAMFIN,SNIPER,963.05,0.004,3.5,0.04
09:40:00,SUPREMEIND,SNIPER,3299.8,0.01,2.2,0.49
09:35:00,SYNGENE,SNIPER,658.6,0.009,2.7,0.37
09:30:00,TATAELXSI,SNIPER,5360.0,0.007,2.9,0.35
09:15:00,TATASTEEL,SNIPER,170.67,0.008,3.9,0.26
09:20:00,TATASTEEL,SNIPER,171.67,0.015,3.9,0.48
09:30:00,TATASTEEL,SNIPER,172.31,0.024,3.7,0.53
09:35:00,TATASTEEL,SNIPER,173.18,0.03,5.1,0.7
09:40:00,TATASTEEL,SNIPER,173.7,0.036,3.2,0.8
10:25:00,TATASTEEL,SNIPER,174.01,0.041,1.9,0.73
09:55:00,TECHM,SNIPER,1625.9,0.014,2.2,0.29
09:25:00,TITAGARH,SNIPER,910.0,0.013,3.6,0.85
09:30:00,TITAGARH,SNIPER,914.3,0.019,3.4,0.95
09:35:00,TITAGARH,SNIPER,917.5,0.026,1.6,1.15
09:20:00,TITAN,SNIPER,4003.0,0.004,1.9,0.06
09:30:00,TITAN,SNIPER,3999.8,0.004,1.6,0.02
09:45:00,TITAN,SNIPER,4010.0,0.006,1.9,0.23
09:50:00,TITAN,SNIPER,4021.4,0.009,2.8,0.41
09:55:00,TITAN,SNIPER,4023.0,0.01,1.8,0.38
10:05:00,TITAN,SNIPER,4024.4,0.012,2.0,0.35
09:15:00,TMPV,SNIPER,362.0,0.023,2.2,0.27
09:35:00,TMPV,SNIPER,361.85,0.029,1.7,0.18
09:20:00,UPL,SNIPER,776.15,0.008,2.0,0.19
09:35:00,UPL,SNIPER,780.5,0.013,1.7,0.48
09:50:00,UPL,SNIPER,781.0,0.017,2.1,0.4
09:15:00,VBL,SNIPER,484.95,0.007,2.1,0.03
09:20:00,VBL,SNIPER,485.15,0.008,2.2,0.06
09:30:00,VBL,SNIPER,487.75,0.013,2.5,0.38
09:35:00,VBL,SNIPER,490.65,0.019,2.2,0.77
09:40:00,VBL,SNIPER,492.35,0.024,2.7,0.87
09:45:00,VBL,SNIPER,494.35,0.03,2.5,1.03
09:20:00,VEDL,SNIPER,608.65,0.014,4.1,0.13
09:25:00,VEDL,SNIPER,613.4,0.022,4.2,0.7
09:50:00,VEDL,SNIPER,615.25,0.039,1.5,0.63
09:20:00,VOLTAS,SNIPER,1391.6,0.018,1.9,0.41
09:25:00,VOLTAS,SNIPER,1395.6,0.018,1.8,0.46
09:20:00,WIPRO,SNIPER,266.84,0.004,2.1,0.17
09:30:00,WIPRO,SNIPER,267.0,0.005,1.8,0.21
