Time,Symbol,Strategy,Type,Price,BW,RVOL,VWAP_Dist
11:30:00,ADANIGREEN,SNIPER,PE,1008.1,0.007,1.9,-0.44
09:30:00,ADANIPORTS,SNIPER,PE,1471.5,0.016,2.5,-0.32
09:55:00,ADANIPORTS,SNIPER,PE,1468.8,0.021,1.7,-0.36
11:05:00,AMBER,SNIPER,PE,6593.0,0.015,5.0,-0.31
11:25:00,AMBER,SNIPER,PE,6570.0,0.008,2.1,-0.59
09:38:00,AMBUJACEM,SNIPER,PE,551.85,0.005,1.6,-0.25
09:53:00,AMBUJACEM,SNIPER,CE,555.4,0.006,5.7,0.36
10:35:00,ANGELONE,SNIPER,PE,2465.4,0.018,2.0,-0.36
11:20:00,ANGELONE,SNIPER,PE,2450.4,0.011,2.7,-0.83
11:35:00,ANGELONE,SNIPER,PE,2437.0,0.015,1.8,-1.24
09:35:00,APLAPOLLO,SNIPER,CE,1900.4,0.005,2.7,0.25
09:37:00,APLAPOLLO,SNIPER,CE,1905.2,0.007,1.6,0.46
09:48:00,APLAPOLLO,SNIPER,CE,1908.4,0.006,8.6,0.43
10:35:00,APLAPOLLO,SNIPER,CE,1909.0,0.006,2.7,0.43
10:37:00,APLAPOLLO,SNIPER,CE,1909.5,0.008,2.6,0.45
10:38:00,APLAPOLLO,SNIPER,CE,1911.0,0.009,5.8,0.49
10:42:00,APLAPOLLO,SNIPER,CE,1907.6,0.009,1.9,0.3
10:00:00,APOLLOHOSP,SNIPER,PE,7131.0,0.005,1.6,-0.25
11:50:00,APOLLOHOSP,SNIPER,PE,7125.0,0.005,2.4,-0.19
11:15:00,ASHOKLEY,SNIPER,PE,173.82,0.005,2.6,-0.31
11:20:00,ASHOKLEY,SNIPER,PE,173.68,0.005,3.1,-0.35
10:50:00,ASIANPAINT,SNIPER,PE,2746.6,0.006,4.7,-0.28
11:00:00,ASIANPAINT,SNIPER,PE,2743.2,0.008,2.5,-0.36
11:10:00,ASIANPAINT,SNIPER,PE,2735.5,0.012,1.9,-0.57
10:15:00,ASTRAL,SNIPER,PE,1372.0,0.017,2.5,-0.55
11:25:00,ASTRAL,SNIPER,PE,1373.2,0.008,1.7,-0.34
10:50:00,AUBANK,SNIPER,PE,967.25,0.006,2.0,-0.3
11:00:00,AUBANK,SNIPER,PE,967.35,0.006,1.8,-0.26
09:50:00,AXISBANK,SNIPER,PE,1220.1,0.009,2.1,-0.19
10:05:00,AXISBANK,SNIPER,PE,1220.2,0.01,1.6,-0.13
11:00:00,AXISBANK,SNIPER,CE,1227.8,0.006,1.7,0.45
11:15:00,AXISBANK,SNIPER,CE,1229.3,0.01,1.5,0.52
09:30:00,BAJAJFINSV,SNIPER,PE,2004.8,0.01,1.5,-0.18
09:55:00,BAJAJFINSV,SNIPER,PE,2000.2,0.012,2.3,-0.29
11:00:00,BAJFINANCE,SNIPER,PE,992.5,0.011,1.7,-0.5
11:05:00,BAJFINANCE,SNIPER,PE,991.5,0.011,2.5,-0.55
09:41:00,BANDHANBNK,SNIPER,PE,144.52,0.006,2.3,-0.24
10:00:00,BDL,SNIPER,CE,1505.8,0.005,6.5,0.38
10:01:00,BDL,SNIPER,CE,1508.0,0.007,2.6,0.51
10:02:00,BDL,SNIPER,CE,1509.3,0.009,2.1,0.58
10:52:00,BDL,SNIPER,CE,1507.9,0.005,2.2,0.42
09:52:00,BEL,SNIPER,CE,402.3,0.006,4.1,0.16
09:54:00,BEL,SNIPER,CE,401.9,0.006,2.3,0.06
10:22:00,BEL,SNIPER,PE,399.6,0.006,3.0,-0.5
10:06:00,BHARATFORG,SNIPER,PE,1444.3,0.006,2.7,-0.36
10:08:00,BHARATFORG,SNIPER,PE,1441.1,0.009,8.4,-0.51
10:11:00,BHARATFORG,SNIPER,PE,1440.2,0.011,1.5,-0.54
10:12:00,BHARATFORG,SNIPER,PE,1440.0,0.011,2.0,-0.53
11:00:00,BHARATFORG,SNIPER,CE,1447.8,0.006,2.0,0.16
10:30:00,BHEL,SNIPER,PE,282.0,0.014,2.4,-0.33
10:45:00,BIOCON,SNIPER,PE,394.45,0.013,1.9,-0.5
11:30:00,BIOCON,SNIPER,PE,393.0,0.012,3.5,-0.69
10:40:00,BLUESTARCO,SNIPER,PE,1756.9,0.014,2.2,-0.54
11:05:00,BLUESTARCO,SNIPER,PE,1753.9,0.018,2.1,-0.58
11:25:00,BLUESTARCO,SNIPER,PE,1751.0,0.016,2.2,-0.68
11:30:00,BOSCHLTD,SNIPER,CE,35920.0,0.006,7.9,0.35
11:50:00,BOSCHLTD,SNIPER,CE,36000.0,0.012,3.8,0.46
09:35:00,BPCL,SNIPER,CE,367.8,0.007,1.6,0.26
09:36:00,BPCL,SNIPER,CE,368.3,0.006,2.0,0.37
09:37:00,BPCL,SNIPER,CE,368.8,0.006,2.2,0.46
10:01:00,BPCL,SNIPER,CE,368.2,0.006,1.6,0.07
10:02:00,BPCL,SNIPER,CE,368.4,0.006,1.7,0.13
10:33:00,BPCL,SNIPER,CE,369.85,0.005,2.1,0.43
10:39:00,BPCL,SNIPER,CE,370.35,0.006,2.4,0.51
09:53:00,BSE,SNIPER,PE,2650.4,0.008,2.5,-0.19
10:17:00,BSE,SNIPER,PE,2635.1,0.005,2.1,-0.67
10:19:00,BSE,SNIPER,PE,2632.2,0.007,2.8,-0.75
10:21:00,BSE,SNIPER,PE,2631.1,0.009,2.1,-0.77
10:32:00,BSE,SNIPER,PE,2629.4,0.006,2.0,-0.78
10:53:00,BSE,SNIPER,CE,2650.9,0.006,4.7,0.07
11:05:00,CAMS,SNIPER,PE,744.4,0.006,1.6,-0.03
11:20:00,CDSL,SNIPER,PE,1469.6,0.009,1.5,-0.5
11:00:00,CGPOWER,SNIPER,PE,652.8,0.01,5.1,-0.38
09:39:00,CIPLA,SNIPER,CE,1513.2,0.011,2.1,0.25
09:42:00,CIPLA,SNIPER,CE,1513.6,0.007,1.7,0.26
10:55:00,COALINDIA,SNIPER,CE,404.95,0.014,3.7,0.65
09:34:00,COFORGE,SNIPER,CE,1697.0,0.037,1.6,1.8
09:52:00,COFORGE,SNIPER,CE,1713.6,0.018,1.9,2.17
10:45:00,COFORGE,SNIPER,PE,1675.5,0.007,1.5,-0.34
11:02:00,COFORGE,SNIPER,PE,1669.0,0.006,2.9,-0.71
10:15:00,COLPAL,SNIPER,PE,2073.2,0.01,1.5,-0.22
10:55:00,COLPAL,SNIPER,PE,2069.7,0.007,3.4,-0.28
11:05:00,COLPAL,SNIPER,PE,2066.3,0.008,1.9,-0.4
10:30:00,CONCOR,SNIPER,PE,518.5,0.006,2.3,-0.22
10:40:00,CONCOR,SNIPER,PE,516.7,0.007,1.7,-0.52
10:30:00,CROMPTON,SNIPER,PE,255.15,0.009,2.6,-0.27
11:00:00,CROMPTON,SNIPER,PE,254.65,0.007,3.0,-0.37
09:39:00,CUMMINSIND,SNIPER,CE,4375.4,0.007,1.8,0.23
10:07:00,CUMMINSIND,SNIPER,PE,4357.5,0.006,2.0,-0.18
