Symbol,Entry_Time,Entry_Price,Exit_Price,Outcome,PnL_Pct,Max_Gain_Pct
ABB,09:30:00,4.9,5.8500000000000005,WIN (Trail),19.387755102040817,32.65306122448979
ADANIENT,09:50:00,2.2,1.7600000000000002,LOSS (Stop),-19.999999999999996,29.54545454545454
AMBUJACEM,09:50:00,0.25,0.49500000000000005,WIN (Trail),98.00000000000001,120.00000000000001
APLAPOLLO,09:45:00,1.85,2.43,WIN (Trail),31.351351351351354,45.94594594594595
APLAPOLLO,10:35:00,2.55,3.33,WIN (Trail),30.58823529411766,45.09803921568629
BANDHANBNK,09:20:00,0.3,0.405,WIN (Trail),35.000000000000014,50.000000000000014
BDL,10:00:00,4.25,3.4000000000000004,LOSS (Stop),-19.999999999999993,15.294117647058833
BEL,09:15:00,0.5,0.9900000000000001,WIN (Trail),98.00000000000001,120.00000000000001
BEL,09:50:00,0.7,0.5599999999999999,LOSS (Stop),-20.000000000000004,28.57142857142858
BEL,10:00:00,0.7,0.5599999999999999,LOSS (Stop),-20.000000000000004,28.57142857142858
BHARATFORG,09:25:00,3.0,2.4000000000000004,LOSS (Stop),-19.999999999999986,23.33333333333334
BPCL,10:15:00,0.45,0.765,WIN (Trail),70.0,88.88888888888889
BPCL,10:20:00,0.55,0.765,WIN (Trail),39.09090909090908,54.54545454545453
BPCL,10:25:00,0.3,0.45,WIN (Trail),50.000000000000014,66.66666666666667
BPCL,10:35:00,0.35,0.45,WIN (Trail),28.57142857142858,42.85714285714287
BSE,09:25:00,14.15,11.32,LOSS (Stop),-20.0,15.547703180212022
CANBK,09:15:00,0.3,0.24,LOSS (Stop),-20.0,0.0
CIPLA,09:25:00,1.0,1.1700000000000002,WIN (Trail),17.000000000000014,30.000000000000004
CIPLA,09:30:00,1.35,1.845,WIN (Trail),36.66666666666665,51.851851851851826
COFORGE,09:30:00,2.9,4.275,WIN (Trail),47.41379310344829,63.793103448275865
CUMMINSIND,09:20:00,5.95,8.73,WIN (Trail),46.72268907563025,63.0252100840336
DALBHARAT,09:15:00,3.3,4.23,WIN (Trail),28.1818181818182,42.424242424242436
DALBHARAT,09:20:00,1.15,2.745,WIN (Trail),138.69565217391306,165.2173913043478
